,TEXT,START,END,LABEL
0,Tueano,3083,3089,B-BACIA
1,Aratu,6373,6378,B-BACIA
2,Central,6379,6386,I-UNIDADE_CRONO
3,Sergipe,8012,8019,B-BACIA
4,Tucano,8806,8812,B-BACIA
5,Basin,8813,8818,I-BACIA
6,Tucano,10954,10960,B-BACIA
7,Tucano,13338,13344,B-BACIA
8,Basin,13345,13350,I-BACIA
9,Tucano,14181,14187,B-BACIA
10,Sergipe,15016,15023,B-BACIA
11,Poço,23252,23256,B-POÇO
12,Verde,23257,23262,I-POÇO
13,Agua,28107,28111,B-CAMPO
14,Feira,28137,28142,B-CAMPO
15,Roconcavo,33636,33645,B-BACIA
16,Jeuloiro,39436,39444,B-UNIDADE_CRONO
17,Jeuloiro,39500,39508,B-BACIA
18,Poço,39782,39786,B-POÇO
19,Verde,39787,39792,I-POÇO
20,Bacia,39917,39922,B-BACIA
21,do,39923,39925,I-BACIA
22,TUCa,39926,39930,I-BACIA
23,Agua,46751,46755,B-CAMPO
