,TEXT,START,END,LABEL
0,poços,70,75,B-POÇO
1,poços,256,261,B-POÇO
2,membros,660,667,B-UNIDADE_LITO
3,formação,854,862,B-UNIDADE_LITO
4,poços,1158,1163,B-POÇO
5,poços,1404,1409,B-POÇO
6,poços,1665,1670,B-POÇO
7,poço,2986,2990,B-POÇO
8,Arenito,4454,4461,B-ROCHA
9,Arenlto',5248,5256,B-ROCHA
10,poços,5798,5803,B-POÇO
11,calcárias,6601,6610,B-ROCHA
12,águas,8209,8214,B-FLUIDODATERRA
13,sedimentos,8252,8262,B-NÃOCONSOLID
14,arenitos,8342,8350,B-ROCHA
15,folhelhoa,8416,8425,B-ROCHA
16,Campo,8827,8832,B-CAMPO
17,de,8833,8835,I-CAMPO
18,Âgua,8836,8840,I-CAMPO
19,Grande,8841,8847,I-CAMPO
20,arenito,8858,8865,B-ROCHA
21,campo,8897,8902,B-CAMPO
22,formação,9096,9104,B-UNIDADE_LITO
23,Serg,9105,9109,I-UNIDADE_LITO
24,!,9109,9110,I-UNIDADE_LITO
25,campo,9511,9516,B-CAMPO
26,de,9517,9519,I-CAMPO
27,D.,9520,9522,I-CAMPO
28,João,9523,9527,I-CAMPO
29,poços,9790,9795,B-POÇO
30,campo,9853,9858,B-CAMPO
31,formação,9886,9894,B-UNIDADE_LITO
32,Serg,9895,9899,I-UNIDADE_LITO
33,!,9899,9900,I-UNIDADE_LITO
34,Campo,10107,10112,B-CAMPO
35,de,10113,10115,I-CAMPO
36,Âgua,10116,10120,I-CAMPO
37,Grande,10121,10127,I-CAMPO
38,Araçás,10231,10237,B-CAMPO
39,hidrocarbonetos,10275,10290,B-FLUIDODATERRA
40,poços,11451,11456,B-POÇO
