,TEXT,START,END,LABEL
0,Devoniano,125,134,B-UNIDADE_CRONO
1,Siluriano,137,146,B-UNIDADE_CRONO
2,Bacia,150,155,B-BACIA
3,do,156,158,I-BACIA
4,Maranhão,159,167,I-BACIA
5,evoniano,653,661,B-UNIDADE_CRONO
6,Siluriano,664,673,B-UNIDADE_CRONO
7,Bacia,1156,1161,B-BACIA
8,do,1162,1164,I-BACIA
9,aranhão,1165,1172,I-BACIA
10,sedimentos,1245,1255,B-NÃOCONSOLID
11,devonianos,1256,1266,B-UNIDADE_CRONO
12,silurianos,1269,1279,B-UNIDADE_CRONO
13,bacia,1378,1383,B-BACIA
14,do,1384,1386,I-BACIA
15,Paran,1387,1392,I-BACIA
16,Bacia,1648,1653,B-BACIA
17,do,1654,1656,I-BACIA
18,Mara'lhao,1657,1666,I-BACIA
19,Paleozóico,2346,2356,B-UNIDADE_CRONO
20,rocha,6012,6017,B-ROCHA
21,poços,6912,6917,B-POÇO
22,paleozóica,7201,7211,B-UNIDADE_CRONO
23,Bacias,7216,7222,B-BACIA
24,poço,8131,8135,B-POÇO
