,TEXT,START,END,LABEL
0,óleo,438,442,B-FLUIDODATERRA
1,gás,445,448,B-FLUIDODATERRA
2,poços,482,487,B-POÇO
3,arenito,629,636,B-ROCHA
4,gás,651,654,B-FLUIDODATERRA
5,arenito,697,704,B-ROCHA
6,poços,3426,3431,B-POÇO
7,arenito,3601,3608,B-ROCHA
8,óleo,3728,3732,B-FLUIDODATERRA
9,poços,4181,4186,B-POÇO
10,poço,4536,4540,B-POÇO
11,óleo,6489,6493,B-FLUIDODATERRA
12,areocr,6694,6700,B-ROCHA
13,arenito,6725,6732,B-ROCHA
14,calclfer,6735,6743,B-ROCHA
15,calcário,6786,6794,B-ROCHA
16,calcário,7093,7101,B-ROCHA
17,siltito,7176,7183,B-ROCHA
18,folhello,7231,7239,B-ROCHA
19,poços,8500,8505,B-POÇO
20,are1ito,9194,9201,B-ROCHA
21,argila,9380,9386,B-NÃOCONSOLID
22,arenito,9722,9729,B-ROCHA
23,are,12990,12993,B-ROCHA
24,siltito,13019,13026,B-ROCHA
25,poços,13364,13369,B-POÇO
26,poços,13915,13920,B-POÇO
27,siltito,14691,14698,B-ROCHA
28,óleo,15137,15141,B-FLUIDODATERRA
29,poços,15506,15511,B-POÇO
30,renito,15701,15707,B-ROCHA
31,folhelho,16099,16107,B-ROCHA
32,Campo,16729,16734,B-CAMPO
33,poços,17057,17062,B-POÇO
34,uJ-321,17063,17069,I-POÇO
35,poçosl,17781,17787,B-POÇO
36,arenito,18245,18252,B-ROCHA
37,óleo,18263,18267,B-FLUIDODATERRA
38,óleo,18554,18558,B-FLUIDODATERRA
39,poços,19014,19019,B-POÇO
40,poços,20350,20355,B-POÇO
41,poços-pacrões,20592,20605,B-POÇO
42,poços,20657,20662,B-POÇO
