,TEXT,START,END,LABEL
0,Devonianos,240,250,B-UNIDADE_CRONO
1,Silurianos,253,263,B-UNIDADE_CRONO
2,Bacia,267,272,B-BACIA
3,do,273,275,I-BACIA
4,Maranhão,276,284,I-BACIA
5,Bacia,290,295,B-BACIA
6,Amaz8nica,296,305,I-BACIA
7,poços,592,597,B-POÇO
8,bacias,608,614,B-BACIA
9,bacia,710,715,B-BACIA
10,do,716,718,I-BACIA
11,Maranhão,719,727,I-BACIA
12,Bacia,746,751,B-BACIA
13,Amaz8nica,752,761,I-BACIA
14,sedimentos,814,824,B-NÃOCONSOLID
15,devonianos,825,835,B-UNIDADE_CRONO
16,silurianos,838,848,B-UNIDADE_CRONO
17,bacia,855,860,B-BACIA
18,Bacia,882,887,B-BACIA
19,do,888,890,I-BACIA
20,Mara,891,895,I-BACIA
21,í,3831,3832,[CLS]
22,Bacia,7364,7369,B-BACIA
23,do,7370,7372,I-BACIA
24,Maranhão,7373,7381,I-BACIA
25,17-,12550,12553,B-POÇO
26,Bacia,12592,12597,B-BACIA
