,TEXT,START,END,LABEL
0,Devoniano,168,177,B-UNIDADE_CRONO
1,Bacia,201,206,B-BACIA
2,do,207,209,I-BACIA
3,Maranhão,210,218,I-BACIA
4,formação,2137,2145,B-UNIDADE_LITO
5,Stanley,2146,2153,I-UNIDADE_LITO
6,Idade,2178,2183,B-UNIDADE_CRONO
7,Carbonífera,2184,2195,I-UNIDADE_CRONO
8,Ponsilvaniano,2218,2231,B-UNIDADE_CRONO
9,Bacia,2446,2451,B-BACIA
10,do,2452,2454,I-BACIA
11,Maranhão,2455,2463,I-BACIA
12,Devoniane,2607,2616,B-UNIDADE_CRONO
13,inferior,2617,2625,I-UNIDADE_CRONO
14,gmao,11920,11924,B-ROCHA
15,sedimentos,13488,13498,B-NÃOCONSOLID
16,Devonianos,13512,13522,B-UNIDADE_CRONO
17,Bacia,13526,13531,B-BACIA
18,do,13532,13534,I-BACIA
19,Maranhão,13535,13543,I-BACIA
20,Pote,13929,13933,B-POÇO
21,1-,13934,13936,I-POÇO
