,TEXT,START,END,LABEL
0,bacia,125,130,B-BACIA
1,bacia,371,376,B-BACIA
2,diabásio,570,578,B-ROCHA
3,sedimentos,591,601,B-NÃOCONSOLID
4,bacia,790,795,B-BACIA
5,sedimentos,881,891,B-NÃOCONSOLID
6,hidrocarbonetos,1342,1357,B-FLUIDODATERRA
7,bacia,1507,1512,B-BACIA
8,do,1513,1515,I-BACIA
9,Recôncavo,1516,1525,I-BACIA
10,arenitos,1682,1690,B-ROCHA
11,sedimentos,1920,1930,B-NÃOCONSOLID
12,Aptiano-Plbiano,1952,1967,B-UNIDADE_CRONO
13,Campàniano-Maeetriquiano,1992,2016,B-UNIDADE_CRONO
14,bacia,2071,2076,B-BACIA
15,do,2077,2079,I-BACIA
16,Almada,2080,2086,I-BACIA
17,folhelhos,2125,2134,B-ROCHA
18,siltitos,2225,2233,B-ROCHA
19,Recôncavo,2353,2362,B-BACIA
20,petróleo,2927,2935,B-FLUIDODATERRA
21,gás,2938,2941,B-FLUIDODATERRA
22,areni,2961,2966,B-ROCHA
23,arenitos,3029,3037,B-ROCHA
24,formação,3041,3049,B-UNIDADE_LITO
25,Ilb.asa,3050,3057,I-UNIDADE_LITO
26,óleo,7883,7887,B-FLUIDODATERRA
27,bacia,9313,9318,B-BACIA
28,bacia,10312,10317,B-BACIA
29,bacia,10473,10478,B-BACIA
30,bacia,10742,10747,B-BACIA
31,bacia,11176,11181,B-BACIA
32,do,11182,11184,I-BACIA
33,Rio,11185,11188,I-BACIA
34,areni,11619,11624,B-ROCHA
35,Candeias,11878,11886,B-CAMPO
36,bacia,12034,12039,B-BACIA
37,aguam,12680,12685,B-FLUIDODATERRA
38,formação,13105,13113,B-UNIDADE_LITO
39,Uruoutu-OI..,13114,13126,I-UNIDADE_LITO
40,arenitoE,14001,14009,B-ROCHA
41,aranito,14031,14038,B-ROCHA
42,bacia,14098,14103,B-BACIA
43,rochas,14398,14404,B-ROCHA
44,sedimentos,14454,14464,B-NÃOCONSOLID
45,bacia,14981,14986,B-BACIA
46,do,14987,14989,I-BACIA
47,Rio,14990,14993,I-BACIA
48,Almada,14994,15000,I-BACIA
49,bacia,15758,15763,B-BACIA
50,sedimentos,15764,15774,B-NÃOCONSOLID
51,Cretáceo,15778,15786,B-UNIDADE_CRONO
52,Inferior,15787,15795,I-UNIDADE_CRONO
53,formações,15811,15820,B-UNIDADE_LITO
54,Sergi,15821,15826,I-UNIDADE_LITO
55,Candeias,15841,15849,I-UNIDADE_LITO
56,Ilhas,15851,15856,I-UNIDADE_LITO
57,Aptiano-Albiano,15868,15883,B-UNIDADE_CRONO
58,sedimentos,15886,15896,B-NÃOCONSOLID
59,Cretáo&o,15909,15917,B-UNIDADE_CRONO
