,TEXT,START,END,LABEL
0,idade,614,619,B-UNIDADE_CRONO
1,Devoniana,620,629,I-UNIDADE_CRONO
2,inferior,630,638,I-UNIDADE_CRONO
3,Siluriana,641,650,B-UNIDADE_CRONO
4,formação,718,726,B-UNIDADE_LITO
5,Pimen-:,727,734,I-UNIDADE_LITO
6,Bacia,2051,2056,B-BACIA
7,do,2057,2059,I-BACIA
8,Recôn,2060,2065,I-BACIA
9,cavo,2066,2070,I-BACIA
10,Barreirinhas,2110,2122,B-BACIA
11,Paleozoico,4643,4653,B-UNIDADE_CRONO
12,Siluriano,5739,5748,B-UNIDADE_CRONO
13,2',11017,11019,B-POÇO
14,sedimentos,19326,19336,B-NÃOCONSOLID
15,Formação,19351,19359,B-UNIDADE_LITO
16,Pimenteiras,19360,19371,I-UNIDADE_LITO
17,poço,19601,19605,B-POÇO
18,Devoniano,19795,19804,B-UNIDADE_CRONO
19,Devoniano,20010,20019,B-UNIDADE_CRONO
20,siluriano,20962,20971,B-UNIDADE_CRONO
21,Bacia,20975,20980,B-BACIA
22,do,20981,20983,I-BACIA
23,Mara-nhão,20984,20993,I-BACIA
24,sedimentos,21073,21083,B-NÃOCONSOLID
25,poço,21087,21091,B-POÇO
26,Pist-1-Ma,21092,21101,I-POÇO
27,pevoniano,21373,21382,B-UNIDADE_CRONO
28,Bacia,21386,21391,B-BACIA
29,do,21392,21394,I-BACIA
30,Maranhão,21395,21403,I-BACIA
