,TEXT,START,END,LABEL
0,bacia,202,207,B-BACIA
1,do,208,210,I-BACIA
2,Rec6ncavo,211,220,I-BACIA
3,bacia,775,780,B-BACIA
4,do,781,783,I-BACIA
5,Rec6ncavo,784,793,I-BACIA
6,sedimentos,813,823,B-NÃOCONSOLID
7,bacia,1193,1198,B-BACIA
8,grupo,1373,1378,B-UNIDADE_LITO
9,Brotas,1379,1385,I-UNIDADE_LITO
10,bacia,1404,1409,B-BACIA
11,do,1410,1412,I-BACIA
12,Recôncavo,1413,1422,I-BACIA
13,formação,1584,1592,B-UNIDADE_LITO
14,Ilhas,1593,1598,I-UNIDADE_LITO
15,poços,1944,1949,B-POÇO
16,poço,2008,2012,B-POÇO
17,Marfim,2016,2022,I-POÇO
18,formação,2143,2151,B-UNIDADE_LITO
19,bacia,2350,2355,B-BACIA
20,do,2356,2358,I-BACIA
21,Recôn,2359,2364,I-BACIA
22,cavo,2365,2369,I-BACIA
23,Fazenda,2751,2758,B-CAMPO
24,Cinzento,2759,2767,I-CAMPO
25,Fazenda,2824,2831,B-CAMPO
26,Santa,2832,2837,I-CAMPO
27,Maria,2838,2843,I-CAMPO
28,Fazenda,2846,2853,B-CAMPO
29,Paciência,2854,2863,I-CAMPO
30,pioneiro,2960,2968,B-POÇO
31,campos,3580,3586,B-CAMPO
32,poços,4023,4028,B-POÇO
33,estratigráficos,4029,4044,B-POÇO
34,bacia,4331,4336,B-BACIA
35,do,4337,4339,I-BACIA
36,Recôncavo,4340,4349,I-BACIA
37,bacia,4563,4568,B-BACIA
38,formação,4917,4925,B-UNIDADE_LITO
39,são,4926,4929,I-UNIDADE_LITO
40,formação,5012,5020,B-UNIDADE_LITO
41,Marizal,5021,5028,I-UNIDADE_LITO
42,bacia,5099,5104,B-BACIA
43,RosáriO,5211,5218,B-CAMPO
44,Fazenda,5220,5227,B-CAMPO
45,Cinzento,5228,5236,I-CAMPO
46,Matraca,5238,5245,B-CAMPO
47,campo,5303,5308,B-CAMPO
48,de,5309,5311,I-CAMPO
49,Massuí,5312,5318,I-CAMPO
50,Fazenda,5394,5401,B-CAMPO
51,Cinzento,5402,5410,I-CAMPO
52,Matraca,5413,5420,B-CAMPO
53,bacia,7042,7047,B-BACIA
54,bacia,14262,14267,B-BACIA
55,do,14268,14270,I-BACIA
56,Bec&c.yo,14271,14279,I-BACIA
57,Recôncavo,14985,14994,B-BACIA
58,poço,15592,15596,B-POÇO
59,Campos,15641,15647,B-BACIA
60,Campo,15666,15671,B-CAMPO
61,de,15672,15674,I-CAMPO
62,Caruagu,15675,15682,I-CAMPO
63,campo,15904,15909,B-CAMPO
64,Campo,16804,16809,B-CAMPO
65,de,16810,16812,I-CAMPO
66,Roça,16813,16817,I-CAMPO
67,Grande,16818,16824,I-CAMPO
68,campo,16829,16834,B-CAMPO
69,de,16835,16837,I-CAMPO
70,Socorro,16838,16845,I-CAMPO
71,poços,16866,16871,B-POÇO
72,poço,17926,17930,B-POÇO
73,Camaçari,18077,18085,B-CAMPO
74,Candeias,18119,18127,B-CAMPO
75,Água,18169,18173,B-CAMPO
76,Água,18728,18732,B-CAMPO
77,Comprida,18733,18741,I-CAMPO
78,poços,18877,18882,B-POÇO
79,pioneiros,18883,18892,B-POÇO
80,Cretú,24596,24601,B-UNIDADE_CRONO
81,rochas,25291,25297,B-ROCHA
82,bacia,25390,25395,B-BACIA
83,do,25396,25398,I-BACIA
84,Recôncavo,25399,25408,I-BACIA
85,rochas,25576,25582,B-ROCHA
86,rochas,25613,25619,B-ROCHA
87,Gnaisses,25639,25647,B-ROCHA
88,Anfibolitos,25660,25671,B-ROCHA
89,rochas,25789,25795,B-ROCHA
90,Água,25826,25830,B-CAMPO
91,Comprida,25831,25839,I-CAMPO
92,rochas,25889,25895,B-ROCHA
93,pré-Cenbriano,25899,25912,B-UNIDADE_CRONO
94,bacia,25969,25974,B-BACIA
95,sedimentos,26155,26165,B-NÃOCONSOLID
96,areia,29988,29993,B-NÃOCONSOLID
97,Grupo,32062,32067,B-UNIDADE_LITO
98,"BI""",32068,32071,I-UNIDADE_LITO
99,rochaa,34377,34383,B-ROCHA
100,baciaa,34946,34952,B-BACIA
101,Tucano,34956,34962,B-BACIA
102,Jatobá,34965,34971,B-BACIA
103,arenitos,35078,35086,B-ROCHA
104,bacia,35245,35250,B-BACIA
105,do,35251,35253,I-BACIA
106,Becôn-caTO,35254,35264,I-BACIA
107,arenito,38383,38390,B-ROCHA
108,ão,38528,38530,B-UNIDADE_LITO
109,Itaparioa,38531,38540,I-UNIDADE_LITO
110,formação,39444,39452,B-UNIDADE_LITO
111,Candeias,39453,39461,I-UNIDADE_LITO
112,arenito,39600,39607,B-ROCHA
113,areia,40547,40552,B-NÃOCONSOLID
114,Jatobá,40747,40753,B-BACIA
115,rocha,41158,41163,B-ROCHA
116,bacia,41850,41855,B-BACIA
117,bacia,42029,42034,B-BACIA
118,Catu,42354,42358,B-CAMPO
119,Lobato,44817,44823,B-CAMPO
120,campo,44889,44894,B-CAMPO
121,de,44895,44897,I-CAMPO
122,Aretu,44898,44903,I-CAMPO
123,folhelho,44922,44930,B-ROCHA
124,siltitos,45040,45048,B-ROCHA
125,arenitos,45076,45084,B-ROCHA
126,conglomerados,45125,45138,B-ROCHA
127,folhelhos,45427,45436,B-ROCHA
128,Siltitos,45503,45511,B-ROCHA
129,calcífero,45526,45535,B-ROCHA
130,conglomerado,45538,45550,B-ROCHA
131,seixos,45566,45572,B-NÃOCONSOLID
132,gneisse,45576,45583,B-ROCHA
133,seixos,45630,45636,B-NÃOCONSOLID
134,Pari,45777,45781,B-CAMPO
135,conglomerado,45930,45942,B-ROCHA
136,siltito,45970,45977,B-ROCHA
137,arenitos,46019,46027,B-ROCHA
138,folhelhos,46148,46157,B-ROCHA
139,formação,46346,46354,B-UNIDADE_LITO
140,Ilhas,46355,46360,I-UNIDADE_LITO
141,siltitos,46385,46393,B-ROCHA
142,arenito,46431,46438,B-ROCHA
143,folhelhos,46458,46467,B-ROCHA
144,arenito,46726,46733,B-ROCHA
145,campos,46843,46849,B-CAMPO
146,de,46850,46852,I-CAMPO
147,São,46853,46856,I-CAMPO
148,Pedro,46857,46862,I-CAMPO
149,Jacuípe,46883,46890,B-BACIA
150,Folhelhos,46931,46940,B-ROCHA
151,rocha,46971,46976,B-ROCHA
152,arenito,47121,47128,B-ROCHA
153,campo,47240,47245,B-CAMPO
154,de,47246,47248,I-CAMPO
155,Jacuípe,47249,47256,I-CAMPO
156,fazenda,47296,47303,B-CAMPO
157,Coqueiro,47304,47312,I-CAMPO
158,arenito,47319,47326,B-ROCHA
159,arenito,47451,47458,B-ROCHA
160,folhelho,47470,47478,B-ROCHA
161,folhelhos,47531,47540,B-ROCHA
162,ealedreo,47636,47644,B-ROCHA
163,Arenito,47687,47694,B-ROCHA
164,poços,47803,47808,B-POÇO
165,Campo,47812,47817,B-CAMPO
166,de,47818,47820,I-CAMPO
167,Mata.,47821,47826,I-CAMPO
168,Fanglomerado,49023,49035,B-ROCHA
169,Formação,49058,49066,B-UNIDADE_LITO
170,Ilhas,49067,49072,I-UNIDADE_LITO
171,calcário,49104,49112,B-ROCHA
172,Quistnado,49163,49172,B-UNIDADE_CRONO
173,formação,49183,49191,B-UNIDADE_LITO
174,Ilhas,49192,49197,I-UNIDADE_LITO
175,Matraca,49209,49216,B-CAMPO
176,sedimentos,49397,49407,B-NÃOCONSOLID
177,formação,49411,49419,B-UNIDADE_LITO
178,Ilhas,49420,49425,I-UNIDADE_LITO
179,poços,49499,49504,B-POÇO
180,formação,51539,51547,B-UNIDADE_LITO
181,São,51548,51551,I-UNIDADE_LITO
182,Miguel,51552,51558,I-UNIDADE_LITO
183,bacia,51562,51567,B-BACIA
184,de,51568,51570,I-BACIA
185,Sergipe,51571,51578,I-BACIA
186,MP-1-M.,56932,56939,B-POÇO
187,membro,57331,57337,B-UNIDADE_LITO
188,1nf'er1or,57338,57347,I-UNIDADE_LITO
189,formação,58217,58225,B-UNIDADE_LITO
190,Marizal,58226,58233,I-UNIDADE_LITO
191,arenitos,58300,58308,B-ROCHA
192,Tucano,58406,58412,B-BACIA
193,Tucano,58606,58612,B-BACIA
194,formação,58670,58678,B-UNIDADE_LITO
195,Marizal,58679,58686,I-UNIDADE_LITO
196,formação,58745,58753,B-UNIDADE_LITO
197,Barreiras,58754,58763,I-UNIDADE_LITO
198,quaternários,58797,58809,B-UNIDADE_CRONO
199,formações,58849,58858,B-UNIDADE_LITO
200,Barreiras,58859,58868,I-UNIDADE_LITO
201,Merizal,58871,58878,I-UNIDADE_LITO
202,seixos,59078,59084,B-NÃOCONSOLID
203,gneisse,59088,59095,B-ROCHA
204,formação,59099,59107,B-UNIDADE_LITO
205,Merizal,59108,59115,I-UNIDADE_LITO
