,TEXT,START,END,LABEL
0,carbonífero,140,151,B-UNIDADE_CRONO
1,Superior,152,160,I-UNIDADE_CRONO
2,Permiano,163,171,B-UNIDADE_CRONO
3,Bacia,1264,1269,B-BACIA
4,40,1270,1272,I-BACIA
5,Marullâe,1273,1281,I-BACIA
6,teito,1393,1398,B-ROCHA
7,Bacia,1601,1606,B-BACIA
8,elo,1607,1610,I-BACIA
9,Maranhã,1611,1618,I-BACIA
10,Bacia,1702,1707,B-BACIA
11,Aaazôniaa,1708,1717,I-BACIA
12,Jatobá,2343,2349,B-BACIA
13,bacia,2660,2665,B-BACIA
14,do,2666,2668,I-BACIA
15,Maranhão,2669,2677,I-BACIA
16,Si,2880,2882,B-UNIDADE_CRONO
17,Devonisno,2893,2902,B-UNIDADE_CRONO
18,folhelhes,4289,4298,B-ROCHA
19,silte,4362,4367,B-NÃOCONSOLID
20,poços,4469,4474,B-POÇO
21,poço,7255,7259,B-POÇO
22,Iust-l-Ma,7260,7269,I-POÇO
23,poço,7910,7914,B-POÇO
24,Iust-l-Ma,7915,7924,I-POÇO
25,Laevigatosperi,8508,8522,B-UNIDADE_CRONO
26,poço,8979,8983,B-POÇO
27,bastões,10328,10335,B-ROCHA
28,poço,11987,11991,B-POÇO
29,poço,12373,12377,B-POÇO
30,IustelcMa,12378,12387,I-POÇO
31,bacia,15023,15028,B-BACIA
32,do,15029,15031,I-BACIA
33,Maranhão,15032,15040,I-BACIA
34,paleosóicos,15081,15092,B-UNIDADE_CRONO
35,poço,15096,15100,B-POÇO
36,Pta-l-Se,15101,15109,I-POÇO
37,bacias,15817,15823,B-BACIA
38,bacias,15967,15973,B-BACIA
39,Paleozeice,16353,16363,B-UNIDADE_CRONO
40,Superior,16364,16372,I-UNIDADE_CRONO
41,Bacia,16376,16381,B-BACIA
42,do,16382,16384,I-BACIA
43,Paranãs,16385,16392,I-BACIA
