,TEXT,START,END,LABEL
0,Bacias,139,145,B-BACIA
1,Sedimentares,146,158,I-BACIA
2,Tucano,162,168,B-BACIA
3,Jatobá,171,177,B-BACIA
4,água,267,271,B-FLUIDODATERRA
5,potável,272,279,I-FLUIDODATERRA
6,Tucano,479,485,B-BACIA
7,Jatobá,490,496,B-BACIA
8,bacias,779,785,B-BACIA
9,do,786,788,I-BACIA
10,Tucano,789,795,I-BACIA
11,Jatobá,798,804,B-BACIA
12,águas,835,840,B-FLUIDODATERRA
13,bacias,963,969,B-BACIA
14,agua,1456,1460,B-FLUIDODATERRA
15,bacias,1782,1788,B-BACIA
16,poços,1842,1847,B-POÇO
17,poços,1980,1985,B-POÇO
18,bacia,2160,2165,B-BACIA
19,Tucano,2180,2186,B-BACIA
20,bacia,2349,2354,B-BACIA
21,Paleozóicos,2362,2373,B-UNIDADE_CRONO
22,bacia,2415,2420,B-BACIA
23,Fazenda,2582,2589,B-CAMPO
24,Campo,2590,2595,I-CAMPO
25,Ve~,2596,2599,I-CAMPO
26,água,2734,2738,B-FLUIDODATERRA
27,bacia,2797,2802,B-BACIA
28,bacia,3078,3083,B-BACIA
29,do,3084,3086,I-BACIA
30,Tucano,3087,3093,I-BACIA
31,água,3802,3806,B-FLUIDODATERRA
32,bacia,4338,4343,B-BACIA
33,de,4344,4346,I-BACIA
34,Tucano,4347,4353,I-BACIA
35,bacia,4360,4365,B-BACIA
36,bacia,4470,4475,B-BACIA
37,cretáceo,4963,4971,B-UNIDADE_CRONO
38,renitos,5303,5310,B-ROCHA
39,conglomerado,5344,5356,B-ROCHA
40,rochas,5383,5389,B-ROCHA
41,Formação,5727,5735,B-UNIDADE_LITO
42,são,5736,5739,I-UNIDADE_LITO
43,Sebastião,5740,5749,I-UNIDADE_LITO
44,arenitos,5973,5981,B-ROCHA
45,folhelhos,6099,6108,B-ROCHA
46,arenitos,6131,6139,B-ROCHA
47,agua,6312,6316,B-FLUIDODATERRA
48,Candeias,6318,6326,B-CAMPO
49,arenit~,6377,6384,B-ROCHA
50,água,6540,6544,B-FLUIDODATERRA
51,poços,6803,6808,B-POÇO
52,água,6812,6816,B-FLUIDODATERRA
53,água,6893,6897,B-FLUIDODATERRA
54,bacia,6939,6944,B-BACIA
55,d.,6945,6947,I-BACIA
56,Tucano,6948,6954,I-BACIA
57,arenitos,6988,6996,B-ROCHA
58,água,7112,7116,B-FLUIDODATERRA
59,Formação,7129,7137,B-UNIDADE_LITO
60,Candeias,7138,7146,I-UNIDADE_LITO
61,Formação,7147,7155,B-UNIDADE_LITO
62,Itaparica,7156,7165,I-UNIDADE_LITO
63,Formação,7166,7174,B-UNIDADE_LITO
64,Sergi,7175,7180,I-UNIDADE_LITO
65,Formação,7181,7189,B-UNIDADE_LITO
66,Aliança,7190,7197,I-UNIDADE_LITO
67,bacia,7394,7399,B-BACIA
68,água,7415,7419,B-FLUIDODATERRA
69,formação,7536,7544,B-UNIDADE_LITO
70,Pimenteiras,7545,7556,I-UNIDADE_LITO
71,bacia,7560,7565,B-BACIA
72,do,7566,7568,I-BACIA
73,Maranhãs,7569,7577,I-BACIA
74,bacia,7582,7587,B-BACIA
75,d.,7588,7590,I-BACIA
76,Tucano,7591,7597,I-BACIA
77,água,7660,7664,B-FLUIDODATERRA
78,Forma,7750,7755,B-UNIDADE_LITO
79,ção,7756,7759,B-UNIDADE_LITO
80,CuritUba,7760,7768,I-UNIDADE_LITO
81,bacia,8051,8056,B-BACIA
82,bacia,8156,8161,B-BACIA
83,águas,8410,8415,B-FLUIDODATERRA
84,bacia,8636,8641,B-BACIA
85,do,8642,8644,I-BACIA
86,Tuc,8645,8648,I-BACIA
87,ano,8649,8652,I-BACIA
88,água,8930,8934,B-FLUIDODATERRA
89,bacia,8980,8985,B-BACIA
90,formações,9034,9043,B-UNIDADE_LITO
91,Mariz,9044,9049,I-UNIDADE_LITO
92,água,9400,9404,B-FLUIDODATERRA
93,poços,9713,9718,B-POÇO
94,poço,9838,9842,B-POÇO
95,bacia,9846,9851,B-BACIA
96,do,9852,9854,I-BACIA
97,Itapicuru,9855,9864,I-BACIA
98,água,9905,9909,B-FLUIDODATERRA
99,poços,9935,9940,B-POÇO
100,poços,10112,10117,B-POÇO
101,agua,10138,10142,B-FLUIDODATERRA
102,poços,10169,10174,B-POÇO
103,bacia,10237,10242,B-BACIA
104,bacia,10266,10271,B-BACIA
105,poços,10299,10304,B-POÇO
106,poço,10401,10405,B-POÇO
107,poço,10434,10438,B-POÇO
108,água,10583,10587,B-FLUIDODATERRA
109,dôce,10588,10592,I-FLUIDODATERRA
110,bacia,10617,10622,B-BACIA
111,do,10623,10625,I-BACIA
112,Jatobá,10626,10632,I-BACIA
113,sedimentos,10683,10693,B-NÃOCONSOLID
114,cenozóicos,10694,10704,B-UNIDADE_CRONO
115,mesozóicos,10706,10716,B-UNIDADE_CRONO
116,cretá,10718,10723,B-UNIDADE_CRONO
117,ceos,10724,10728,I-UNIDADE_CRONO
118,paleozóicos,10732,10743,B-UNIDADE_CRONO
119,carbonifero,10745,10756,B-UNIDADE_CRONO
120,devoniano,10768,10777,B-UNIDADE_CRONO
121,bacia,10785,10790,B-BACIA
122,bacia,10966,10971,B-BACIA
123,de,10972,10974,I-BACIA
124,Jatobá,10975,10981,I-BACIA
125,bacia,11627,11632,B-BACIA
126,de,11633,11635,I-BACIA
127,Tucano,11636,11642,I-BACIA
128,águas,11656,11661,B-FLUIDODATERRA
129,bacia,11678,11683,B-BACIA
130,de,11684,11686,I-BACIA
131,Jatobá,11687,11693,I-BACIA
132,bacia,11700,11705,B-BACIA
133,bacia,11822,11827,B-BACIA
134,bacia,11927,11932,B-BACIA
135,bacia,12005,12010,B-BACIA
136,bacia,12058,12063,B-BACIA
137,Serrotinho,12081,12091,B-CAMPO
138,arenitos,12183,12191,B-ROCHA
139,bacia,12321,12326,B-BACIA
140,de,12327,12329,I-BACIA
141,Tucano,12330,12336,I-BACIA
142,arenitos,12374,12382,B-ROCHA
143,arenitos,12459,12467,B-ROCHA
144,Formação,12561,12569,B-UNIDADE_LITO
145,são,12570,12573,I-UNIDADE_LITO
146,Sebastião,12574,12583,I-UNIDADE_LITO
147,Formação,12584,12592,B-UNIDADE_LITO
148,Ilhas,12593,12598,I-UNIDADE_LITO
149,Tucano,12697,12703,B-BACIA
150,arenito,12788,12795,B-ROCHA
151,agua,12838,12842,B-FLUIDODATERRA
152,folhelhos,12975,12984,B-ROCHA
153,água,13026,13030,B-FLUIDODATERRA
154,poço,13179,13183,B-POÇO
155,Formação,13368,13376,B-UNIDADE_LITO
156,Candeias,13377,13385,I-UNIDADE_LITO
157,Formação,13386,13394,B-UNIDADE_LITO
158,Sergi,13395,13400,I-UNIDADE_LITO
159,Formação,13401,13409,B-UNIDADE_LITO
160,Aliança,13410,13417,I-UNIDADE_LITO
161,arenitos,13453,13461,B-ROCHA
162,bacia,13541,13546,B-BACIA
163,formação,13650,13658,B-UNIDADE_LITO
164,Pimenteiras,13659,13670,I-UNIDADE_LITO
165,bacia,13674,13679,B-BACIA
166,do,13680,13682,I-BACIA
167,Maranhão,13683,13691,I-BACIA
168,bacia,13720,13725,B-BACIA
169,água,13801,13805,B-FLUIDODATERRA
170,formação,13945,13953,B-UNIDADE_LITO
171,Serra,13954,13959,I-UNIDADE_LITO
172,Grande,13960,13966,I-UNIDADE_LITO
173,bacia,13970,13975,B-BACIA
174,bacia,14010,14015,B-BACIA
175,do,14016,14018,I-BACIA
176,Jatobá,14019,14025,I-BACIA
177,bacia,14057,14062,B-BACIA
178,de,14063,14065,I-BACIA
179,Tucano,14066,14072,I-BACIA
180,de,14326,14328,B-POÇO
181,para,14335,14339,B-FLUIDODATERRA
182,poços,14449,14454,B-POÇO
183,agua,14667,14671,B-FLUIDODATERRA
184,bacia,14677,14682,B-BACIA
185,de,14683,14685,I-BACIA
186,Tucano,14686,14692,I-BACIA
187,agua,14707,14711,B-FLUIDODATERRA
188,poços,14920,14925,B-POÇO
189,bacias,14989,14995,B-BACIA
190,de,14996,14998,I-BACIA
191,Tuc,14999,15002,I-BACIA
192,ano,15003,15006,I-BACIA
193,água,15129,15133,B-FLUIDODATERRA
194,Água,15633,15637,B-FLUIDODATERRA
195,agua,15666,15670,B-FLUIDODATERRA
196,poços,15840,15845,B-POÇO
197,água,15945,15949,B-FLUIDODATERRA
198,bacias,15954,15960,B-BACIA
199,de,15961,15963,I-BACIA
200,Tucano,15964,15970,I-BACIA
201,Jatobá,15973,15979,B-BACIA
202,hidrocarbone4,16124,16137,B-FLUIDODATERRA
203,água,16270,16274,B-FLUIDODATERRA
204,poços,16278,16283,B-POÇO
205,óleo,16316,16320,B-FLUIDODATERRA
206,gás,16324,16327,B-FLUIDODATERRA
207,Bacia,16720,16725,B-BACIA
208,do,16726,16728,I-BACIA
209,Tucano,16729,16735,I-BACIA
210,Tucano,16790,16796,B-BACIA
211,Basin,16797,16802,I-BACIA
212,Tucano,16872,16878,B-BACIA
213,Poços,16952,16957,B-POÇO
214,',16958,16959,I-POÇO
215,poços,17139,17144,B-POÇO
216,água,17150,17154,B-FLUIDODATERRA
217,Tuoano,17167,17173,B-UNIDADE_CRONO
218,Poço,17190,17194,B-POÇO
219,Tucano,17503,17509,B-BACIA
220,Sul,17510,17513,I-BACIA
221,formação,17660,17668,B-UNIDADE_LITO
222,Sergi,17669,17674,I-UNIDADE_LITO
223,Poç.,17711,17715,B-POÇO
224,Formação,17842,17850,B-UNIDADE_LITO
225,Sãe,17851,17854,I-UNIDADE_LITO
226,Sebastião,17855,17864,I-UNIDADE_LITO
227,poço,17877,17881,B-POÇO
228,Agua,18106,18110,B-CAMPO
229,formação,18135,18143,B-UNIDADE_LITO
230,Marizal,18144,18151,I-UNIDADE_LITO
231,Poço,18267,18271,B-POÇO
232,água,18306,18310,I-POÇO
233,arenitos,18323,18331,B-ROCHA
234,Marizal,18344,18351,I-UNIDADE_LITO
235,Poço,18442,18446,B-POÇO
236,arenitos,18460,18468,B-ROCHA
237,formação,18483,18491,B-UNIDADE_LITO
238,Ilhas~,18492,18498,I-UNIDADE_LITO
239,poços,18539,18544,B-POÇO
240,bacia,18577,18582,B-BACIA
241,do,18583,18585,I-BACIA
242,Tuonno,18586,18592,I-BACIA
243,água,18640,18644,B-FLUIDODATERRA
244,poços,18687,18692,B-POÇO
245,Cist-2-BA,18722,18731,B-POÇO
246,água,18755,18759,B-FLUIDODATERRA
247,água,18783,18787,B-FLUIDODATERRA
248,água,18814,18818,B-FLUIDODATERRA
249,Tucano,18826,18832,B-BACIA
250,Sul,18833,18836,I-BACIA
251,Água,18838,18842,B-FLUIDODATERRA
252,doce,18843,18847,I-FLUIDODATERRA
253,Poço,18927,18931,B-POÇO
254,NI-5-BA,19030,19037,B-POÇO
255,Massacará,19065,19074,B-CAMPO
256,Água,19115,19119,B-FLUIDODATERRA
257,arenito,19144,19151,B-ROCHA
258,formação,19167,19175,B-UNIDADE_LITO
259,Ilhas,19176,19181,I-UNIDADE_LITO
260,Poço,19183,19187,B-POÇO
261,Água,19270,19274,B-FLUIDODATERRA
262,doce,19275,19279,I-FLUIDODATERRA
263,Poço,19340,19344,B-POÇO
264,óleo,19373,19377,B-FLUIDODATERRA
265,água,19416,19420,B-FLUIDODATERRA
266,Poço,19456,19460,B-POÇO
267,rovos,19461,19466,I-POÇO
268,Poços,19495,19500,B-POÇO
269,poços,19799,19804,B-POÇO
270,Poço,19847,19851,B-POÇO
271,poço,19995,19999,B-POÇO
272,poço,20026,20030,B-POÇO
273,poços,20098,20103,B-POÇO
274,Tucano,20330,20336,B-BACIA
275,Poço,20337,20341,B-POÇO
276,poços,20659,20664,B-POÇO
277,1>010,20665,20670,I-POÇO
278,poço,20717,20721,B-POÇO
279,água,20735,20739,B-FLUIDODATERRA
280,Poço,20826,20830,B-POÇO
281,Tucano,20944,20950,B-BACIA
282,poço,20985,20989,B-POÇO
283,poço,21022,21026,B-POÇO
284,Poços,21065,21070,B-POÇO
285,poços,21156,21161,B-POÇO
286,água,21257,21261,B-FLUIDODATERRA
287,Poços,21275,21280,B-POÇO
288,poço,21466,21470,B-POÇO
289,de,21471,21473,I-CAMPO
290,Inajá,21474,21479,I-CAMPO
