,TEXT,START,END,LABEL
0,pioneiro,727,735,B-POÇO
1,Fazenda,764,771,B-CAMPO
2,Imlé,772,776,I-CAMPO
3,hidrocarbonetos,820,835,B-FLUIDODATERRA
4,Formação,856,864,B-UNIDADE_LITO
5,Ilhas,865,870,I-UNIDADE_LITO
6,arenitos,872,880,B-ROCHA
7,Formação,921,929,B-UNIDADE_LITO
8,Aliança,930,937,I-UNIDADE_LITO
9,Candeias,942,950,I-UNIDADE_LITO
10,Arenito,1022,1029,B-ROCHA
11,hidrocarbonstos,1046,1061,B-FLUIDODATERRA
12,poços,1119,1124,B-POÇO
13,FI-l,1125,1129,I-POÇO
14,FI-5,1160,1164,B-POÇO
15,7I-6,1183,1187,B-POÇO
16,hidrocarbonetos,1299,1314,B-FLUIDODATERRA
17,arenito,1407,1414,B-ROCHA
18,hidrocarbone,1480,1492,B-FLUIDODATERRA
19,Formação,1564,1572,B-UNIDADE_LITO
20,Ilhas,1573,1578,I-UNIDADE_LITO
21,Arenito,1614,1621,B-ROCHA
22,São,1622,1625,I-ROCHA
23,Ilhas,1845,1850,I-UNIDADE_LITO
24,Fazenda,2120,2127,B-CAMPO
25,imbé,2128,2132,I-CAMPO
26,PI-5,2350,2354,B-POÇO
27,óleo,2414,2418,B-FLUIDODATERRA
28,Formação,2521,2529,B-UNIDADE_LITO
29,Ilhas,2530,2535,I-UNIDADE_LITO
30,poços,2870,2875,B-POÇO
31,poços,3202,3207,B-POÇO
32,Formação,3273,3281,B-UNIDADE_LITO
33,Itaparica,3282,3291,I-UNIDADE_LITO
34,Formação,3293,3301,B-UNIDADE_LITO
35,Sergí,3302,3307,I-UNIDADE_LITO
36,Formação,3342,3350,B-UNIDADE_LITO
37,Aliança,3351,3358,I-UNIDADE_LITO
38,formações,3363,3372,B-UNIDADE_LITO
39,São,3373,3376,I-UNIDADE_LITO
40,Sebastião,3377,3386,I-UNIDADE_LITO
41,Ilhas,3388,3393,I-UNIDADE_LITO
42,Formação,3416,3424,B-UNIDADE_LITO
43,Candeias,3425,3433,I-UNIDADE_LITO
