,TEXT,START,END,LABEL
0,Paraná,5400,5406,B-BACIA
1,Basin,5407,5412,I-BACIA
2,Capivarí,6706,6714,B-UNIDADE_LITO
3,Permian,8604,8611,B-UNIDADE_CRONO
4,Paraná,9288,9294,B-BACIA
5,Basin,9295,9300,I-BACIA
6,Fazenda,12994,13001,B-CAMPO
7,Pitanga,13002,13009,I-CAMPO
8,Paraná,15886,15892,B-BACIA
9,Paraná,17342,17348,B-BACIA
10,Basin,17349,17354,I-BACIA
11,Paraná,29235,29241,B-BACIA
12,Paraná,35898,35904,B-BACIA
13,Basin,35905,35910,I-BACIA
14,Paraná,40816,40822,B-BACIA
15,Basin,40823,40828,I-BACIA
16,Paraná,41600,41606,B-BACIA
17,Basin,41607,41612,I-BACIA
18,Paraná,42302,42308,B-BACIA
19,Basin,42309,42314,I-BACIA
20,Paraná,43343,43349,B-BACIA
21,Basin,43350,43355,I-BACIA
22,Rio,43689,43692,I-UNIDADE_CRONO
23,do,43693,43695,I-UNIDADE_CRONO
24,Sul,43696,43699,I-UNIDADE_CRONO
25,Paraná,46410,46416,B-BACIA
26,Basin,46417,46422,I-BACIA
27,Paraná,46878,46884,B-BACIA
28,Paraná,49749,49755,B-BACIA
29,Basin,49756,49761,I-BACIA
30,Campos,50357,50363,B-BACIA
31,Paraná,52682,52688,B-BACIA
32,Basin,52689,52694,I-BACIA
33,Paraná,53589,53595,B-BACIA
34,Basin,53596,53601,I-BACIA
35,Maranhão,53767,53775,B-BACIA
36,Paraná,53966,53972,B-BACIA
37,Basin,53973,53978,I-BACIA
38,Paraná,57151,57157,B-BACIA
39,Basin,57158,57163,I-BACIA
40,Serra,57187,57192,B-CAMPO
41,Campos,57303,57309,B-BACIA
42,Paraná,59032,59038,B-BACIA
43,Basin,59039,59044,I-BACIA
44,Paraná,59738,59744,B-BACIA
45,Basin,59745,59750,I-BACIA
46,Itararé,59993,60000,B-CAMPO
47,Itararé,61998,62005,B-CAMPO
48,Paraná,62836,62842,B-BACIA
49,Basin,62843,62848,I-BACIA
50,Tubarão,68289,68296,B-CAMPO
51,Bacia,68301,68306,B-BACIA
52,do,68307,68309,I-BACIA
53,Rio,68310,68313,I-BACIA
54,Tietê,68314,68319,I-BACIA
55,Paraná,68783,68789,B-BACIA
56,Basin,68790,68795,I-BACIA
57,SP-11,70229,70234,B-POÇO
58,SP-12,70580,70585,B-POÇO
