,TEXT,START,END,LABEL
0,Paraná,2553,2559,B-BACIA
1,Basin,2560,2565,I-BACIA
2,Paraná,2730,2736,B-BACIA
3,Tangará,10341,10348,B-CAMPO
4,Tangará,12709,12716,B-CAMPO
5,Bonito,16358,16364,B-CAMPO
6,Tupanciretã,19894,19905,B-BACIA
7,Tupanã,20546,20552,B-BACIA
8,Pelotas,21386,21393,B-BACIA
9,Paraná,21644,21650,B-BACIA
10,Basinf,21651,21657,I-BACIA
11,Paraná,22638,22644,B-BACIA
12,Maroelino,23286,23295,B-UNIDADE_CRONO
13,Tangará,28000,28007,B-CAMPO
14,Paraná,28643,28649,B-BACIA
15,Paraná,30563,30569,B-BACIA
16,Bonito,31070,31076,B-CAMPO
17,Pelotas,33935,33942,B-BACIA
18,Gast-2-RS,34335,34344,B-POÇO
19,Pelotas,35709,35716,B-BACIA
20,Paraná,36681,36687,B-BACIA
21,Pelotas,37064,37071,B-BACIA
22,Paraná,37219,37225,B-BACIA
23,Basin,37226,37231,I-BACIA
24,Jato,37982,37986,B-BACIA
25,Paraná,38835,38841,B-BACIA
26,Tupanclretã,41818,41829,B-BACIA
27,Maroelino,45199,45208,B-UNIDADE_CRONO
28,Tangará,49063,49070,B-CAMPO
29,Bonito,52216,52222,B-CAMPO
30,Pelotas,55326,55333,B-BACIA
31,Pelotas,58159,58166,B-BACIA
32,Paraná,58310,58316,B-BACIA
33,Guatá,63205,63210,B-UNIDADE_CRONO
34,Rio,64900,64903,B-CAMPO
