,TEXT,START,END,LABEL
0,rochas,491,497,B-ROCHA
1,Mesozéicas,498,508,B-UNIDADE_CRONO
2,bacias,665,671,B-BACIA
3,bacias,1473,1479,B-BACIA
4,do,1480,1482,I-BACIA
5,Paraná,1501,1507,B-BACIA
6,Triássico,1520,1529,B-UNIDADE_CRONO
7,formação,1602,1610,B-UNIDADE_LITO
8,Beuru,1611,1616,I-UNIDADE_LITO
9,idade,1675,1680,B-UNIDADE_CRONO
10,Cretdcea,1681,1689,I-UNIDADE_CRONO
11,membro,1727,1733,B-UNIDADE_LITO
12,Aveté,1734,1739,I-UNIDADE_LITO
13,Mesozóicas,1782,1792,B-UNIDADE_CRONO
14,bacia,1820,1825,B-BACIA
15,do,1826,1828,I-BACIA
16,Parand,1829,1835,I-BACIA
17,Botucatu,1863,1871,B-UNIDADE_LITO
18,idade,1896,1901,B-UNIDADE_CRONO
19,Triéesica,1902,1911,I-UNIDADE_CRONO
20,camadas,1943,1950,B-UNIDADE_LITO
21,Santa,1951,1956,I-UNIDADE_LITO
22,Maria,1957,1962,I-UNIDADE_LITO
23,idade,2183,2188,B-UNIDADE_CRONO
24,Jurássica,2189,2198,I-UNIDADE_CRONO
25,formação,2278,2286,B-UNIDADE_LITO
26,Serra,2287,2292,I-UNIDADE_LITO
27,Geral,2293,2298,I-UNIDADE_LITO
28,arenitos,2389,2397,B-ROCHA
29,arenito,2465,2472,B-ROCHA
30,Botucatu,2473,2481,B-UNIDADE_LITO
31,arenitos,2484,2492,B-ROCHA
32,formação,2506,2514,B-UNIDADE_LITO
33,Serra,2515,2520,I-UNIDADE_LITO
34,Geral,2521,2526,I-UNIDADE_LITO
35,Paleozéico,2673,2683,B-UNIDADE_CRONO
36,Mesozóico,2706,2715,B-UNIDADE_CRONO
37,bacia,2719,2724,B-BACIA
38,do,2725,2727,I-BACIA
39,Parená,2728,2734,I-BACIA
40,bacia,2795,2800,B-BACIA
41,do,2801,2803,I-BACIA
42,São,2804,2807,I-BACIA
43,Frencisco,2808,2817,I-BACIA
44,Devoniano,2876,2885,B-UNIDADE_CRONO
45,Permiano,2889,2897,B-UNIDADE_CRONO
46,bacia,2902,2907,B-BACIA
47,do,2908,2910,I-BACIA
48,Paraná,2911,2917,I-BACIA
49,bacia,2946,2951,B-BACIA
50,do,2952,2954,I-BACIA
51,São,2955,2958,I-BACIA
52,Francisco,2959,2968,I-BACIA
53,Cretáceo,3059,3067,B-UNIDADE_CRONO
54,Cretáceo,3240,3248,B-UNIDADE_CRONO
55,Gretácea,3327,3335,B-UNIDADE_CRONO
56,bacia,3379,3384,B-BACIA
57,do,3385,3387,I-BACIA
58,Parand,3388,3394,I-BACIA
59,formação,3447,3455,B-UNIDADE_LITO
60,Botucatu,3456,3464,I-UNIDADE_LITO
61,Serra,3467,3472,B-UNIDADE_LITO
62,Geral,3473,3478,I-UNIDADE_LITO
63,arenitos,3499,3507,B-ROCHA
64,bacia,3600,3605,B-BACIA
65,do,3606,3608,I-BACIA
66,Paraná,3609,3615,I-BACIA
