,TEXT,START,END,LABEL
0,Bacia,389,394,B-BACIA
1,Amazônica,395,404,I-BACIA
2,Eacia,722,727,B-UNIDADE_CRONO
3,poço,1161,1165,B-POÇO
4,Bacia,1359,1364,B-BACIA
5,Amazônica,1365,1374,I-BACIA
6,Bacia,1680,1685,B-BACIA
7,Amazônica,1686,1695,I-BACIA
8,Rio,2005,2008,B-UNIDADE_LITO
9,Urubú,2009,2014,I-UNIDADE_LITO
10,Bacia,2038,2043,B-BACIA
11,do,2044,2046,I-BACIA
12,Amazonas,2047,2055,I-BACIA
13,bacia,3791,3796,B-BACIA
14,paleoz6ica,3924,3934,B-UNIDADE_CRONO
15,Bacia,3938,3943,B-BACIA
16,do,3944,3946,I-BACIA
17,Amazonas,3947,3955,I-BACIA
18,Urubú,4496,4501,I-CAMPO
19,rochas,4537,4543,B-ROCHA
20,silurianas,4544,4554,I-ROCHA
21,siltitos,4578,4586,B-ROCHA
22,formações,4655,4664,B-UNIDADE_LITO
23,Trombetas,4665,4674,I-UNIDADE_LITO
24,Maecurú,4677,4684,I-UNIDADE_LITO
25,are,4710,4713,B-ROCHA
26,formação,4807,4815,B-UNIDADE_LITO
27,Trombetas,4816,4825,I-UNIDADE_LITO
28,Siluriano,5182,5191,B-UNIDADE_CRONO
29,arenitos,5245,5253,B-ROCHA
30,siltitos,5287,5295,B-ROCHA
31,siltito,5520,5527,B-ROCHA
32,arenito,5549,5556,B-ROCHA
33,siluriana,5743,5752,B-UNIDADE_CRONO
34,quartzito,5811,5820,B-ROCHA
35,folhelho,5969,5977,B-ROCHA
36,siltito,6011,6018,B-ROCHA
37,argilito,6034,6042,B-ROCHA
38,rocha,6093,6098,B-ROCHA
39,siluriana,6209,6218,B-UNIDADE_CRONO
40,folhelho,6281,6289,B-ROCHA
41,formação,6465,6473,B-UNIDADE_LITO
42,Trombetas,6474,6483,I-UNIDADE_LITO
43,arenitos,6559,6567,B-ROCHA
44,formação,6604,6612,B-UNIDADE_LITO
45,siluriana,6613,6622,B-UNIDADE_CRONO
46,Siluriano,6826,6835,B-UNIDADE_CRONO
47,formação,6881,6889,B-UNIDADE_LITO
48,Trombetas,6890,6899,I-UNIDADE_LITO
49,formação,6999,7007,B-UNIDADE_LITO
50,Maecurú,7008,7015,I-UNIDADE_LITO
51,arenito,7027,7034,B-ROCHA
52,lhelhos,7127,7134,B-ROCHA
53,Siluriano,7203,7212,B-UNIDADE_CRONO
54,formação,7259,7267,B-UNIDADE_LITO
55,Trombetas,7268,7277,I-UNIDADE_LITO
56,arenito,7350,7357,B-ROCHA
57,Maecurú,7396,7403,B-UNIDADE_CRONO
58,siluriana,7444,7453,B-UNIDADE_CRONO
59,arenitos,7515,7523,B-ROCHA
60,Maecurú,7668,7675,B-UNIDADE_CRONO
61,folhelho,7689,7697,B-ROCHA
62,formação,7774,7782,B-UNIDADE_LITO
63,devoniana,7783,7792,B-UNIDADE_CRONO
64,siluriano,7843,7852,B-UNIDADE_CRONO
65,formação,7892,7900,B-UNIDADE_LITO
66,Trombetas,7901,7910,I-UNIDADE_LITO
67,Siluriana,8169,8178,B-UNIDADE_CRONO
68,arenito,8269,8276,B-ROCHA
69,quartzito,8280,8289,B-ROCHA
70,siltito,8304,8311,B-ROCHA
71,folhelho,8317,8325,B-ROCHA
72,folhelhos,8511,8520,B-ROCHA
73,folhelhos,8655,8664,B-ROCHA
74,folhelhos,8723,8732,B-ROCHA
75,folhelhos,8781,8790,B-ROCHA
76,folhelhos,8853,8862,B-ROCHA
77,Bacia,8922,8927,B-BACIA
78,do,8928,8930,I-BACIA
79,Ama,8931,8934,I-BACIA
80,formação,9109,9117,B-UNIDADE_LITO
81,Trombetas,9118,9127,I-UNIDADE_LITO
82,bacia,9295,9300,B-BACIA
83,folhelhos,9555,9564,B-ROCHA
84,sedimento,9887,9896,B-NÃOCONSOLID
85,bacia,10323,10328,B-BACIA
86,siluriano,10428,10437,B-UNIDADE_CRONO
87,folhelhos,10582,10591,B-ROCHA
88,Siluriano,10627,10636,B-UNIDADE_CRONO
89,arenitos,10663,10671,B-ROCHA
90,formação,10709,10717,B-UNIDADE_LITO
91,Maecurú,10718,10725,I-UNIDADE_LITO
92,siltito,10803,10810,B-ROCHA
93,Bacia,11017,11022,B-BACIA
94,do,11023,11025,I-BACIA
95,Ama,11026,11029,I-BACIA
96,zonas,11030,11035,I-BACIA
97,formação,11066,11074,B-UNIDADE_LITO
98,Maecurú,11075,11082,I-UNIDADE_LITO
99,arenitos,11152,11160,B-ROCHA
100,siltitos,11167,11175,B-ROCHA
101,folhelhos,11178,11187,B-ROCHA
102,Ariramba,11236,11244,B-UNIDADE_LITO
103,folhelhos,11293,11302,B-ROCHA
104,arenitos,11309,11317,B-ROCHA
105,membros,11408,11415,B-UNIDADE_LITO
106,Jatapú,11416,11422,I-UNIDADE_LITO
107,Ariramba,11425,11433,I-UNIDADE_LITO
108,folhelhos,11459,11468,B-ROCHA
109,formação,11827,11835,B-UNIDADE_LITO
110,Maecurú,11836,11843,I-UNIDADE_LITO
111,folhelhos,12265,12274,B-ROCHA
112,formação,12333,12341,B-UNIDADE_LITO
113,Curuá,12342,12347,I-UNIDADE_LITO
114,folhelhos,12455,12464,B-ROCHA
115,FORMAÇÃO,12532,12540,B-UNIDADE_LITO
116,bacia,12692,12697,B-BACIA
117,do,12698,12700,I-BACIA
118,Amazonas,12701,12709,I-BACIA
