,TEXT,START,END,LABEL
0,formação,2585,2593,B-UNIDADE_LITO
1,curuá,2594,2599,I-UNIDADE_LITO
2,Maecurú,2697,2704,B-UNIDADE_CRONO
3,curuá,2828,2833,B-CAMPO
4,formação,2989,2997,B-UNIDADE_LITO
5,Trombetas,2998,3007,I-UNIDADE_LITO
6,Maecurú,3023,3030,B-UNIDADE_CRONO
7,curuá,3131,3136,B-CAMPO
8,sedimentos,3863,3873,B-NÃOCONSOLID
9,formação,3937,3945,B-UNIDADE_LITO
10,Yaecurú,3946,3953,I-UNIDADE_LITO
11,Devoniano,3976,3985,B-UNIDADE_CRONO
12,Inferi~,3986,3993,I-UNIDADE_CRONO
13,Siluriano,4028,4037,B-UNIDADE_CRONO
14,Paleozóioo,4496,4506,B-UNIDADE_CRONO
15,Mesozóioo,4510,4519,B-UNIDADE_CRONO
16,Cenozoioo,4550,4559,B-UNIDADE_CRONO
17,Cambriano,4655,4664,B-UNIDADE_CRONO
18,cretáceo,4668,4676,B-UNIDADE_CRONO
19,Cambriano,4696,4705,B-UNIDADE_CRONO
20,Jurassioo,4709,4718,B-UNIDADE_CRONO
21,Pre-Cambriano,4738,4751,B-UNIDADE_CRONO
22,Cretaoeo,4755,4763,B-UNIDADE_CRONO
23,Ordovioiano,4786,4797,B-UNIDADE_CRONO
24,Cretaceo,4801,4809,B-UNIDADE_CRONO
25,Cambriano,4886,4895,B-UNIDADE_CRONO
26,Teroiario,4904,4913,B-UNIDADE_CRONO
27,Cambriano,5079,5088,B-UNIDADE_CRONO
28,Ordovioiano,5095,5106,B-UNIDADE_CRONO
29,Superior,5107,5115,I-UNIDADE_CRONO
30,Siluriano,5145,5154,B-UNIDADE_CRONO
31,Hystrichosphaeridea,5355,5374,B-UNIDADE_CRONO
32,sedimentos,5422,5432,B-NÃOCONSOLID
33,sedimentos,6007,6017,B-NÃOCONSOLID
34,silurianas,6586,6596,B-UNIDADE_CRONO
35,silurianas,6692,6702,B-UNIDADE_CRONO
36,devoniana,6975,6984,B-UNIDADE_CRONO
37,formações,6995,7004,B-UNIDADE_LITO
38,Maecurú,7005,7012,I-UNIDADE_LITO
39,Curuá,7015,7020,I-UNIDADE_LITO
40,formaçoes,7040,7049,B-UNIDADE_LITO
41,Trombetas,7050,7059,I-UNIDADE_LITO
42,Maecuru,7062,7069,I-UNIDADE_LITO
43,silurianas,7235,7245,B-UNIDADE_CRONO
44,Maecurú,7258,7265,B-UNIDADE_CRONO
45,Maecurú,7476,7483,B-UNIDADE_CRONO
46,formação,7491,7499,B-UNIDADE_LITO
47,siluriana,7500,7509,B-UNIDADE_CRONO
48,arenito,7589,7596,B-ROCHA
49,Devoniano,7761,7770,B-UNIDADE_CRONO
50,Inferior,7771,7779,I-UNIDADE_CRONO
51,devoniana,8072,8081,B-UNIDADE_CRONO
52,Devoniano,8371,8380,B-UNIDADE_CRONO
53,Inferior,8381,8389,I-UNIDADE_CRONO
54,Bacia,8486,8491,B-BACIA
55,do,8492,8494,I-BACIA
56,Parana,8495,8501,I-BACIA
57,bacia,9461,9466,B-BACIA
58,Paleozóico,9622,9632,B-UNIDADE_CRONO
59,poço,9636,9640,B-POÇO
60,NO-3-AZ,9641,9648,I-POÇO
61,idade,10115,10120,B-UNIDADE_CRONO
62,silur,10121,10126,I-UNIDADE_CRONO
63,bacia,10453,10458,B-BACIA
64,bacia,10576,10581,B-BACIA
65,poços,10704,10709,B-POÇO
66,formação,10961,10969,B-UNIDADE_LITO
67,Trombetas,10970,10979,I-UNIDADE_LITO
68,Urubu,11011,11016,I-UNIDADE_LITO
69,Maecuru,11027,11034,B-UNIDADE_CRONO
70,idade,11182,11187,B-UNIDADE_CRONO
71,eodevoniana,11188,11199,I-UNIDADE_CRONO
72,Maecurú,11203,11210,B-UNIDADE_CRONO
73,Siluriano,11280,11289,B-UNIDADE_CRONO
74,siluriana,11723,11732,B-UNIDADE_CRONO
75,formação,12264,12272,B-UNIDADE_LITO
76,curuá,12273,12278,I-UNIDADE_LITO
77,Maecurú,12460,12467,B-UNIDADE_CRONO
78,siluriana,12615,12624,B-UNIDADE_CRONO
79,bacia,13362,13367,B-BACIA
80,rochas,13931,13937,B-ROCHA
81,petróleo,13950,13958,B-FLUIDODATERRA
