,TEXT,START,END,LABEL
0,campo,214,219,B-CAMPO
1,de,220,222,I-CAMPO
2,Buracica,223,231,I-CAMPO
3,poços,399,404,B-POÇO
4,gás,455,458,B-FLUIDODATERRA
5,poço,598,602,B-POÇO
6,poços,819,824,B-POÇO
7,gases,1100,1105,B-FLUIDODATERRA
8,gás,1286,1289,B-FLUIDODATERRA
9,poço,1560,1564,B-POÇO
10,poços,1687,1692,B-POÇO
11,poços,1824,1829,B-POÇO
12,poços,1931,1936,B-POÇO
13,poço,2163,2167,B-POÇO
14,poços,2287,2292,B-POÇO
15,poço,2493,2497,B-POÇO
16,gás,2592,2595,B-FLUIDODATERRA
17,gás,2631,2634,B-FLUIDODATERRA
18,óleo,2703,2707,B-FLUIDODATERRA
19,campo,3220,3225,B-CAMPO
20,poços,3291,3296,B-POÇO
21,gás,3579,3582,B-FLUIDODATERRA
22,bombas,3873,3879,B-NÃOCONSOLID
23,Poços,4050,4055,B-POÇO
24,Poço,4075,4079,B-POÇO
25,BA-l6l,4080,4086,I-POÇO
26,poço,4094,4098,B-POÇO
27,Poço,4145,4149,B-POÇO
28,poço,4163,4167,B-POÇO
29,poço,4287,4291,B-POÇO
30,Poços,4561,4566,B-POÇO
31,de,4567,4569,I-POÇO
32,Produção,4570,4578,I-POÇO
33,Poço,4584,4588,B-POÇO
34,BA-65,4589,4594,I-POÇO
35,poço,4602,4606,B-POÇO
36,Poço,4749,4753,B-POÇO
37,Poço,4916,4920,B-POÇO
38,BA-157,4921,4927,I-POÇO
39,poço,4946,4950,B-POÇO
40,sistema,4954,4961,B-UNIDADE_CRONO
41,Poço,5100,5104,B-POÇO
42,BA-67,5105,5110,I-POÇO
43,poço,5122,5126,B-POÇO
44,bomba,5221,5226,B-NÃOCONSOLID
45,Poço,5304,5308,B-POÇO
46,BA-161,5309,5315,I-POÇO
47,poço,5323,5327,B-POÇO
