,TEXT,START,END,LABEL
0,Bacia,2731,2736,B-BACIA
1,Sedimentar,2737,2747,I-BACIA
2,Paraná,2751,2757,I-BACIA
3,rochas,5822,5828,B-ROCHA
4,sedimentares,5829,5841,I-ROCHA
5,Carbonífero,5861,5872,B-UNIDADE_CRONO
6,Superior,5873,5881,I-UNIDADE_CRONO
7,Pensilvaniano,5883,5896,B-UNIDADE_CRONO
8,Superior,5897,5905,I-UNIDADE_CRONO
9,Permiano,5935,5943,B-UNIDADE_CRONO
10,Superior,5944,5952,I-UNIDADE_CRONO
11,formação,5954,5962,B-UNIDADE_LITO
12,Morro,5963,5968,I-UNIDADE_LITO
13,Pelado,5969,5975,I-UNIDADE_LITO
14,Grupo,6021,6026,B-UNIDADE_LITO
15,Itararé,6027,6034,I-UNIDADE_LITO
16,Devoniano,6094,6103,B-UNIDADE_CRONO
17,diabá,6164,6169,B-ROCHA
18,Bom,6491,6494,B-CAMPO
19,Retiro,6495,6501,I-CAMPO
20,petróleo,6551,6559,B-FLUIDODATERRA
21,arenitos,6599,6607,B-ROCHA
22,arenitos,6814,6822,B-ROCHA
23,Perimb6,7348,7355,B-CAMPO
24,arenitos,9231,9239,B-ROCHA
25,campo,9919,9924,B-CAMPO
26,formações,10072,10081,B-UNIDADE_LITO
27,Permiano,10085,10093,B-UNIDADE_CRONO
28,formação,10223,10231,B-UNIDADE_LITO
29,Irati,10232,10237,I-UNIDADE_LITO
30,formação,10565,10573,B-UNIDADE_LITO
31,Serra,10574,10579,I-UNIDADE_LITO
32,Alta,10580,10584,I-UNIDADE_LITO
33,formação,10642,10650,B-UNIDADE_LITO
34,Irati,10651,10656,I-UNIDADE_LITO
35,Grupo,11927,11932,B-UNIDADE_LITO
36,Guatá,11933,11938,I-UNIDADE_LITO
37,rochas,14328,14334,B-ROCHA
38,formação,14338,14346,B-UNIDADE_LITO
39,Teresina,14347,14355,I-UNIDADE_LITO
40,siltitos,14403,14411,B-ROCHA
41,folhelhos,14414,14423,B-ROCHA
42,calcários,14435,14444,B-ROCHA
43,sedimentos,14853,14863,B-NÃOCONSOLID
44,Permiano,14877,14885,B-UNIDADE_CRONO
45,Superior,14886,14894,I-UNIDADE_CRONO
46,bacia,15790,15795,B-BACIA
47,sedimentos,15833,15843,B-NÃOCONSOLID
48,Paleozóico,15856,15866,B-UNIDADE_CRONO
49,águas,15877,15882,B-FLUIDODATERRA
50,bacia,15999,16004,B-BACIA
51,Bacia,16028,16033,B-BACIA
52,do,16034,16036,I-BACIA
53,Paraná,16037,16043,I-BACIA
54,campo,16757,16762,B-CAMPO
55,sedimentos,17451,17461,B-NÃOCONSOLID
56,formação,17504,17512,B-UNIDADE_LITO
57,Rio,17513,17516,I-UNIDADE_LITO
58,Bonito,17517,17523,I-UNIDADE_LITO
59,Carbonífero,17525,17536,B-UNIDADE_CRONO
60,Superior,17537,17545,I-UNIDADE_CRONO
61,formação,17553,17561,B-UNIDADE_LITO
62,Morro,17562,17567,I-UNIDADE_LITO
63,PeladO,17568,17574,I-UNIDADE_LITO
64,Permiano,17576,17584,B-UNIDADE_CRONO
65,Superior,17585,17593,I-UNIDADE_CRONO
66,Bacia,18004,18009,B-BACIA
67,do,18010,18012,I-BACIA
68,Paraná,18013,18019,I-BACIA
69,Arenito,18152,18159,B-ROCHA
70,siltito,18166,18173,B-ROCHA
71,folhelho,18175,18183,B-ROCHA
72,argilito,18194,18202,B-ROCHA
73,Siltito,18394,18401,B-ROCHA
74,calcário,18540,18548,B-ROCHA
75,Folhelho,18588,18596,B-ROCHA
76,siltico,18597,18604,I-ROCHA
77,arenito,18649,18656,B-ROCHA
78,calcário,18786,18794,B-ROCHA
79,Rochas,18945,18951,B-ROCHA
80,Sedimentares,18952,18964,I-ROCHA
81,Formação,18965,18973,B-UNIDADE_LITO
82,Serra,18974,18979,I-UNIDADE_LITO
83,Alta,18980,18984,I-UNIDADE_LITO
84,Folhelho,19021,19029,B-ROCHA
85,calcário,19180,19188,B-ROCHA
86,Folhelho,19208,19216,B-ROCHA
87,prêto,19217,19222,I-ROCHA
88,folhelho,19290,19298,B-ROCHA
89,calcários,19413,19422,B-ROCHA
90,Siltito,19493,19500,B-ROCHA
91,folhelho,19511,19519,B-ROCHA
92,arenito,19557,19564,B-ROCHA
93,calcários,19671,19680,B-ROCHA
94,Arenito,19769,19776,B-ROCHA
95,siltito,19796,19803,B-ROCHA
96,folhelho,19832,19840,B-ROCHA
97,Formação,19988,19996,B-UNIDADE_LITO
98,Rio,19997,20000,I-UNIDADE_LITO
99,Bonito,20001,20007,I-UNIDADE_LITO
100,Série,20009,20014,B-UNIDADE_CRONO
101,Tubarão,20015,20022,I-UNIDADE_CRONO
102,Grupo,20024,20029,B-UNIDADE_LITO
103,Guatá,20030,20035,I-UNIDADE_LITO
104,Grupo,20068,20073,B-UNIDADE_LITO
105,Guatá,20074,20079,I-UNIDADE_LITO
106,Grupo,20147,20152,B-UNIDADE_LITO
107,Itararé,20153,20160,I-UNIDADE_LITO
108,Grupo,20173,20178,B-UNIDADE_LITO
109,Estrada,20179,20186,I-UNIDADE_LITO
110,Nova,20187,20191,I-UNIDADE_LITO
111,arenito,20612,20619,B-ROCHA
112,arenito,20731,20738,B-ROCHA
113,Barra,20821,20826,I-UNIDADE_LITO
114,Nova,20827,20831,I-UNIDADE_LITO
115,arenitos,20859,20867,B-ROCHA
116,arenito,20936,20943,B-ROCHA
117,arenitos,21129,21137,B-ROCHA
118,folhelho,21195,21203,B-ROCHA
119,siltito,21287,21294,B-ROCHA
120,arenito,21435,21442,B-ROCHA
121,carvão,21603,21609,B-ROCHA
122,folhel,21637,21643,B-ROCHA
123,formação,21789,21797,B-UNIDADE_LITO
124,Rio,21798,21801,I-UNIDADE_LITO
125,Bonito,21802,21808,I-UNIDADE_LITO
126,Grupo,21815,21820,B-UNIDADE_LITO
127,Itararé,21821,21828,I-UNIDADE_LITO
128,formação,21894,21902,B-UNIDADE_LITO
129,Palermo,21903,21910,I-UNIDADE_LITO
130,Grupo,22145,22150,B-UNIDADE_LITO
131,Itararé,22151,22158,I-UNIDADE_LITO
132,formação,22197,22205,B-UNIDADE_LITO
