,TEXT,START,END,LABEL
0,poço,128,132,B-POÇO
1,poço,748,752,B-POÇO
2,poço,908,912,B-POÇO
3,arenito,1000,1007,B-ROCHA
4,arenito,1216,1223,B-ROCHA
5,Curuá,1227,1232,B-CAMPO
6,folhelhos,1315,1324,B-ROCHA
7,membro,1347,1353,B-UNIDADE_LITO
8,Ariramba,1354,1362,I-UNIDADE_LITO
9,arenitos,1401,1409,B-ROCHA
10,siltitos,1412,1420,B-ROCHA
11,membro,1457,1463,B-UNIDADE_LITO
12,Jatapú,1464,1470,I-UNIDADE_LITO
13,poço,1566,1570,B-POÇO
14,arenitos,1763,1771,B-ROCHA
15,poço,2043,2047,B-POÇO
16,poço,2130,2134,B-POÇO
17,siluriana,2153,2162,B-UNIDADE_CRONO
