,TEXT,START,END,LABEL
0,Bacia,62,67,B-BACIA
1,Sedimentar,68,78,I-BACIA
2,do,79,81,I-BACIA
3,Paraná,82,88,I-BACIA
4,Campo,572,577,B-CAMPO
5,Limpo,578,583,I-CAMPO
6,grupo,628,633,B-UNIDADE_LITO
7,Itararé,634,641,I-UNIDADE_LITO
8,grupo,816,821,B-UNIDADE_LITO
9,Rio,822,825,I-UNIDADE_LITO
10,Bacia,1800,1805,B-BACIA
11,do,1806,1808,I-BACIA
12,Paraná,1809,1815,I-BACIA
13,poço,1996,2000,B-POÇO
14,petróleo,2224,2232,B-FLUIDODATERRA
15,grupo,2652,2657,B-UNIDADE_LITO
16,Guatá,2658,2663,I-UNIDADE_LITO
17,campo,2929,2934,B-CAMPO
18,permianas,3306,3315,B-UNIDADE_CRONO
19,Campo,3351,3356,B-CAMPO
20,grupo,3410,3415,B-UNIDADE_LITO
21,Itararé,3416,3423,I-UNIDADE_LITO
22,Ponta,3440,3445,I-UNIDADE_LITO
23,Grossa,3446,3452,I-UNIDADE_LITO
24,Bonito,3646,3652,I-UNIDADE_LITO
25,formações,3824,3833,B-UNIDADE_LITO
26,Teresina,3834,3842,I-UNIDADE_LITO
27,Irati,3844,3849,I-UNIDADE_LITO
28,Palermo,3851,3858,I-UNIDADE_LITO
29,grupo,3861,3866,B-UNIDADE_LITO
30,Itararé,3867,3874,I-UNIDADE_LITO
31,Bacias,3956,3962,B-BACIA
32,formações,3966,3975,B-UNIDADE_LITO
33,Botucatú,3976,3984,I-UNIDADE_LITO
34,Furnas,3987,3993,I-UNIDADE_LITO
35,conglomerado,4129,4141,B-ROCHA
36,Tereninas,4229,4238,B-ROCHA
37,Bacia,4471,4476,B-BACIA
38,do,4477,4479,I-BACIA
39,Paraná,4480,4486,I-BACIA
40,grupo,4542,4547,B-UNIDADE_LITO
41,Guatá,4548,4553,I-UNIDADE_LITO
42,poço,4685,4689,B-POÇO
43,Dourados,4693,4701,I-CAMPO
