,TEXT,START,END,LABEL
0,Xistos,5102,5108,B-ROCHA
1,Betuminoosos,5109,5121,I-UNIDADE_CRONO
2,Paraná,27816,27822,B-BACIA
3,Basin,27823,27828,I-BACIA
4,Paraná,29439,29445,B-BACIA
5,Basin,29446,29451,I-BACIA
6,Gran,35589,35593,B-ROCHA
7,Chaco,35594,35599,I-ROCHA
8,rochas,36520,36526,B-ROCHA
9,campo,36530,36535,B-CAMPO
10,sedimento,36906,36915,B-NÃOCONSOLID
11,Síltito,37843,37850,B-ROCHA
12,Campestre,38236,38245,B-CAMPO
13,Síltito,38917,38924,B-ROCHA
14,Siltito,39298,39305,B-ROCHA
15,argila,39457,39463,B-NÃOCONSOLID
16,iltito,40900,40906,B-ROCHA
17,siltitos,41147,41155,B-ROCHA
18,iltito,41356,41362,B-ROCHA
19,rochas,42657,42663,B-ROCHA
20,Agua,42789,42793,B-CAMPO
21,"Branca,2",42794,42802,I-CAMPO
22,argila,43076,43082,B-NÃOCONSOLID
23,Siltito,43342,43349,B-ROCHA
24,Arenito,43617,43624,B-ROCHA
25,Arenito,44071,44078,B-ROCHA
26,Siltito,44853,44860,B-ROCHA
27,ígneas,45434,45440,I-ROCHA
28,Eoqueirão,45841,45850,B-UNIDADE_CRONO
29,Basalto,45879,45886,B-ROCHA
30,Campestre,46432,46441,B-CAMPO
31,Ceras,46699,46704,B-ROCHA
32,Param,50902,50907,B-BACIA
33,Paraná,54093,54099,B-BACIA
34,Basin,54100,54105,I-BACIA
