,TEXT,START,END,LABEL
0,Bacia,505,510,B-BACIA
1,do,511,513,I-BACIA
2,Paraná,514,520,I-BACIA
3,rocha,701,706,B-ROCHA
4,rocha,1132,1137,B-ROCHA
5,poços,2767,2772,B-POÇO
6,Formação,2950,2958,B-UNIDADE_LITO
7,Rio,2959,2962,I-UNIDADE_LITO
8,Bonito,2963,2969,I-UNIDADE_LITO
9,embasamento,3611,3622,B-UNIDADE_LITO
10,devonianos,3715,3725,B-UNIDADE_CRONO
11,devonianas,3884,3894,B-UNIDADE_CRONO
12,devonianas,4003,4013,B-UNIDADE_CRONO
13,Folhelho,4056,4064,B-ROCHA
14,I,4065,4066,I-ROCHA
15,P-8,8685,8688,B-POÇO
16,Bacia,13102,13107,B-BACIA
17,do,13108,13110,I-BACIA
18,Parana,13111,13117,I-BACIA
19,poços,15069,15074,B-POÇO
20,embasamento,15965,15976,B-UNIDADE_LITO
21,devonianos,16070,16080,B-UNIDADE_CRONO
22,devonianas,16240,16250,B-UNIDADE_CRONO
23,devonianas,16361,16371,B-UNIDADE_CRONO
24,P-6S4,18832,18837,B-POÇO
