,TEXT,START,END,LABEL
0,Paraná,79,85,B-BACIA
1,óleo,280,284,B-FLUIDODATERRA
2,Formação,308,316,B-UNIDADE_LITO
3,Rot,317,320,I-UNIDADE_LITO
4,eatu,321,325,I-UNIDADE_LITO
5,petróleo,943,951,B-FLUIDODATERRA
6,arenito,1760,1767,B-ROCHA
7,folhelhoa,1934,1943,B-ROCHA
8,arenitos,2798,2806,B-ROCHA
9,bacia,2819,2824,B-BACIA
10,FORMAçAO,3032,3040,B-UNIDADE_LITO
11,arenito8,3228,3236,B-ROCHA
12,areDit08,4843,4851,B-ROCHA
13,folhetbaa,6030,6039,B-ROCHA
14,Formação,6682,6690,B-UNIDADE_LITO
15,Rio,6691,6694,I-UNIDADE_LITO
16,Benito,6695,6701,I-UNIDADE_LITO
17,arenito,6882,6889,B-ROCHA
18,tolhelho,8365,8373,B-ROCHA
19,Campo,8564,8569,B-CAMPO
20,do,8570,8572,I-CAMPO
21,Tenente,8573,8580,I-CAMPO
22,pel.ur&,9285,9292,B-ROCHA
23,sedimentos,9451,9461,B-NÃOCONSOLID
24,sedimentos,9822,9832,B-NÃOCONSOLID
25,arenito,10406,10413,B-ROCHA
26,arenito,11212,11219,B-ROCHA
27,arenito,11653,11660,B-ROCHA
28,milito,11804,11810,B-ROCHA
