,TEXT,START,END,LABEL
0,Parana,4561,4567,B-BACIA
1,Parana,5886,5892,B-BACIA
2,Parana,7952,7958,B-BACIA
3,Parana,17074,17080,B-BACIA
4,Paraná,22278,22284,B-BACIA
5,Carbonifero'Us,22618,22632,B-UNIDADE_CRONO
6,Tubarão,33180,33187,B-CAMPO
7,Bonito,39180,39186,B-CAMPO
8,Tuberãu,40928,40935,B-BACIA
9,Bonito,41591,41597,B-CAMPO
10,Paraná,43147,43153,B-BACIA
11,Paraná,47152,47158,B-BACIA
12,Rastn,47159,47164,I-UNIDADE_LITO
13,Botuva,60698,60704,B-CAMPO
14,Paraná,62082,62088,B-BACIA
15,Basin,62089,62094,I-BACIA
16,Oscuro,63523,63529,B-BACIA
17,Campestre,71139,71148,B-CAMPO
18,P6,77979,77981,B-POÇO
19,Boqueirão,80383,80392,B-CAMPO
20,Siluriano,84383,84392,B-UNIDADE_CRONO
21,Formação,94645,94653,B-UNIDADE_LITO
22,Itaja,94654,94659,I-UNIDADE_LITO
23,ardosiano,94685,94694,I-ROCHA
24,Formação,94866,94874,B-UNIDADE_LITO
25,Itajaí,94875,94881,I-UNIDADE_LITO
26,argila,95219,95225,B-NÃOCONSOLID
27,Siltito,95527,95534,B-ROCHA
28,Formação,95561,95569,B-UNIDADE_LITO
29,Itajaí,95570,95576,I-UNIDADE_LITO
30,Conglomerado,95639,95651,B-ROCHA
31,seixos,95685,95691,B-NÃOCONSOLID
32,quartzito,95704,95713,B-ROCHA
33,argilito,95723,95731,B-ROCHA
34,conglomerado,96147,96159,B-ROCHA
35,Conglomerado,96201,96213,B-ROCHA
36,seixos,96265,96271,B-NÃOCONSOLID
37,quartzito,96295,96304,B-ROCHA
38,filito,96306,96312,B-ROCHA
39,conglomerado,96526,96538,B-ROCHA
40,Arenito,96799,96806,B-ROCHA
41,Blumenau,96807,96815,I-ROCHA
42,formação,96817,96825,B-UNIDADE_LITO
43,Itajaí,96826,96832,I-UNIDADE_LITO
44,folhelhos,96998,97007,B-ROCHA
45,Folhelho,97026,97034,B-ROCHA
46,Guaraúna,97035,97043,I-ROCHA
47,Folhelho,97073,97081,B-ROCHA
48,Siltito,97106,97113,B-ROCHA
49,Predevoniano,97426,97438,B-UNIDADE_CRONO
50,série,97460,97465,B-UNIDADE_CRONO
51,Brusque,97466,97473,I-UNIDADE_CRONO
52,formação,97493,97501,B-UNIDADE_LITO
53,Itajaí,97502,97508,I-UNIDADE_LITO
54,pigmentos,97901,97910,B-NÃOCONSOLID
55,Arenito,97972,97979,B-ROCHA
56,ardos1ano,98115,98124,I-ROCHA
57,formação,98128,98136,B-UNIDADE_LITO
58,Itajaí,98137,98143,I-UNIDADE_LITO
59,Folhelho,98145,98153,B-ROCHA
60,Arenito,98257,98264,B-ROCHA
61,ardos1ano,98400,98409,I-ROCHA
62,formação,98413,98421,B-UNIDADE_LITO
63,Itajaí,98422,98428,I-UNIDADE_LITO
64,Folhelho,98430,98438,B-ROCHA
65,Formação,98754,98762,B-UNIDADE_LITO
66,Itajaí,98763,98769,I-UNIDADE_LITO
67,Sedimentos,98771,98781,B-NÃOCONSOLID
68,Folhelho,98818,98826,B-ROCHA
69,Siltito,99077,99084,B-ROCHA
70,siltitos,99332,99340,B-ROCHA
71,Palermo,99355,99362,B-UNIDADE_CRONO
72,Calcário,99544,99552,B-ROCHA
73,Folhelho,99813,99821,B-ROCHA
74,Folhelho,99881,99889,B-ROCHA
75,Folhelho,99942,99950,B-ROCHA
76,folhelho,100023,100031,B-ROCHA
77,Folhelho,100085,100093,B-ROCHA
78,Folhelho,100138,100146,B-ROCHA
79,óleo,100842,100846,B-FLUIDODATERRA
80,glauconita,101333,101343,B-ROCHA
81,Arenito,102424,102431,B-ROCHA
82,Siltito,103907,103914,B-ROCHA
83,siltito,104123,104130,B-ROCHA
84,tilitos,104211,104218,B-ROCHA
85,Siltito,104359,104366,B-ROCHA
86,argila,104519,104525,B-NÃOCONSOLID
87,Formação,104580,104588,B-UNIDADE_LITO
88,Teresina,104589,104597,I-UNIDADE_LITO
89,Siltito,104605,104612,B-ROCHA
90,Siltito,104867,104874,B-ROCHA
91,Siltito,105082,105089,B-ROCHA
92,Siltito,105283,105290,B-ROCHA
93,Folhelho,106643,106651,B-ROCHA
94,Formação,107124,107132,B-UNIDADE_LITO
95,Guatá,107133,107138,I-UNIDADE_LITO
96,Calcário,107174,107182,B-ROCHA
97,argila,107577,107583,B-NÃOCONSOLID
98,Diabásio,108210,108218,B-ROCHA
99,5-,108336,108338,B-POÇO
