,TEXT,START,END,LABEL
0,Parana,4561,4567,B-BACIA
1,Parana,5886,5892,B-BACIA
2,Parana,7952,7958,B-BACIA
3,Parana,17074,17080,B-BACIA
4,Paraná,22278,22284,B-BACIA
5,Carbonifero'Us,22618,22632,B-UNIDADE_CRONO
6,Tubarão,33180,33187,B-CAMPO
7,Bonito,39180,39186,B-CAMPO
8,Tuberãu,40928,40935,B-BACIA
9,Bonito,41591,41597,B-CAMPO
10,Paraná,43147,43153,B-BACIA
11,Paraná,47152,47158,B-BACIA
12,Rastn,47159,47164,I-UNIDADE_LITO
13,Botuva,60698,60704,B-CAMPO
14,Paraná,62082,62088,B-BACIA
15,Basin,62089,62094,I-BACIA
16,Oscuro,64198,64204,B-BACIA
17,Campestre,71814,71823,B-CAMPO
18,P6,78654,78656,B-POÇO
19,Boqueirão,81058,81067,B-CAMPO
20,Siluriano,85058,85067,B-UNIDADE_CRONO
21,Formação,95320,95328,B-UNIDADE_LITO
22,Itaja,95329,95334,I-UNIDADE_LITO
23,ardosiano,95360,95369,I-ROCHA
24,Formação,95541,95549,B-UNIDADE_LITO
25,Itajaí,95550,95556,I-UNIDADE_LITO
26,argila,95894,95900,B-NÃOCONSOLID
27,Siltito,96202,96209,B-ROCHA
28,Formação,96236,96244,B-UNIDADE_LITO
29,Itajaí,96245,96251,I-UNIDADE_LITO
30,Conglomerado,96314,96326,B-ROCHA
31,seixos,96360,96366,B-NÃOCONSOLID
32,quartzito,96379,96388,B-ROCHA
33,argilito,96398,96406,B-ROCHA
34,conglomerado,96822,96834,B-ROCHA
35,Conglomerado,96876,96888,B-ROCHA
36,seixos,96940,96946,B-NÃOCONSOLID
37,quartzito,96970,96979,B-ROCHA
38,filito,96981,96987,B-ROCHA
39,conglomerado,97201,97213,B-ROCHA
40,Arenito,97474,97481,B-ROCHA
41,Blumenau,97482,97490,I-ROCHA
42,formação,97492,97500,B-UNIDADE_LITO
43,Itajaí,97501,97507,I-UNIDADE_LITO
44,folhelhos,97673,97682,B-ROCHA
45,Folhelho,97701,97709,B-ROCHA
46,Guaraúna,97710,97718,I-ROCHA
47,Folhelho,97748,97756,B-ROCHA
48,Siltito,97781,97788,B-ROCHA
49,Predevoniano,98101,98113,B-UNIDADE_CRONO
50,série,98135,98140,B-UNIDADE_CRONO
51,Brusque,98141,98148,I-UNIDADE_CRONO
52,formação,98168,98176,B-UNIDADE_LITO
53,Itajaí,98177,98183,I-UNIDADE_LITO
54,pigmentos,98576,98585,B-NÃOCONSOLID
55,Arenito,98647,98654,B-ROCHA
56,ardos1ano,98790,98799,I-ROCHA
57,formação,98803,98811,B-UNIDADE_LITO
58,Itajaí,98812,98818,I-UNIDADE_LITO
59,Folhelho,98820,98828,B-ROCHA
60,Arenito,98932,98939,B-ROCHA
61,ardos1ano,99075,99084,I-ROCHA
62,formação,99088,99096,B-UNIDADE_LITO
63,Itajaí,99097,99103,I-UNIDADE_LITO
64,Folhelho,99105,99113,B-ROCHA
65,Formação,99429,99437,B-UNIDADE_LITO
66,Itajaí,99438,99444,I-UNIDADE_LITO
67,Sedimentos,99446,99456,B-NÃOCONSOLID
68,Folhelho,99493,99501,B-ROCHA
69,Siltito,99752,99759,B-ROCHA
70,siltitos,100007,100015,B-ROCHA
71,Palermo,100030,100037,B-UNIDADE_CRONO
72,Calcário,100219,100227,B-ROCHA
73,Folhelho,100488,100496,B-ROCHA
74,Folhelho,100556,100564,B-ROCHA
75,Folhelho,100617,100625,B-ROCHA
76,folhelho,100698,100706,B-ROCHA
77,Folhelho,100760,100768,B-ROCHA
78,Folhelho,100813,100821,B-ROCHA
79,óleo,101517,101521,B-FLUIDODATERRA
80,glauconita,102008,102018,B-ROCHA
81,Arenito,103099,103106,B-ROCHA
82,Siltito,104582,104589,B-ROCHA
83,siltito,104798,104805,B-ROCHA
84,tilitos,104886,104893,B-ROCHA
85,Siltito,105034,105041,B-ROCHA
86,argila,105194,105200,B-NÃOCONSOLID
87,Formação,105255,105263,B-UNIDADE_LITO
88,Teresina,105264,105272,I-UNIDADE_LITO
89,Siltito,105280,105287,B-ROCHA
90,Siltito,105542,105549,B-ROCHA
91,Siltito,105757,105764,B-ROCHA
92,Siltito,105958,105965,B-ROCHA
93,Folhelho,107318,107326,B-ROCHA
94,Formação,107799,107807,B-UNIDADE_LITO
95,Guatá,107808,107813,I-UNIDADE_LITO
96,Calcário,107849,107857,B-ROCHA
97,argila,108252,108258,B-NÃOCONSOLID
98,Diabásio,108885,108893,B-ROCHA
