,TEXT,START,END,LABEL
0,Bacia,203,208,B-BACIA
1,do,209,211,I-BACIA
2,Paraná,212,218,I-BACIA
3,água,1385,1389,B-FLUIDODATERRA
4,formações,1955,1964,B-UNIDADE_LITO
5,multo,1965,1970,I-UNIDADE_LITO
6,poço,2026,2030,B-POÇO
7,grupos,2336,2342,B-UNIDADE_LITO
8,Guatá,2343,2348,I-UNIDADE_LITO
9,Itararé,2351,2358,I-UNIDADE_LITO
10,hidrocarboneto,2412,2426,B-FLUIDODATERRA
11,poços,2541,2546,B-POÇO
12,arenito,2574,2581,B-ROCHA
13,hidrocarboneto,2601,2615,B-FLUIDODATERRA
14,arenitos,2626,2634,B-ROCHA
15,TV-2-SC,2697,2704,B-POÇO
16,grupo,2791,2796,B-UNIDADE_LITO
17,Guatá,2797,2802,I-UNIDADE_LITO
18,Bio,3009,3012,B-UNIDADE_LITO
19,Bonito,3013,3019,I-UNIDADE_LITO
20,água,3034,3038,B-FLUIDODATERRA
21,água,3049,3053,B-FLUIDODATERRA
22,de,3054,3056,I-FLUIDODATERRA
23,arenitos,3171,3179,B-ROCHA
24,arenitos,3299,3307,B-ROCHA
25,Itarar4,3311,3318,B-UNIDADE_CRONO
26,carvão,3976,3982,B-ROCHA
27,arenito,4115,4122,B-ROCHA
28,renito,4240,4246,B-ROCHA
29,arenito,4544,4551,B-ROCHA
30,arenitos,4636,4644,B-ROCHA
31,grupo,5268,5273,B-UNIDADE_LITO
32,Guatá,5274,5279,I-UNIDADE_LITO
33,arenitos,5416,5424,B-ROCHA
34,arenitos,5436,5444,B-ROCHA
35,grupo,6088,6093,B-UNIDADE_LITO
36,Guatá,6094,6099,I-UNIDADE_LITO
37,grupo,6297,6302,B-UNIDADE_LITO
38,Guatá,6303,6308,I-UNIDADE_LITO
39,formação,6327,6335,B-UNIDADE_LITO
40,Rio,6336,6339,I-UNIDADE_LITO
41,~nito,6340,6345,I-UNIDADE_LITO
42,arenitos,6419,6427,B-ROCHA
43,grupo,6445,6450,B-UNIDADE_LITO
44,ltanlr4,6451,6458,I-UNIDADE_LITO
45,arenitos,6683,6691,B-ROCHA
46,formação,6916,6924,B-UNIDADE_LITO
47,Rio,6925,6928,I-UNIDADE_LITO
48,Bonito,6929,6935,I-UNIDADE_LITO
