,TEXT,START,END,LABEL
0,Bacia,2,7,B-BACIA
1,do,8,10,I-BACIA
2,Paraná,11,17,I-BACIA
3,Bacia,30,35,B-BACIA
4,Bacia,119,124,B-BACIA
5,Carboníf~,382,391,B-UNIDADE_CRONO
6,ro,392,394,I-UNIDADE_CRONO
7,Superior,395,403,I-UNIDADE_CRONO
8,Fermiano,406,414,B-UNIDADE_CRONO
9,Inferior,415,423,I-UNIDADE_CRONO
10,Médio,424,429,I-UNIDADE_CRONO
11,grupos,431,437,B-UNIDADE_LITO
12,Itar2r,438,444,I-UNIDADE_LITO
13,Guatá,448,453,I-UNIDADE_LITO
14,Bacia,458,463,B-BACIA
15,Bacia,728,733,B-BACIA
16,petróleo,781,789,B-FLUIDODATERRA
17,Cretáceo,828,836,B-UNIDADE_CRONO
18,diabás10,854,862,B-ROCHA
19,sedimentos,2140,2150,B-NÃOCONSOLID
20,Bacia,2679,2684,B-BACIA
21,Devoniano,3135,3144,B-UNIDADE_CRONO
22,Bacia,3148,3153,B-BACIA
23,formação,3367,3375,B-UNIDADE_LITO
24,Ponta,3376,3381,I-UNIDADE_LITO
25,Grossa,3382,3388,I-UNIDADE_LITO
26,formação,3392,3400,B-UNIDADE_LITO
27,Furnas,3401,3407,I-UNIDADE_LITO
28,Bacia,3464,3469,B-BACIA
29,arenitos,3475,3483,B-ROCHA
30,arenitos,3708,3716,B-ROCHA
31,bacias,3784,3790,B-BACIA
32,bacia,3794,3799,B-BACIA
33,de,3800,3802,I-BACIA
34,Apucarana,3803,3812,I-BACIA
35,bacia,3822,3827,B-BACIA
36,bacias,3967,3973,B-BACIA
37,arenitos,4184,4192,B-ROCHA
38,Bacia,4390,4395,B-BACIA
39,de,4396,4398,I-BACIA
40,Jipucarana,4399,4409,I-BACIA
41,LagOIH},4516,4523,I-UNIDADE_LITO
42,Bacia,4659,4664,B-BACIA
43,do,4665,4667,I-BACIA
44,Paraná,4668,4674,I-BACIA
45,sedimentos,4712,4722,B-NÃOCONSOLID
46,devonianos,4723,4733,B-UNIDADE_CRONO
47,Carbonífero,4763,4774,B-UNIDADE_CRONO
48,sedimentos,5075,5085,B-NÃOCONSOLID
49,grupo,5087,5092,B-UNIDADE_LITO
50,Aquidauana,5093,5103,I-UNIDADE_LITO
51,Pormiano,5283,5291,B-UNIDADE_CRONO
52,Inferior,5292,5300,I-UNIDADE_CRONO
53,Bacia,5316,5321,B-BACIA
54,do,5322,5324,I-BACIA
55,ParanQ,5325,5331,I-BACIA
56,sedimentos,5407,5417,B-NÃOCONSOLID
57,grupo,5446,5451,B-UNIDADE_LITO
58,Itararó,5452,5459,I-UNIDADE_LITO
59,Inferior,5535,5543,I-UNIDADE_CRONO
60,grupo,6096,6101,B-UNIDADE_LITO
61,Itarar,6102,6108,I-UNIDADE_LITO
62,arenitos,6195,6203,B-ROCHA
63,rochas,6250,6256,B-ROCHA
64,diarnictitos,6516,6528,B-ROCHA
65,arenitos,6547,6555,B-ROCHA
66,grupo,6720,6725,B-UNIDADE_LITO
67,Guatá,6726,6731,I-UNIDADE_LITO
68,formação,6796,6804,B-UNIDADE_LITO
69,Rio,6805,6808,I-UNIDADE_LITO
70,Bonito,6809,6815,I-UNIDADE_LITO
71,carvão,6896,6902,B-ROCHA
72,arenitos,7412,7420,B-ROCHA
73,Carbonífero,7519,7530,B-UNIDADE_CRONO
74,Superior,7531,7539,I-UNIDADE_CRONO
75,Inferior,7554,7562,I-UNIDADE_CRONO
76,grupos,7717,7723,B-UNIDADE_LITO
77,Itararé,7724,7731,I-UNIDADE_LITO
78,Guatá,7734,7739,I-UNIDADE_LITO
79,Bacia,7959,7964,B-BACIA
80,Bacia,8284,8289,B-BACIA
81,formação,8364,8372,B-UNIDADE_LITO
82,sedimentos,8383,8393,B-NÃOCONSOLID
83,grupo,8432,8437,B-UNIDADE_LITO
84,Nova,8447,8451,I-UNIDADE_LITO
85,Rio,8532,8535,I-UNIDADE_LITO
86,do,8536,8538,I-UNIDADE_LITO
87,Raato,8539,8544,I-UNIDADE_LITO
88,Bacia,8674,8679,B-BACIA
89,sedimentos,8935,8945,B-NÃOCONSOLID
90,formação,8959,8967,B-UNIDADE_LITO
91,Santa,8968,8973,I-UNIDADE_LITO
92,Maria,8974,8979,I-UNIDADE_LITO
93,Botucs,8982,8988,B-UNIDADE_LITO
94,Cretáceo,9005,9013,B-UNIDADE_CRONO
95,Bacia,9416,9421,B-BACIA
96,sedimentos,9771,9781,B-NÃOCONSOLID
97,Baciar,9829,9835,B-BACIA
98,sedimentos,9868,9878,B-NÃOCONSOLID
99,diabáaio,9913,9921,B-ROCHA
100,sedimentos,9968,9978,B-NÃOCONSOLID
101,Devoniano,10218,10227,B-UNIDADE_CRONO
102,Carbon~fero,10232,10243,B-UNIDADE_CRONO
103,Bacia,10509,10514,B-BACIA
104,Permiano,10917,10925,B-UNIDADE_CRONO
105,sedimentos,11316,11326,B-NÃOCONSOLID
