,TEXT,START,END,LABEL
0,Parana,3771,3777,B-BACIA
1,Paraná,7695,7701,B-BACIA
2,Basin,7702,7707,I-BACIA
3,Paraná,9436,9442,B-BACIA
4,Basin,9443,9448,I-BACIA
5,Paraná,12448,12454,B-BACIA
6,Basin,12455,12460,I-BACIA
7,Paraná,13396,13402,B-BACIA
8,Basin,13403,13408,I-BACIA
9,Agua,14683,14687,B-CAMPO
10,Verde,14688,14693,I-CAMPO
11,Agua,15233,15237,B-CAMPO
12,Verde,15238,15243,I-UNIDADE_LITO
13,Paraná,17964,17970,B-BACIA
14,Basin,17971,17976,I-BACIA
15,Agua,20499,20503,B-CAMPO
16,Verde,20504,20509,I-CAMPO
17,Paraná,35892,35898,B-BACIA
18,Basin,35899,35904,I-BACIA
19,Agua,36881,36885,B-CAMPO
20,Agua,38982,38986,B-CAMPO
