,TEXT,START,END,LABEL
0,Devoniana,1434,1443,B-UNIDADE_CRONO
1,bacia,1511,1516,B-BACIA
2,Paraná,1531,1537,B-BACIA
3,pré,1845,1848,B-UNIDADE_CRONO
4,sedimentos,2165,2175,B-NÃOCONSOLID
5,sedimentos,2287,2297,B-NÃOCONSOLID
6,sedimentos,2864,2874,B-NÃOCONSOLID
7,idade,2878,2883,B-UNIDADE_CRONO
8,devoniana,2884,2893,I-UNIDADE_CRONO
9,Bacia,2956,2961,B-BACIA
10,devoniana,3045,3054,B-UNIDADE_CRONO
11,sedimentos,3237,3247,B-NÃOCONSOLID
12,idade,3251,3256,B-UNIDADE_CRONO
13,devoniana,3257,3266,I-UNIDADE_CRONO
14,Fm,3525,3527,B-UNIDADE_LITO
15,Ponta,3528,3533,I-UNIDADE_LITO
16,Grossa,3534,3540,I-UNIDADE_LITO
17,Fm.,3548,3551,B-UNIDADE_LITO
18,bacia,5696,5701,B-BACIA
19,Bacia,11111,11116,B-BACIA
20,Sedimentar,11117,11127,I-BACIA
21,do,11128,11130,I-BACIA
22,Paraná,11131,11137,I-BACIA
23,Grossa,11317,11323,I-UNIDADE_LITO
24,poço,11511,11515,B-POÇO
25,Jast-l-Go,11516,11525,I-POÇO
26,Bacia,11593,11598,B-BACIA
27,pre,11788,11791,B-UNIDADE_CRONO
28,pensilvaniano,11792,11805,B-UNIDADE_CRONO
29,sedimentos,12218,12228,B-NÃOCONSOLID
30,idade,12232,12237,B-UNIDADE_CRONO
31,devoniana,12238,12247,I-UNIDADE_CRONO
32,Bacia,12310,12315,B-BACIA
33,devoniano,12358,12367,B-UNIDADE_CRONO
34,pensilvaniano,12409,12422,B-UNIDADE_CRONO
35,sedimentos,12554,12564,B-NÃOCONSOLID
36,devonianos,12570,12580,B-UNIDADE_CRONO
37,sedimentos,12624,12634,B-NÃOCONSOLID
38,Bacia,13188,13193,B-BACIA
39,1,13194,13195,I-BACIA
40,hidrocarbonetos,13353,13368,B-FLUIDODATERRA
41,Bacia,13558,13563,B-BACIA
42,arenito§,13575,13583,B-ROCHA
43,pensilvanianos,13584,13598,B-UNIDADE_CRONO
44,óleo,13680,13684,B-FLUIDODATERRA
45,gás,13688,13691,B-FLUIDODATERRA
46,Bacia,14650,14655,B-BACIA
47,Sedimentar,14656,14666,I-BACIA
48,do,14667,14669,I-BACIA
49,ParaDá-de,14670,14679,I-BACIA
50,poço,15050,15054,B-POÇO
51,Jast-l-Go,15055,15064,I-POÇO
52,Bacia,15129,15134,B-BACIA
53,idade,15779,15784,B-UNIDADE_CRONO
54,devoniana,15785,15794,I-UNIDADE_CRONO
55,Bacia,15859,15864,B-BACIA
56,devoniano,15906,15915,B-UNIDADE_CRONO
57,devonianoa,16112,16122,B-UNIDADE_CRONO
58,sedimento,16167,16176,B-NÃOCONSOLID
59,Bacia,16731,16736,B-BACIA
60,hidrocarbonetos,16897,16912,B-FLUIDODATERRA
61,Bacia,17102,17107,B-BACIA
62,arenito,17119,17126,B-ROCHA
63,Bacia,18159,18164,B-BACIA
64,Sedimentar,18165,18175,I-BACIA
65,Paraná,18179,18185,B-BACIA
66,campo,18883,18888,B-CAMPO
67,Bacia,20050,20055,B-BACIA
68,do,20056,20058,I-BACIA
69,Paraná,20059,20065,I-BACIA
70,basalto,20100,20107,B-ROCHA
71,Xavantina,21220,21229,B-UNIDADE_CRONO
72,Bacia,21673,21678,B-BACIA
73,do,21679,21681,I-BACIA
74,Paraná,21682,21688,I-BACIA
75,campo,22386,22391,B-CAMPO
76,Bacia,22690,22695,B-BACIA
77,do,22696,22698,I-BACIA
78,Paraná,22699,22705,I-BACIA
79,Grupo,22738,22743,B-UNIDADE_LITO
80,Rio,22744,22747,I-UNIDADE_LITO
81,do,22748,22750,I-UNIDADE_LITO
82,Rasto,22751,22756,I-UNIDADE_LITO
83,formação,22761,22769,B-UNIDADE_LITO
84,Serra,22770,22775,I-UNIDADE_LITO
85,Alta,22776,22780,I-UNIDADE_LITO
86,Grupo,22782,22787,B-UNIDADE_LITO
87,Estrada,22788,22795,I-UNIDADE_LITO
88,Nova,22796,22800,I-UNIDADE_LITO
89,formação,22807,22815,B-UNIDADE_LITO
90,Rio,22816,22819,I-UNIDADE_LITO
91,Bonito,22820,22826,I-UNIDADE_LITO
92,Grupo,22828,22833,B-UNIDADE_LITO
93,Guatá,22834,22839,I-UNIDADE_LITO
94,formações,22875,22884,B-UNIDADE_LITO
95,Palermo,22885,22892,I-UNIDADE_LITO
96,Terezina,22895,22903,I-UNIDADE_LITO
97,formação,23037,23045,B-UNIDADE_LITO
98,Irati,23046,23051,I-UNIDADE_LITO
99,dep6sitos,23070,23079,B-ROCHA
100,Quaternários,23080,23092,B-UNIDADE_CRONO
101,Bacia,23385,23390,B-BACIA
102,do,23391,23393,I-BACIA
103,Paraná,23394,23400,I-BACIA
104,bacia,23702,23707,B-BACIA
105,Série,24395,24400,B-UNIDADE_CRONO
106,Chapada,24401,24408,I-UNIDADE_CRONO
107,sedimentos,24436,24446,B-NÃOCONSOLID
108,arenitos,24528,24536,B-ROCHA
109,arenitos,24610,24618,B-ROCHA
110,folhelhos,24639,24648,B-ROCHA
111,arenitos,25054,25062,B-ROCHA
112,arenitos,25192,25200,B-ROCHA
113,arenitos,25440,25448,B-ROCHA
114,embasamento,25735,25746,B-UNIDADE_LITO
115,arenitos,25762,25770,B-ROCHA
116,formação,26292,26300,B-UNIDADE_LITO
117,Furnas,26301,26307,I-UNIDADE_LITO
118,sedimentos,26347,26357,B-NÃOCONSOLID
119,formação,26371,26379,B-UNIDADE_LITO
120,Ponta,26380,26385,I-UNIDADE_LITO
121,Grossa,26386,26392,I-UNIDADE_LITO
122,arenitos,26611,26619,B-ROCHA
123,rochas,26884,26890,B-ROCHA
124,pré-devonianas,26891,26905,B-UNIDADE_CRONO
125,rochas,26940,26946,B-ROCHA
126,devonianas,26947,26957,B-UNIDADE_CRONO
127,bacia,27031,27036,B-BACIA
128,do,27037,27039,I-BACIA
129,Maranhão,27040,27048,I-BACIA
130,conglomerado,27126,27138,B-ROCHA
131,arenitos,27294,27302,B-ROCHA
132,arenitos,27352,27360,B-ROCHA
133,sedimentos,27725,27735,B-NÃOCONSOLID
134,sedimentos,27867,27877,B-NÃOCONSOLID
135,arenitos,28166,28174,B-ROCHA
136,Devoniana,28269,28278,B-UNIDADE_CRONO
137,sedimentos,28763,28773,B-NÃOCONSOLID
138,sedimentos,29011,29021,B-NÃOCONSOLID
139,bacia,29151,29156,B-BACIA
140,arenitos,29166,29174,B-ROCHA
141,rochas,29309,29315,B-ROCHA
142,formação,29704,29712,B-UNIDADE_LITO
143,Ponta,29713,29718,I-UNIDADE_LITO
144,Grossa,29719,29725,I-UNIDADE_LITO
145,petróleo,29809,29817,B-FLUIDODATERRA
146,devonianas,29846,29856,B-UNIDADE_CRONO
147,formação,29924,29932,B-UNIDADE_LITO
148,Ponta,29933,29938,I-UNIDADE_LITO
149,Grossa,29939,29945,I-UNIDADE_LITO
150,Folhelhos,29964,29973,B-ROCHA
151,Siltitos,30030,30038,B-ROCHA
152,Arenitos,30131,30139,B-ROCHA
153,arenitos,30541,30549,B-ROCHA
154,Arenitos,30703,30711,B-ROCHA
155,Devoniano,30741,30750,B-UNIDADE_CRONO
156,bacia,30754,30759,B-BACIA
157,do,30760,30762,I-BACIA
158,Maranhão,30763,30771,I-BACIA
159,poço,30844,30848,B-POÇO
160,Izst-l-Ma,30849,30858,I-POÇO
161,siltitos,30912,30920,B-ROCHA
162,arenitos,30923,30931,B-ROCHA
163,folhelhos,30962,30971,B-ROCHA
164,folhelhos,31185,31194,B-ROCHA
165,formação,31270,31278,B-UNIDADE_LITO
166,Ponta,31279,31284,I-UNIDADE_LITO
167,Grossa,31285,31291,I-UNIDADE_LITO
168,Mesozóicas,31620,31630,B-UNIDADE_CRONO
169,embasamento,32071,32082,B-UNIDADE_LITO
170,arenitos,33085,33093,B-ROCHA
171,conglomerado,33241,33253,B-ROCHA
172,Série,33278,33283,B-UNIDADE_CRONO
173,Aquidauana,33284,33294,I-UNIDADE_CRONO
174,sedimentos,33396,33406,B-NÃOCONSOLID
175,Devoniano,33468,33477,B-UNIDADE_CRONO
176,superior,33478,33486,I-UNIDADE_CRONO
177,Mississipiano,33491,33504,B-UNIDADE_CRONO
178,formação,33606,33614,B-UNIDADE_LITO
179,Ponta,33615,33620,I-UNIDADE_LITO
180,Grossa,33621,33627,I-UNIDADE_LITO
181,rochas,33735,33741,B-ROCHA
182,bacia,33773,33778,B-BACIA
183,arenitos,33954,33962,B-ROCHA
184,Série,33999,34004,B-UNIDADE_CRONO
185,Aquidauana,34005,34015,I-UNIDADE_CRONO
186,sedimentos,34106,34116,B-NÃOCONSOLID
187,sedimentos,34553,34563,B-NÃOCONSOLID
188,sedimentos,34878,34888,B-NÃOCONSOLID
189,formação,34892,34900,B-UNIDADE_LITO
190,Ponta,34901,34906,I-UNIDADE_LITO
191,Grossa,34907,34913,I-UNIDADE_LITO
192,óleo,34988,34992,B-FLUIDODATERRA
193,óleo,35185,35189,B-FLUIDODATERRA
194,óleo,35333,35337,B-FLUIDODATERRA
195,óleo,35439,35443,B-FLUIDODATERRA
196,petróleo,35657,35665,B-FLUIDODATERRA
197,arenito,36130,36137,B-ROCHA
198,sedimentos,36228,36238,B-NÃOCONSOLID
199,sedimentos,36426,36436,B-NÃOCONSOLID
200,conglomerados,36519,36532,B-ROCHA
201,siltitos,36534,36542,B-ROCHA
202,folhelhos,36544,36553,B-ROCHA
203,calcários,36563,36572,B-ROCHA
204,tilito,36678,36684,B-ROCHA
205,sedimentos,36734,36744,B-NÃOCONSOLID
206,Tubarão,36869,36876,B-CAMPO
207,membro,36878,36884,B-UNIDADE_LITO
208,Tupi,36885,36889,I-UNIDADE_LITO
209,formação,36894,36902,B-UNIDADE_LITO
210,Itapetininga,36903,36915,I-UNIDADE_LITO
211,formação,36929,36937,B-UNIDADE_LITO
212,Irati,36938,36943,I-UNIDADE_LITO
213,Série,36981,36986,B-UNIDADE_CRONO
214,Aquidauana,36987,36997,I-UNIDADE_CRONO
215,sedimentos,37009,37019,B-NÃOCONSOLID
216,formação,37068,37076,B-UNIDADE_LITO
217,Palermo,37077,37084,I-UNIDADE_LITO
218,Grupo,37201,37206,B-UNIDADE_LITO
219,Itararé,37207,37214,I-UNIDADE_LITO
220,Série,37227,37232,B-UNIDADE_CRONO
221,Aquidauana,37233,37243,I-UNIDADE_CRONO
222,arenitos,37632,37640,B-ROCHA
223,conglomerado,37755,37767,B-ROCHA
224,arenitos,37985,37993,B-ROCHA
225,arenitos,38163,38171,B-ROCHA
226,arenitos,38213,38221,B-ROCHA
227,siltitos,38230,38238,B-ROCHA
228,folhe,38312,38317,B-ROCHA
229,arenitos,38521,38529,B-ROCHA
230,arenitos,38748,38756,B-ROCHA
231,arenitos,38806,38814,B-ROCHA
232,arenitos,38902,38910,B-ROCHA
233,seixos,38990,38996,B-NÃOCONSOLID
234,argilitos,39038,39047,B-ROCHA
235,arenitos,39078,39086,B-ROCHA
236,areni,39513,39518,B-ROCHA
237,arenitos,39713,39721,B-ROCHA
238,arenitos,39885,39893,B-ROCHA
239,arenitos,39979,39987,B-ROCHA
240,arenitos,40098,40106,B-ROCHA
241,calcário,40295,40303,B-ROCHA
242,sedimentos,40343,40353,B-NÃOCONSOLID
243,Grossa,40450,40456,I-UNIDADE_LITO
244,Grupo,40761,40766,B-UNIDADE_LITO
245,Itararé,40767,40774,I-UNIDADE_LITO
246,sedimentos,40853,40863,B-NÃOCONSOLID
247,Grupo,40929,40934,B-UNIDADE_LITO
248,Itararé,40935,40942,I-UNIDADE_LITO
249,areni,41147,41152,B-ROCHA
250,sedimentos,42000,42010,B-NÃOCONSOLID
251,sedimentos,42064,42074,B-NÃOCONSOLID
252,Grupo,42078,42083,B-UNIDADE_LITO
253,Itararé,42084,42091,I-UNIDADE_LITO
254,Mesozóicas,42141,42151,B-UNIDADE_CRONO
255,Paleozóicas,42226,42237,B-UNIDADE_CRONO
256,sedimentos,42323,42333,B-NÃOCONSOLID
257,arenitos,42374,42382,B-ROCHA
258,basaltos,42406,42414,B-ROCHA
259,sedi,42457,42461,B-NÃOCONSOLID
260,idade,42486,42491,B-UNIDADE_CRONO
261,Cretácea,42492,42500,I-UNIDADE_CRONO
262,sedimentos,42543,42553,B-NÃOCONSOLID
263,Grupo,42557,42562,B-UNIDADE_LITO
264,Itara,42563,42568,I-UNIDADE_LITO
265,tilitos,42644,42651,B-ROCHA
266,arenito,42653,42660,B-ROCHA
267,sedimento,43351,43360,B-NÃOCONSOLID
268,petróleo,43828,43836,B-FLUIDODATERRA
269,arenitos,43855,43863,B-ROCHA
270,óleo,43955,43959,B-FLUIDODATERRA
