,TEXT,START,END,LABEL
0,Parana,562,568,B-BACIA
1,Basin,569,574,I-BACIA
2,Paraná,4574,4580,B-BACIA
3,Paraná,7859,7865,B-BACIA
4,Paraná,8151,8157,B-BACIA
5,Basin,8158,8163,I-BACIA
6,Paraná,8182,8188,B-BACIA
7,Basin,8189,8194,I-BACIA
8,Campo,9235,9240,B-CAMPO
9,Paraná,11586,11592,B-BACIA
10,Basin,11593,11598,I-BACIA
11,Serra,14146,14151,I-UNIDADE_CRONO
12,Roncador,14837,14845,B-CAMPO
13,Paraná,18050,18056,B-BACIA
14,Basin,18057,18062,I-BACIA
15,Paraná,21047,21053,B-BACIA
16,Basin,21054,21059,I-BACIA
17,Paraná,21321,21327,B-BACIA
18,Basin,21328,21333,I-BACIA
19,Campo,21793,21798,B-CAMPO
20,Paraná,22295,22301,B-BACIA
21,Basin,22302,22307,I-BACIA
22,Paraná,28762,28768,B-BACIA
23,Basin,28769,28774,I-BACIA
24,Capela,31350,31356,B-BACIA
25,Paraná,32741,32747,B-BACIA
26,Basin,32748,32753,I-BACIA
27,Paraná,33938,33944,B-BACIA
28,Basin,33945,33950,I-BACIA
29,Campos,37336,37342,B-BACIA
30,parana,39182,39188,B-BACIA
31,Parana,39905,39911,B-BACIA
32,Paraná,40098,40104,B-BACIA
33,Campos,40450,40456,B-BACIA
34,Fazenda,40658,40665,B-CAMPO
35,Roncado,40666,40673,I-CAMPO
36,Roncador,41212,41220,B-CAMPO
37,Fazenda,41845,41852,B-CAMPO
38,Roncador,41853,41861,I-CAMPO
39,Roncador,41923,41931,B-CAMPO
40,Paraná,46559,46565,B-BACIA
41,Basin,46566,46571,I-BACIA
42,Paraná,50389,50395,B-BACIA
43,Basin,50396,50401,I-BACIA
44,Parana,50647,50653,B-BACIA
45,Barreirinha,58662,58673,B-BACIA
46,Cuiabá,61372,61378,B-BACIA
47,Burití,61414,61420,B-CAMPO
48,Burití,62519,62525,B-CAMPO
49,siltstones,62906,62916,B-ROCHA
