,TEXT,START,END,LABEL
0,campos,249,255,B-CAMPO
1,campos,403,409,B-CAMPO
2,campos,506,512,B-CAMPO
3,água,640,644,B-FLUIDODATERRA
4,poços,831,836,B-POÇO
5,água,916,920,B-FLUIDODATERRA
6,água,954,958,I-POÇO
7,óleo,984,988,B-FLUIDODATERRA
8,poços,1774,1779,B-POÇO
9,poços,2151,2156,B-POÇO
10,embasamento,3022,3033,B-UNIDADE_LITO
11,óleo,3205,3209,B-FLUIDODATERRA
12,poço,3717,3721,B-POÇO
13,água,4083,4087,B-FLUIDODATERRA
14,água,4200,4204,B-FLUIDODATERRA
15,poço,4408,4412,B-POÇO
16,poços,5416,5421,B-POÇO
17,Tabuleiro,5778,5787,B-UNIDADE_CRONO
18,7S3G-9,6632,6638,B-POÇO
19,campo,7367,7372,B-CAMPO
