,TEXT,START,END,LABEL
0,POÇOS,129,134,B-POÇO
1,1-BSS-55,135,143,I-POÇO
2,1-BSS-56,145,153,B-POÇO
3,3-TB-3-PRS,156,166,B-POÇO
4,1-BSS-55,237,245,I-POÇO
5,1-BSS-56,247,255,B-POÇO
6,3-TB-3-PRS,258,268,B-POÇO
7,1,270,271,I-POÇO
8,poços,381,386,B-POÇO
9,1-BSS-55,387,395,I-POÇO
10,1-BSS-56,397,405,B-POÇO
11,3-TB-3-PRS,408,418,B-POÇO
12,rochas,446,452,B-ROCHA
13,poço,963,967,B-POÇO
14,poços,1222,1227,B-POÇO
15,1-BSS-55,1379,1387,B-POÇO
16,Poço,1686,1690,B-POÇO
17,Poço,2126,2130,B-POÇO
18,poço,2172,2176,B-POÇO
19,1-BSS-55,2185,2193,B-POÇO
20,1-BSS-56,2204,2212,B-POÇO
21,grainstones,2511,2522,B-ROCHA
22,rochas,4045,4051,B-ROCHA
23,rochas,4348,4354,B-ROCHA
24,poços,4801,4806,B-POÇO
25,1-BSS-55,4807,4815,I-POÇO
26,1-BSS-56,4828,4836,B-POÇO
27,poços,4891,4896,B-POÇO
28,1-BSS-55,4897,4905,I-POÇO
29,3-TB-3-PRS,4918,4928,B-POÇO
30,rocha,5185,5190,B-ROCHA
31,rochas,5524,5530,B-ROCHA
32,poço,6137,6141,B-POÇO
33,I-BSS-55,6142,6150,I-POÇO
34,poço,6396,6400,B-POÇO
35,1-BSS-56,6401,6409,I-POÇO
36,Arenitos,6759,6767,B-ROCHA
37,rochas,7118,7124,B-ROCHA
38,rocha,7679,7684,B-ROCHA
39,rocha,8091,8096,B-ROCHA
40,rocha,8279,8284,B-ROCHA
41,rocha,8432,8437,B-ROCHA
