,TEXT,START,END,LABEL
0,Santos,198,204,B-BACIA
1,Basin,205,210,I-BACIA
2,Santos,434,440,B-BACIA
3,Santos,6588,6594,B-BACIA
4,Santos,6663,6669,B-BACIA
5,Santos,9228,9234,B-BACIA
6,Basin,9235,9240,I-BACIA
7,Santos,9578,9584,B-BACIA
8,Santos,10537,10543,B-BACIA
9,Santos,11612,11618,B-BACIA
10,Santos,11653,11659,B-BACIA
11,Basin,11660,11665,I-BACIA
12,Campos,11787,11793,B-BACIA
13,Campos,11905,11911,B-BACIA
14,Santos,11982,11988,B-BACIA
15,Santos,12194,12200,B-BACIA
16,Santos,12520,12526,B-BACIA
17,Santos,13906,13912,B-BACIA
18,Santos,17279,17285,B-BACIA
19,Santos,17639,17645,B-BACIA
20,Parana,18330,18336,B-BACIA
21,Santos,19586,19592,B-BACIA
22,Santos,19796,19802,B-BACIA
23,coquinas,20443,20451,B-ROCHA
24,Campos,20499,20505,B-BACIA
25,Santos,20612,20618,B-BACIA
26,Santos,22530,22536,B-BACIA
27,Santos,25375,25381,B-BACIA
28,Santos,25560,25566,B-BACIA
29,Campos,25908,25914,B-BACIA
30,Santos,25935,25941,B-BACIA
31,Santos,26134,26140,B-BACIA
32,Campos,26420,26426,B-BACIA
33,Santos,26682,26688,B-BACIA
34,Santos,45425,45431,B-BACIA
35,grainstones,50099,50110,B-ROCHA
36,mudstones,50115,50124,B-ROCHA
37,siltstones,50879,50889,B-ROCHA
38,Santos,58173,58179,B-BACIA
39,Santos,85205,85211,B-BACIA
40,bacias,90340,90346,B-BACIA
41,bacias,90446,90452,B-BACIA
42,Campos,90785,90791,B-BACIA
43,Santos,91205,91211,B-BACIA
44,Baciade,91902,91909,B-BACIA
45,Santos,91910,91916,I-BACIA
46,Aptiano,91920,91927,B-UNIDADE_CRONO
47,Superior,91941,91949,I-UNIDADE_CRONO
48,Campos,92162,92168,B-BACIA
49,Campos,92361,92367,B-BACIA
50,Campos,92974,92980,B-BACIA
51,Campos,93517,93523,B-BACIA
52,Santos,94144,94150,B-BACIA
53,Bacia,94913,94918,B-BACIA
54,de,94919,94921,I-BACIA
55,Santos,94922,94928,I-BACIA
56,Bacia,95096,95101,B-BACIA
57,de,95102,95104,I-BACIA
58,Santos,95105,95111,I-BACIA
59,Bacia,95210,95215,B-BACIA
60,de,95216,95218,I-BACIA
61,Santos,95219,95225,I-BACIA
