,TEXT,START,END,LABEL
0,poços,430,435,B-POÇO
1,PAF-l-KA,436,444,I-POÇO
2,PAF-2~A,446,453,B-POÇO
3,"PAF-3-MA,",455,464,B-POÇO
4,PAF,464,467,B-POÇO
5,formação,615,623,B-UNIDADE_LITO
6,Cod~,624,628,I-UNIDADE_LITO
7,paleoz6icas,749,760,B-UNIDADE_CRONO
8,hidrooarbonetos,947,962,B-FLUIDODATERRA
9,poço,979,983,B-POÇO
10,formação,1198,1206,B-UNIDADE_LITO
11,Bel'm,1207,1212,I-UNIDADE_LITO
12,arenito,1565,1572,B-ROCHA
13,formação,1582,1590,B-UNIDADE_LITO
14,Cod6,1591,1595,I-UNIDADE_LITO
15,hidrooarbonetos,1702,1717,B-FLUIDODATERRA
16,arenito,2046,2053,B-ROCHA
17,arenito,2131,2138,B-ROCHA
18,Cretáceo,2399,2407,B-UNIDADE_CRONO
19,Codó,2408,2412,I-UNIDADE_CRONO
20,Paleoz6i,2446,2454,B-UNIDADE_CRONO
21,formação,2761,2769,B-UNIDADE_LITO
22,COdÓ,2770,2774,I-UNIDADE_LITO
23,arenitos,2785,2793,B-ROCHA
24,formações,2815,2824,B-UNIDADE_LITO
25,PaleozÓicas,2825,2836,B-UNIDADE_CRONO
26,poço,2968,2972,B-POÇO
27,poços,3268,3273,B-POÇO
28,poços,3336,3341,B-POÇO
29,Formação,3576,3584,B-UNIDADE_LITO
30,CodQ,3585,3589,I-UNIDADE_LITO
31,poço,3920,3924,B-POÇO
32,poços,3997,4002,B-POÇO
33,água,4791,4795,B-FLUIDODATERRA
34,salgada,4796,4803,I-FLUIDODATERRA
35,água,4810,4814,B-FLUIDODATERRA
36,salgada,4815,4822,I-FLUIDODATERRA
37,água,4841,4845,B-FLUIDODATERRA
38,salgad,4846,4852,I-FLUIDODATERRA
39,água,5188,5192,B-FLUIDODATERRA
40,salgada,5193,5200,I-FLUIDODATERRA
41,água,5206,5210,B-FLUIDODATERRA
42,salgada,5211,5218,I-FLUIDODATERRA
43,água,5613,5617,B-FLUIDODATERRA
44,água,5646,5650,B-FLUIDODATERRA
45,água,5720,5724,B-FLUIDODATERRA
46,salgada,5725,5732,I-FLUIDODATERRA
47,água,5781,5785,B-FLUIDODATERRA
48,água,5851,5855,B-FLUIDODATERRA
49,água,5958,5962,B-FLUIDODATERRA
50,Pl1F-7-UA,6176,6185,B-POÇO
51,poço,6194,6198,B-POÇO
52,arenitos,6454,6462,B-ROCHA
53,poço,6733,6737,B-POÇO
54,crenitos,6885,6893,B-ROCHA
55,Granito,6914,6921,B-ROCHA
56,médio,6922,6927,I-ROCHA
57,Poti,7222,7226,B-BACIA
58,PA~-7-MA,7515,7523,B-POÇO
59,paleozóicas,7898,7909,B-UNIDADE_CRONO
60,arenito,8099,8106,B-ROCHA
61,água,8141,8145,B-FLUIDODATERRA
62,poços,8258,8263,B-POÇO
63,petróleo,8494,8502,B-FLUIDODATERRA
64,arenito,8670,8677,B-ROCHA
65,formações,9014,9023,B-UNIDADE_LITO
66,paI,9024,9027,I-UNIDADE_LITO
67,hidrocarbonetos,9075,9090,B-FLUIDODATERRA
68,Pimenteir8s,9521,9532,I-UNIDADE_LITO
69,membro,9534,9540,B-UNIDADE_LITO
70,Picos,9541,9546,I-UNIDADE_LITO
71,PAF-7-MA,9809,9817,B-POÇO
72,PA_-7-11A,10294,10303,B-POÇO
73,leozóicQ,10452,10460,B-UNIDADE_CRONO
74,hidrocarbonêtos,10683,10698,B-FLUIDODATERRA
75,arenito,10742,10749,B-ROCHA
76,arenito,10803,10810,B-ROCHA
77,arenito,10904,10911,B-ROCHA
78,embasamento,10942,10953,B-UNIDADE_LITO
79,Paleozóico,11036,11046,B-UNIDADE_CRONO
80,formação,11385,11393,B-UNIDADE_LITO
81,Serra,11394,11399,I-UNIDADE_LITO
82,Grande,11400,11406,I-UNIDADE_LITO
83,Arenito,11628,11635,B-ROCHA
84,areni,12114,12119,B-ROCHA
85,formação,12602,12610,B-UNIDADE_LITO
86,Serra,12611,12616,I-UNIDADE_LITO
87,Grande,12617,12623,I-UNIDADE_LITO
