,TEXT,START,END,LABEL
0,Poços,254,259,B-POÇO
1,Diabásio,295,303,B-ROCHA
2,Diabásio,402,410,B-ROCHA
3,Bacias,589,595,B-BACIA
4,Paleozóicas,596,607,B-UNIDADE_CRONO
5,diabásio,681,689,B-ROCHA
6,poços,727,732,B-POÇO
7,rochas,1066,1072,B-ROCHA
8,rocha,1865,1870,B-ROCHA
9,rocha,2088,2093,B-ROCHA
10,rochas,2657,2663,B-ROCHA
11,bacias,2811,2817,B-BACIA
12,paleozóicas,2818,2829,B-UNIDADE_CRONO
13,diabási,3021,3028,B-ROCHA
14,bacias,3049,3055,B-BACIA
15,poços,3287,3292,B-POÇO
16,3-RUC-3-AM,3293,3303,I-POÇO
17,2ª,3305,3307,B-UNIDADE_LITO
18,Soleira,3308,3315,I-UNIDADE_LITO
19,lª,3343,3345,B-UNIDADE_LITO
20,Soleira,3346,3353,I-UNIDADE_LITO
21,anidrita,3476,3484,B-ROCHA
22,epidoto,3487,3494,B-ROCHA
23,diabásio,3541,3549,B-ROCHA
24,períodos,3577,3585,B-UNIDADE_CRONO
25,Triássico,3586,3595,I-UNIDADE_CRONO
26,Jurássico,3598,3607,B-UNIDADE_CRONO
27,Mesozóico,3609,3618,B-UNIDADE_CRONO
28,Poço,3699,3703,B-POÇO
29,Amazonas,3751,3759,B-BACIA
30,diabásio,3813,3821,B-ROCHA
31,diabásio,4917,4925,B-ROCHA
32,diabásioproblemáticas,4960,4981,B-ROCHA
33,Poço,5077,5081,B-POÇO
34,1-GU-2-PA,5083,5092,B-POÇO
35,diabásio,5187,5195,B-ROCHA
36,formação,5199,5207,B-UNIDADE_LITO
37,Curuá/Oriximiná,5208,5223,I-UNIDADE_LITO
38,diabásio,5244,5252,B-ROCHA
39,diabásio,5563,5571,B-ROCHA
40,diabásio,6219,6227,B-ROCHA
41,formação,6231,6239,B-UNIDADE_LITO
42,Curuá/Oriximiná,6240,6255,I-UNIDADE_LITO
43,poço,6304,6308,B-POÇO
44,diabásio,6445,6453,B-ROCHA
45,formação,6535,6543,B-UNIDADE_LITO
46,Curuá,6544,6549,I-UNIDADE_LITO
47,Curiri,6553,6559,I-UNIDADE_LITO
48,formação,6710,6718,B-UNIDADE_LITO
49,Curuá,6719,6724,I-UNIDADE_LITO
50,Oriximiná,6728,6737,I-UNIDADE_LITO
51,poço,6874,6878,B-POÇO
52,diabásio,6949,6957,B-ROCHA
53,diabásio,7448,7456,B-ROCHA
54,poço,7703,7707,B-POÇO
55,Poço,7942,7946,B-POÇO
56,Barreirinhas,7986,7998,B-BACIA
57,diabásio,8100,8108,B-ROCHA
58,formação,8112,8120,B-UNIDADE_LITO
59,Pimenteiras,8121,8132,I-UNIDADE_LITO
60,1ª,8296,8298,B-BACIA
61,diabásio,8315,8323,B-ROCHA
62,Poço,8434,8438,B-POÇO
63,lª,8530,8532,B-UNIDADE_LITO
64,Soleira,8533,8540,I-UNIDADE_LITO
65,Diabásio,8544,8552,B-ROCHA
66,Formação,8556,8564,B-UNIDADE_LITO
67,Nova,8565,8569,I-UNIDADE_LITO
68,Olinda,8570,8576,I-UNIDADE_LITO
69,Diabásio,8736,8744,B-ROCHA
70,2ª,8778,8780,B-UNIDADE_LITO
71,Soleira,8781,8788,I-UNIDADE_LITO
72,2ª,8867,8869,B-UNIDADE_LITO
73,Soleira,8870,8877,I-UNIDADE_LITO
74,2ª,8963,8965,B-UNIDADE_LITO
75,Soleira,8966,8973,I-UNIDADE_LITO
76,Diabásio,8977,8985,B-ROCHA
77,poço,9575,9579,B-POÇO
78,Poço,9785,9789,B-POÇO
79,Diabásio,9953,9961,B-ROCHA
80,1ª,10065,10067,B-UNIDADE_LITO
81,Soleira,10068,10075,I-UNIDADE_LITO
82,2ª,10087,10089,B-UNIDADE_LITO
83,Soleira,10090,10097,I-UNIDADE_LITO
84,Poço,10308,10312,B-POÇO
85,4-RUC-2-AM,10314,10324,B-POÇO
86,diabásio,10625,10633,B-ROCHA
87,1ª,10654,10656,B-UNIDADE_LITO
88,Soleira,10657,10664,I-UNIDADE_LITO
89,2ª,10720,10722,B-UNIDADE_LITO
90,Soleira,10723,10730,I-UNIDADE_LITO
91,diabásio,11153,11161,B-ROCHA
92,Poço,11196,11200,B-POÇO
93,3-RUC-3-AM,11202,11212,B-POÇO
94,diabásio,11349,11357,B-ROCHA
95,diabásio,11495,11503,B-ROCHA
96,poço,11583,11587,B-POÇO
97,diabásio,11633,11641,B-ROCHA
98,diabásio,11868,11876,B-ROCHA
99,poço,12030,12034,B-POÇO
100,cascalho,12062,12070,B-NÃOCONSOLID
101,poço,12388,12392,B-POÇO
102,bombas,12444,12450,B-NÃOCONSOLID
103,poço,12788,12792,B-POÇO
104,diabásio,12853,12861,B-ROCHA
105,poço,12993,12997,B-POÇO
106,diabásio,13051,13059,B-ROCHA
107,diabásio,13169,13177,B-ROCHA
108,diabásio,13333,13341,B-ROCHA
109,rochas,13421,13427,B-ROCHA
110,sedimentares,13428,13440,I-ROCHA
111,diabásio,13469,13477,B-ROCHA
112,rochas,13507,13513,B-ROCHA
113,sedimentares,13514,13526,I-ROCHA
