,TEXT,START,END,LABEL
0,arenitos,33,41,B-ROCHA
1,rocha,218,223,B-ROCHA
2,rochas,348,354,B-ROCHA
3,rocha,541,546,B-ROCHA
4,arailas,622,629,B-ROCHA
5,rochas,672,678,B-ROCHA
6,rocha,900,905,B-ROCHA
7,rocha,1039,1044,B-ROCHA
8,arenitos,1443,1451,B-ROCHA
9,óleo,2069,2073,B-FLUIDODATERRA
10,argilas,2182,2189,B-NÃOCONSOLID
11,arenitos,2291,2299,B-ROCHA
12,rocha,2753,2758,B-ROCHA
13,rocha,2810,2815,B-ROCHA
14,rocha,2929,2934,B-ROCHA
15,rocha,3134,3139,B-ROCHA
16,rocha,3170,3175,B-ROCHA
17,água,3396,3400,B-FLUIDODATERRA
18,areia,3761,3766,B-NÃOCONSOLID
19,arenito,3800,3807,B-ROCHA
20,areia,3885,3890,B-NÃOCONSOLID
21,rocha,3907,3912,B-ROCHA
22,rocha,3970,3975,B-ROCHA
23,arenito,4022,4029,B-ROCHA
24,argila,4211,4217,B-NÃOCONSOLID
25,arailas,4340,4347,B-ROCHA
26,rochas,4459,4465,B-ROCHA
27,rocha,4518,4523,B-ROCHA
28,rocha,4887,4892,B-ROCHA
29,arenito,5020,5027,B-ROCHA
30,argilas,5178,5185,B-NÃOCONSOLID
31,arailas,5552,5559,B-ROCHA
32,águas,5684,5689,B-FLUIDODATERRA
33,argilas,5799,5806,B-NÃOCONSOLID
34,rocha,6122,6127,B-ROCHA
35,argilas,6189,6196,B-NÃOCONSOLID
36,argilas,6323,6330,B-NÃOCONSOLID
37,rocha,6522,6527,B-ROCHA
38,argilas,6655,6662,B-NÃOCONSOLID
39,rocha,7053,7058,B-ROCHA
40,arenito,7325,7332,B-ROCHA
41,arenito,7602,7609,B-ROCHA
42,arenito,8058,8065,B-ROCHA
43,argilas,8074,8081,B-NÃOCONSOLID
44,materiais,8302,8311,B-NÃOCONSOLID
45,rocha,8353,8358,B-ROCHA
46,rocha,8634,8639,B-ROCHA
47,rocha,10179,10184,B-ROCHA
48,arenitos,10444,10452,B-ROCHA
49,arenito,10741,10748,B-ROCHA
50,rocha,11149,11154,B-ROCHA
51,argila,11249,11255,B-NÃOCONSOLID
52,material,11290,11298,B-NÃOCONSOLID
53,are,11972,11975,B-ROCHA
54,argila,12215,12221,B-NÃOCONSOLID
55,rocha,12355,12360,B-ROCHA
56,argilas,12422,12429,B-NÃOCONSOLID
57,rochas,12460,12466,B-ROCHA
58,argilas,12564,12571,B-NÃOCONSOLID
59,argilas,12672,12679,B-NÃOCONSOLID
60,kaolinita,12859,12868,B-ROCHA
61,argila,12991,12997,B-NÃOCONSOLID
62,rocha,13276,13281,B-ROCHA
63,poço,13681,13685,B-POÇO
64,argilas,13850,13857,B-NÃOCONSOLID
65,poço,13890,13894,B-POÇO
66,água,14372,14376,B-FLUIDODATERRA
67,argilas,14420,14427,B-NÃOCONSOLID
68,argilas,14460,14467,B-NÃOCONSOLID
69,água,14470,14474,B-FLUIDODATERRA
70,argilas,14537,14544,B-NÃOCONSOLID
71,arenitos,14656,14664,B-ROCHA
72,rocha,14702,14707,B-ROCHA
73,água,15000,15004,B-FLUIDODATERRA
74,água,15058,15062,B-FLUIDODATERRA
75,óleo,15113,15117,B-FLUIDODATERRA
76,poços,15228,15233,B-POÇO
77,poço,15400,15404,B-POÇO
78,campo,15453,15458,B-CAMPO
79,de,15459,15461,I-CAMPO
80,Ubarana,15462,15469,I-CAMPO
81,óleo,15605,15609,B-FLUIDODATERRA
82,areia,15832,15837,B-NÃOCONSOLID
83,argilas,16298,16305,B-NÃOCONSOLID
84,águas,16450,16455,B-FLUIDODATERRA
85,argilas,17469,17476,B-NÃOCONSOLID
86,rocha,17676,17681,B-ROCHA
87,água,17843,17847,B-FLUIDODATERRA
88,arenito,17874,17881,B-ROCHA
89,illita,17972,17978,B-ROCHA
90,argilas,18796,18803,B-NÃOCONSOLID
91,folhelhos,18808,18817,B-ROCHA
92,argilas,18850,18857,B-NÃOCONSOLID
93,água,18917,18921,B-FLUIDODATERRA
94,óleo,19552,19556,B-FLUIDODATERRA
95,óleo,20111,20115,B-FLUIDODATERRA
96,água,20161,20165,B-FLUIDODATERRA
97,óleo,20214,20218,B-FLUIDODATERRA
98,argila,20301,20307,B-NÃOCONSOLID
99,arenitos,20443,20451,B-ROCHA
100,poço,20474,20478,B-POÇO
101,arenitos,20950,20958,B-ROCHA
