,TEXT,START,END,LABEL
0,Campo,564,569,B-CAMPO
1,de,570,572,I-CAMPO
2,Fazenda,573,580,I-CAMPO
3,campos,651,657,B-CAMPO
4,Poços,1626,1631,B-POÇO
5,Poços,2147,2152,B-POÇO
6,Campo,2191,2196,B-CAMPO
7,4.1.1,2197,2202,I-CAMPO
8,Poços,2483,2488,B-POÇO
9,Campo,2528,2533,B-CAMPO
10,Campo,2744,2749,B-CAMPO
11,Fazenda,2755,2762,B-CAMPO
12,Belém,2763,2768,I-CAMPO
13,poço,2865,2869,B-POÇO
14,4-AR-1-CE,2870,2879,I-POÇO
15,poço,2892,2896,B-POÇO
16,9-FZB-1-CE,2913,2923,B-POÇO
17,formação,2927,2935,B-UNIDADE_LITO
18,Açu,2936,2939,I-UNIDADE_LITO
19,óleo,2955,2959,B-FLUIDODATERRA
20,rochas,3090,3096,B-ROCHA
21,óleo,3184,3188,B-FLUIDODATERRA
22,embasamento,3226,3237,B-UNIDADE_LITO
23,campo,3326,3331,B-CAMPO
24,óleo,3347,3351,B-FLUIDODATERRA
25,poços,3441,3446,B-POÇO
26,formação,3649,3657,B-UNIDADE_LITO
27,Açu,3658,3661,I-UNIDADE_LITO
28,óleo,3677,3681,B-FLUIDODATERRA
29,rochas,3812,3818,B-ROCHA
30,óleo,3906,3910,B-FLUIDODATERRA
31,embasamento,3948,3959,B-UNIDADE_LITO
32,campo,4048,4053,B-CAMPO
33,óleo,4067,4071,B-FLUIDODATERRA
34,poços,4161,4166,B-POÇO
35,campo,4384,4389,B-CAMPO
36,óleo,4419,4423,B-FLUIDODATERRA
37,Rocha,4637,4642,B-ROCHA
38,óleo,4754,4758,B-FLUIDODATERRA
39,poços,4906,4911,B-POÇO
40,água,5251,5255,B-FLUIDODATERRA
41,gás,5285,5288,B-FLUIDODATERRA
42,óleo,5356,5360,B-FLUIDODATERRA
43,Fazenda,5364,5371,B-CAMPO
44,Belém,5372,5377,I-CAMPO
45,campo,5872,5877,B-CAMPO
46,Sistema,6133,6140,B-UNIDADE_CRONO
47,de,6141,6143,I-UNIDADE_CRONO
48,Coleta,6144,6150,I-UNIDADE_CRONO
49,poços,6273,6278,B-POÇO
50,campo,6458,6463,B-CAMPO
51,Poços,6568,6573,B-POÇO
52,campo,6660,6665,B-CAMPO
53,poços,6727,6732,B-POÇO
54,poço,7041,7045,B-POÇO
55,pig,7114,7117,B-NÃOCONSOLID
56,poço,7171,7175,B-POÇO
57,óleo,7179,7183,B-FLUIDODATERRA
58,poços,7212,7217,B-POÇO
59,bomba,7556,7561,B-NÃOCONSOLID
60,campo,7774,7779,B-CAMPO
61,água,7815,7819,B-FLUIDODATERRA
62,poços,7853,7858,B-POÇO
63,poços,8033,8038,B-POÇO
64,bomba,8337,8342,B-NÃOCONSOLID
65,poço,8443,8447,B-POÇO
66,poços,8517,8522,B-POÇO
67,bombas,8675,8681,B-NÃOCONSOLID
68,gás,8743,8746,B-FLUIDODATERRA
69,bombas,9057,9063,B-NÃOCONSOLID
70,óleo,9123,9127,B-FLUIDODATERRA
71,Campo,9382,9387,B-CAMPO
72,poços,9489,9494,B-POÇO
73,poços,9643,9648,B-POÇO
74,poços,9784,9789,B-POÇO
75,poço,9973,9977,B-POÇO
76,poço,10461,10465,B-POÇO
77,Campo,10500,10505,B-CAMPO
78,poço,10526,10530,B-POÇO
79,poço,10552,10556,B-POÇO
80,óleo,10796,10800,B-FLUIDODATERRA
81,Fazenda,10804,10811,B-CAMPO
82,Belém,10812,10817,I-CAMPO
83,rocha,11023,11028,B-ROCHA
84,óleo,11178,11182,B-FLUIDODATERRA
85,gás,11552,11555,B-FLUIDODATERRA
86,óleo,11567,11571,B-FLUIDODATERRA
87,poços,11760,11765,B-POÇO
88,óleo,11807,11811,B-FLUIDODATERRA
89,poço,11852,11856,B-POÇO
90,gás,12011,12014,B-FLUIDODATERRA
91,gás,12241,12244,B-FLUIDODATERRA
92,óleo,12512,12516,B-FLUIDODATERRA
93,campo,12545,12550,B-CAMPO
94,poço,12594,12598,B-POÇO
95,óleo,12890,12894,B-FLUIDODATERRA
96,gas,13244,13247,B-FLUIDODATERRA
97,diesel,13328,13334,B-FLUIDODATERRA
98,bomba,13477,13482,B-NÃOCONSOLID
99,bombas,13573,13579,B-NÃOCONSOLID
100,óleo,13715,13719,B-FLUIDODATERRA
101,água,13763,13767,B-FLUIDODATERRA
102,óleo,13771,13775,B-FLUIDODATERRA
103,água,13915,13919,B-FLUIDODATERRA
104,de,13920,13922,I-FLUIDODATERRA
105,formação,13923,13931,I-FLUIDODATERRA
106,óleo,14036,14040,B-FLUIDODATERRA
107,água,14044,14048,B-FLUIDODATERRA
108,poço,14402,14406,B-POÇO
109,gás,14496,14499,B-FLUIDODATERRA
110,poços,14651,14656,B-POÇO
111,poço,14694,14698,B-POÇO
112,MO-20,14922,14927,B-POÇO
113,campo,15218,15223,B-CAMPO
114,poços,15370,15375,B-POÇO
