,TEXT,START,END,LABEL
0,Campo,4,9,B-CAMPO
1,de,10,12,I-CAMPO
2,E~treito,13,21,I-CAMPO
3,pioneiro,78,86,B-POÇO
4,arenitos,305,313,B-ROCHA
5,óleo,473,477,B-FLUIDODATERRA
6,petróleo,683,691,B-FLUIDODATERRA
7,Campo,695,700,B-CAMPO
8,de,701,703,I-CAMPO
9,Eptreito,704,712,I-CAMPO
10,campo,830,835,B-CAMPO
11,campo,889,894,B-CAMPO
12,7-ET-8S-RN,950,960,I-POÇO
13,poço,1025,1029,B-POÇO
14,po,1097,1099,B-POÇO
15,gás,3320,3323,B-FLUIDODATERRA
16,gás,3831,3834,B-FLUIDODATERRA
17,poço,4984,4988,B-POÇO
18,bombas,5025,5031,B-NÃOCONSOLID
19,Poços,5244,5249,B-POÇO
20,poços,5284,5289,B-POÇO
21,poços,5575,5580,B-POÇO
22,poços,5636,5641,B-POÇO
23,poços,5684,5689,B-POÇO
24,poços,5774,5779,B-POÇO
25,poço,5955,5959,B-POÇO
26,poços,5965,5970,B-POÇO
27,água,5989,5993,B-FLUIDODATERRA
28,água,6067,6071,B-FLUIDODATERRA
29,água,6102,6106,B-FLUIDODATERRA
30,poços,6209,6214,B-POÇO
31,poços,6431,6436,B-POÇO
32,gas,6523,6526,B-FLUIDODATERRA
33,natural,6527,6534,I-FLUIDODATERRA
34,campos,6551,6557,B-CAMPO
35,de,6558,6560,I-CAMPO
36,Alto,6561,6565,I-CAMPO
37,do,6566,6568,I-CAMPO
38,Rodrigues,6569,6578,I-CAMPO
39,Fazenda,6584,6591,B-CAMPO
40,pocinh~,6592,6599,I-CAMPO
41,gás,6686,6689,B-FLUIDODATERRA
42,poços,6942,6947,B-POÇO
43,Campo,7227,7232,B-CAMPO
44,de,7233,7235,I-CAMPO
45,Es-j,7236,7240,I-CAMPO
46,treito,7245,7251,B-ROCHA
47,óleo,7285,7289,B-FLUIDODATERRA
48,óleo,7390,7394,B-FLUIDODATERRA
49,campo,7709,7714,B-CAMPO
