,TEXT,START,END,LABEL
0,Campo,36,41,B-CAMPO
1,de,42,44,I-CAMPO
2,Estreito,45,53,I-CAMPO
3,pioneiro,112,120,B-POÇO
4,1-ET-1,121,127,B-POÇO
5,arenitos,319,327,B-ROCHA
6,óleo,485,489,B-FLUIDODATERRA
7,petróleo,680,688,B-FLUIDODATERRA
8,Campo,694,699,B-CAMPO
9,de,700,702,I-CAMPO
10,Estreito,703,711,I-CAMPO
11,campo,826,831,B-CAMPO
12,campo,880,885,B-CAMPO
13,poço,937,941,B-POÇO
14,7-wr-89-RN,942,952,I-POÇO
15,poço,1013,1017,B-POÇO
16,7-ET-127-RN,1028,1039,B-POÇO
17,água,2747,2751,B-FLUIDODATERRA
18,gás,2753,2756,B-FLUIDODATERRA
19,poços,4553,4558,B-POÇO
20,óleo,4587,4591,B-FLUIDODATERRA
21,água,4593,4597,B-FLUIDODATERRA
22,gás,4600,4603,B-FLUIDODATERRA
23,poços,4765,4770,B-POÇO
24,poço,4985,4989,B-POÇO
25,Poços,5527,5532,B-POÇO
26,poços,5567,5572,B-POÇO
27,poços,5842,5847,B-POÇO
28,poços,5902,5907,B-POÇO
29,poços,5946,5951,B-POÇO
30,Agua,6195,6199,B-CAMPO
31,poço,6205,6209,B-POÇO
32,poços,6214,6219,B-POÇO
33,água,6237,6241,B-FLUIDODATERRA
34,água,6312,6316,B-FLUIDODATERRA
35,água,6346,6350,B-FLUIDODATERRA
36,poços,6450,6455,B-POÇO
37,poços,6653,6658,B-POÇO
38,sis,6662,6665,B-POÇO
39,gás,6726,6729,B-FLUIDODATERRA
40,natural,6732,6739,I-FLUIDODATERRA
41,campos,6756,6762,B-CAMPO
42,de,6763,6765,I-CAMPO
43,Alto,6766,6770,I-CAMPO
44,do,6771,6773,I-CAMPO
45,Rodrigues,6774,6783,I-CAMPO
46,Fazenda,6785,6792,B-CAMPO
47,Pocinho,6793,6800,I-CAMPO
48,gás,6883,6886,B-FLUIDODATERRA
49,poços,7062,7067,B-POÇO
50,poços,7213,7218,B-POÇO
51,Campo,7533,7538,B-CAMPO
52,óleo,7555,7559,B-FLUIDODATERRA
53,treito,7574,7580,B-ROCHA
54,óleo,7788,7792,B-FLUIDODATERRA
55,campo,8127,8132,B-CAMPO
