,TEXT,START,END,LABEL
0,poço,103,107,B-POÇO
1,1-ARG-1-RN,108,118,I-POÇO
2,Bacia,160,165,B-BACIA
3,Potiguar,166,174,I-BACIA
4,hidrocarbonetos,337,352,B-FLUIDODATERRA
5,óleo,417,421,B-FLUIDODATERRA
6,petróleo,843,851,B-FLUIDODATERRA
7,Campo,855,860,B-CAMPO
8,de,861,863,I-CAMPO
9,Alto,864,868,I-CAMPO
10,do,869,871,I-CAMPO
11,Rodrigues,872,881,I-CAMPO
12,Campo,1065,1070,B-CAMPO
13,campo,1134,1139,B-CAMPO
14,água,3056,3060,B-FLUIDODATERRA
15,gás,3062,3065,B-FLUIDODATERRA
16,óleo,5051,5055,B-FLUIDODATERRA
17,água,5057,5061,B-FLUIDODATERRA
18,poço,5322,5326,B-POÇO
19,bombas,5361,5367,B-NÃOCONSOLID
20,poços,5539,5544,B-POÇO
21,poços,5558,5563,B-POÇO
22,poços,5835,5840,B-POÇO
23,poços,6032,6037,B-POÇO
24,poço,6236,6240,B-POÇO
25,poços,6245,6250,B-POÇO
26,água,6349,6353,B-FLUIDODATERRA
27,água,6388,6392,B-FLUIDODATERRA
28,poços,6500,6505,B-POÇO
29,poços,6704,6709,B-POÇO
30,gás,6791,6794,B-FLUIDODATERRA
31,campo~,6820,6826,B-CAMPO
32,Alto,6830,6834,B-CAMPO
33,do,6835,6837,I-CAMPO
34,Rodrigues,6838,6847,I-CAMPO
35,Fazenda,6849,6856,B-CAMPO
36,pocinho,6857,6864,I-CAMPO
37,gás,6959,6962,B-FLUIDODATERRA
38,poços,7217,7222,B-POÇO
39,Campo,7503,7508,B-CAMPO
40,de,7509,7511,I-CAMPO
41,Alto,7512,7516,I-CAMPO
42,do,7517,7519,I-CAMPO
43,Rodrigues,7520,7529,I-CAMPO
44,óleo,7791,7795,B-FLUIDODATERRA
45,Campo,8044,8049,B-CAMPO
46,óleo,8259,8263,B-FLUIDODATERRA
47,campo,8493,8498,B-CAMPO
48,óleo,8654,8658,B-FLUIDODATERRA
