,TEXT,START,END,LABEL
0,campos,699,705,B-CAMPO
1,petróleo,709,717,B-FLUIDODATERRA
2,campos,873,879,B-CAMPO
3,Campo,1133,1138,B-CAMPO
4,de,1139,1141,I-CAMPO
5,Cachoeirinl,1142,1153,I-CAMPO
6,bacia,1826,1831,B-BACIA
7,petróleo,2522,2530,B-FLUIDODATERRA
8,SC-3,2641,2645,B-POÇO
9,Bacia,3033,3038,B-BACIA
10,Pot,3039,3042,I-BACIA
11,igua~,3043,3048,I-BACIA
12,óleo,3292,3296,B-FLUIDODATERRA
13,óleo,3422,3426,B-FLUIDODATERRA
14,Campo,3706,3711,B-CAMPO
15,de,3712,3714,I-CAMPO
16,Canto,3715,3720,I-CAMPO
17,do,3721,3723,I-CAMPO
18,Amaro,3724,3729,I-CAMPO
19,Formaçio,3744,3752,B-UNIDADE_LITO
20,Açu,3753,3756,I-UNIDADE_LITO
21,campos,3768,3774,B-CAMPO
22,arenitos,3829,3837,B-ROCHA
23,Formaçio,3853,3861,B-UNIDADE_LITO
24,Pendência,3862,3871,I-UNIDADE_LITO
25,campos,4030,4036,B-CAMPO
26,de,4037,4039,I-CAMPO
27,Livramento,4040,4050,I-CAMPO
28,Lorena,4053,4059,B-BACIA
29,poços,4136,4141,B-POÇO
30,campos,4421,4427,B-CAMPO
31,Campo,4587,4592,B-CAMPO
32,de,4593,4595,I-CAMPO
33,Canto,4596,4601,I-CAMPO
34,do,4602,4604,I-CAMPO
35,Amaro,4605,4610,I-CAMPO
36,poços,4732,4737,B-POÇO
37,poços,4780,4785,B-POÇO
38,Bacia,4867,4872,B-BACIA
39,Poi,4873,4876,I-BACIA
40,campos,4902,4908,B-CAMPO
41,íquido,5418,5424,B-ROCHA
42,óleo,5746,5750,B-FLUIDODATERRA
43,óleo,5876,5880,B-FLUIDODATERRA
44,campo,6123,6128,B-CAMPO
45,carretas,6753,6761,B-NÃOCONSOLID
46,carretas,7228,7236,B-NÃOCONSOLID
47,campos,7395,7401,B-CAMPO
48,campos,7585,7591,B-CAMPO
49,Campo,8558,8563,B-CAMPO
50,de,8564,8566,I-CAMPO
51,Cachoeirinha,8567,8579,I-CAMPO
52,óleo,8609,8613,B-FLUIDODATERRA
53,Bacia,8635,8640,B-BACIA
54,campos,10280,10286,B-CAMPO
55,bombas,12182,12188,B-NÃOCONSOLID
56,bombas,12653,12659,B-NÃOCONSOLID
57,campos,12832,12838,B-CAMPO
58,bombas,12862,12868,B-NÃOCONSOLID
59,bombas,13487,13493,B-NÃOCONSOLID
60,óleo,14330,14334,B-FLUIDODATERRA
61,óleo,14437,14441,B-FLUIDODATERRA
62,óleo,14547,14551,B-FLUIDODATERRA
63,bomba,15139,15144,B-NÃOCONSOLID
64,carretas,15453,15461,B-NÃOCONSOLID
65,miquinas,15843,15851,B-ROCHA
66,bacia,20295,20300,B-BACIA
