,TEXT,START,END,LABEL
0,ãrea,2285,2289,B-BACIA
1,basaltos,2535,2543,B-ROCHA
2,Formação,2547,2555,B-UNIDADE_LITO
3,Serra,2556,2561,I-UNIDADE_LITO
4,Geral,2562,2567,I-UNIDADE_LITO
5,diabásio,2618,2626,B-ROCHA
6,diabási.,3648,3656,B-ROCHA
7,diabásio,6703,6711,B-ROCHA
8,diabásio,7223,7231,B-ROCHA
9,diabásio,8632,8640,B-ROCHA
10,diabásio,9649,9657,B-ROCHA
11,diabásio,10424,10432,B-ROCHA
12,diabásio,11047,11055,B-ROCHA
13,diabásio,11235,11243,B-ROCHA
14,Agua,11363,11367,B-CAMPO
15,Tangará,11381,11388,B-CAMPO
16,Agua,11410,11414,B-CAMPO
17,do,11415,11417,I-CAMPO
18,Imbi,11418,11422,I-CAMPO
19,Agua,11684,11688,B-CAMPO
20,Tangará,11702,11709,B-CAMPO
21,Agua,11731,11735,B-CAMPO
22,do,11736,11738,I-CAMPO
23,Imbi,11739,11743,I-CAMPO
