,TEXT,START,END,LABEL
0,Campo,560,565,B-CAMPO
1,de,566,568,I-CAMPO
2,Agulha,569,575,I-CAMPO
3,Bacia,628,633,B-BACIA
4,Potiguar,634,642,I-BACIA
5,óleo,690,694,B-FLUIDODATERRA
6,idades,715,721,B-UNIDADE_CRONO
7,Maestrichtiano,722,736,I-UNIDADE_CRONO
8,Eoceno,739,745,B-UNIDADE_CRONO
9,arenitos,809,817,B-ROCHA
10,óleo,957,961,B-FLUIDODATERRA
11,Campo,965,970,B-CAMPO
12,de,971,973,I-CAMPO
13,Agulha,974,980,I-CAMPO
14,Bacia,1085,1090,B-BACIA
15,Potiguar,1091,1099,I-BACIA
16,Eoceno,1216,1222,B-UNIDADE_CRONO
17,Superior,1223,1231,I-UNIDADE_CRONO
18,pioneiro,1256,1264,B-POÇO
19,l-RNS-7,1265,1272,B-POÇO
20,arenitos,1312,1320,B-ROCHA
21,l-RNS-13,1412,1420,B-POÇO
22,arenitos,1521,1529,B-ROCHA
23,idade,1546,1551,B-UNIDADE_CRONO
24,Maestrichtiano,1552,1566,I-UNIDADE_CRONO
25,Eoceno,1621,1627,B-UNIDADE_CRONO
26,campo,1676,1681,B-CAMPO
27,l-RNS,1748,1753,B-POÇO
28,7,1755,1756,B-POÇO
29,l-RNS-13,1759,1767,B-POÇO
30,poços,1806,1811,B-POÇO
31,óleo,1850,1854,B-FLUIDODATERRA
32,poços,1936,1941,B-POÇO
33,campo,1945,1950,B-CAMPO
34,sedimentos,1962,1972,B-NÃOCONSOLID
35,Cretáceo,1981,1989,B-UNIDADE_CRONO
36,Inferior,1990,1998,I-UNIDADE_CRONO
37,Quater,2005,2011,B-UNIDADE_CRONO
38,nário,2012,2017,I-UNIDADE_CRONO
39,Formações,2040,2049,B-UNIDADE_LITO
40,Pendência,2050,2059,I-UNIDADE_LITO
41,Eoceno,2138,2144,B-UNIDADE_CRONO
42,Superior,2145,2153,I-UNIDADE_CRONO
43,Maestrichtiano,2167,2181,B-UNIDADE_CRONO
44,Fm.,2214,2217,B-UNIDADE_LITO
45,Ubarana,2218,2225,I-UNIDADE_LITO
46,sedimentos,2233,2243,B-NÃOCONSOLID
47,bacial,2325,2331,B-BACIA
48,folhelhos,2354,2363,B-ROCHA
49,siltitos,2386,2394,B-ROCHA
50,calcilutitos,2396,2408,B-ROCHA
51,diamictitos,2411,2422,B-ROCHA
52,Eoceno,2490,2496,B-UNIDADE_CRONO
53,rochas,2538,2544,B-ROCHA
54,ígneas,2545,2551,I-ROCHA
55,basalto,2561,2568,B-ROCHA
56,diabásio,2571,2579,B-ROCHA
57,Fm.,2584,2587,B-UNIDADE_LITO
58,Macau,2588,2593,I-UNIDADE_LITO
59,Agulha,2659,2665,B-CAMPO
60,areias,2763,2769,B-NÃOCONSOLID
61,campo,3528,3533,B-CAMPO
62,basaltos,3604,3612,B-ROCHA
63,basalto,3793,3800,B-ROCHA
64,Eoceno,3886,3892,B-UNIDADE_CRONO
65,Superior,3893,3901,I-UNIDADE_CRONO
66,óleo,4086,4090,B-FLUIDODATERRA
67,óleo,4151,4155,B-FLUIDODATERRA
68,renitos,4446,4453,B-ROCHA
69,poço,4585,4589,B-POÇO
70,poço,4592,4596,B-POÇO
71,óleo,4811,4815,B-FLUIDODATERRA
72,arenitos,4939,4947,B-ROCHA
73,rocha,5010,5015,B-ROCHA
74,ígnea,5016,5021,I-ROCHA
75,areia,5064,5069,B-NÃOCONSOLID
76,pelitos,5152,5159,B-ROCHA
77,arenitos,5288,5296,B-ROCHA
78,rocha,6105,6110,B-ROCHA
79,campo,6485,6490,B-CAMPO
