,TEXT,START,END,LABEL
0,Campo,209,214,B-CAMPO
1,de,215,217,I-CAMPO
2,Marlim,218,224,I-CAMPO
3,Sul,225,228,I-CAMPO
4,Campo,330,335,B-CAMPO
5,de,336,338,I-CAMPO
6,Marlim,339,345,I-CAMPO
7,Sul,346,349,I-CAMPO
8,campos,375,381,B-CAMPO
9,Bacia,413,418,B-BACIA
10,de,419,421,I-BACIA
11,Campos,422,428,I-BACIA
12,óleo,458,462,B-FLUIDODATERRA
13,gás,465,468,B-FLUIDODATERRA
14,campo,542,547,B-CAMPO
15,hidrocarbonetos,675,690,B-FLUIDODATERRA
16,campo,756,761,B-CAMPO
17,campo,844,849,B-CAMPO
18,hidrocarbonetos,1015,1030,B-FLUIDODATERRA
19,poços,1133,1138,B-POÇO
20,gás,1736,1739,B-FLUIDODATERRA
21,areias,2455,2461,B-NÃOCONSOLID
22,poços,2576,2581,B-POÇO
23,areias,2894,2900,B-NÃOCONSOLID
24,gás,2935,2938,B-FLUIDODATERRA
25,areias,3491,3497,B-NÃOCONSOLID
26,óleo,3704,3708,B-FLUIDODATERRA
27,poço,3894,3898,B-POÇO
28,gás,4120,4123,B-FLUIDODATERRA
29,óleo,4126,4130,B-FLUIDODATERRA
30,gás,4239,4242,B-FLUIDODATERRA
31,rocha,4731,4736,B-ROCHA
32,Marlim,4794,4800,B-CAMPO
33,Sul,4801,4804,I-CAMPO
34,campo,4815,4820,B-CAMPO
35,Bacia,4842,4847,B-BACIA
36,de,4848,4850,I-BACIA
37,Campos,4851,4857,I-BACIA
38,óleo,4930,4934,B-FLUIDODATERRA
39,gás,4978,4981,B-FLUIDODATERRA
40,campos,5068,5074,B-CAMPO
41,de,5075,5077,I-CAMPO
42,Barracuda,5078,5087,I-CAMPO
43,Marlim,5089,5095,B-CAMPO
44,Marlim,5098,5104,B-CAMPO
45,Leste,5105,5110,I-CAMPO
46,areias,5361,5367,B-NÃOCONSOLID
47,poços,5485,5490,B-POÇO
48,areias,5586,5592,B-NÃOCONSOLID
49,poços,5725,5730,B-POÇO
50,campo,5745,5750,B-CAMPO
51,RJS-382,5757,5764,B-POÇO
52,hidrocarbonetos,5837,5852,B-FLUIDODATERRA
53,água,5870,5874,B-FLUIDODATERRA
54,MRL-lOO,5893,5900,B-POÇO
55,areias,6094,6100,B-NÃOCONSOLID
56,areias,6471,6477,B-NÃOCONSOLID
57,poços,6905,6910,B-POÇO
58,poços,6985,6990,B-POÇO
59,areias,7103,7109,B-NÃOCONSOLID
60,areias,7168,7174,B-NÃOCONSOLID
61,poços,7255,7260,B-POÇO
62,MLS-2,7261,7266,I-POÇO
63,poço,7366,7370,B-POÇO
64,MLS30,7371,7376,I-POÇO
65,poço,7472,7476,B-POÇO
66,poços,7576,7581,B-POÇO
67,areia,7607,7612,B-NÃOCONSOLID
68,areia,7659,7664,B-NÃOCONSOLID
69,poços,7717,7722,B-POÇO
70,poços,7815,7820,B-POÇO
71,areias,7894,7900,B-NÃOCONSOLID
72,poço,8031,8035,B-POÇO
73,MLS-14,8036,8042,I-POÇO
74,poço,8394,8398,B-POÇO
75,areia,8456,8461,B-NÃOCONSOLID
76,poços,8613,8618,B-POÇO
77,MLS-5,8619,8624,I-POÇO
78,RJS-382,8627,8634,B-POÇO
79,poço,8732,8736,B-POÇO
80,poço,8866,8870,B-POÇO
81,MLS-14,8871,8877,I-POÇO
82,areias,9002,9008,B-NÃOCONSOLID
83,poços,9095,9100,B-POÇO
84,bacia,9342,9347,B-BACIA
85,rochas,9559,9565,B-ROCHA
86,poços,9708,9713,B-POÇO
87,poços,10030,10035,B-POÇO
88,areia,10797,10802,B-NÃOCONSOLID
89,campo,10969,10974,B-CAMPO
90,areias,11000,11006,B-NÃOCONSOLID
91,campo,11922,11927,B-CAMPO
92,areias,12011,12017,B-NÃOCONSOLID
93,Campo,12045,12050,B-CAMPO
94,de,12051,12053,I-CAMPO
95,Marlim,12054,12060,I-CAMPO
96,Sul,12061,12064,I-CAMPO
97,areias,12336,12342,B-NÃOCONSOLID
98,areias,12426,12432,B-NÃOCONSOLID
99,campo,12613,12618,B-CAMPO
100,areias,13252,13258,B-NÃOCONSOLID
101,areias,13643,13649,B-NÃOCONSOLID
102,poço,14091,14095,B-POÇO
