,TEXT,START,END,LABEL
0,rochas,171,177,B-ROCHA
1,bacias,182,188,B-BACIA
2,dos,189,192,I-BACIA
3,Pareeis,193,200,I-BACIA
4,folhelhos,270,279,B-ROCHA
5,siltitos,282,290,B-ROCHA
6,gipsita,337,344,B-ROCHA
7,hidrocarbonetos,429,444,B-FLUIDODATERRA
8,rochas,561,567,B-ROCHA
9,Bacia,621,626,B-BACIA
10,dos,627,630,I-BACIA
11,Pareeis,631,638,I-BACIA
12,embasamento,667,678,B-UNIDADE_LITO
13,Bacia,925,930,B-BACIA
14,do,931,933,I-BACIA
15,Alto,934,938,I-BACIA
16,Tapajós,939,946,I-BACIA
17,folhelhos,1049,1058,B-ROCHA
18,siltitos,1061,1069,B-ROCHA
19,gipsita,1168,1175,B-ROCHA
20,Bacia,1636,1641,B-BACIA
21,folhelhos,1744,1753,B-ROCHA
22,siltitos,1756,1764,B-ROCHA
23,gipsita,1863,1870,B-ROCHA
24,Bacia,2022,2027,B-BACIA
25,dos,2028,2031,I-BACIA
26,Pareeis,2032,2039,I-BACIA
27,embasamento,2052,2063,B-UNIDADE_LITO
28,bacia,2107,2112,B-BACIA
29,folhelhos,2275,2284,B-ROCHA
30,siltitos,2287,2295,B-ROCHA
31,embasamento,2313,2324,B-UNIDADE_LITO
32,calcários,2489,2498,B-ROCHA
33,Formação,2502,2510,B-UNIDADE_LITO
34,Araras,2511,2517,I-UNIDADE_LITO
35,Proterozóico,2519,2531,B-UNIDADE_CRONO
36,Superior,2532,2540,I-UNIDADE_CRONO
37,folhelhos,2652,2661,B-ROCHA
38,siltitos,2664,2672,B-ROCHA
39,Formação,2676,2684,B-UNIDADE_LITO
40,Vale,2685,2689,I-UNIDADE_LITO
41,da,2690,2692,I-UNIDADE_LITO
42,Promissão,2693,2702,I-UNIDADE_LITO
43,Grupo,2706,2711,B-UNIDADE_LITO
44,Aguapei,2712,2719,I-UNIDADE_LITO
45,Proteroz6ico,2721,2733,B-UNIDADE_CRONO
46,Médio,2734,2739,I-UNIDADE_CRONO
47,poços,2811,2816,B-POÇO
48,PB-01-RO,2817,2825,I-POÇO
49,PB-06-RO,2879,2887,B-POÇO
50,PB-15-RO,2889,2897,B-POÇO
51,PB-29-RO,2899,2907,B-POÇO
52,PB-33-RO,2910,2918,B-POÇO
53,calcário,2961,2969,B-ROCHA
54,rochas,3314,3320,B-ROCHA
55,Proterozóico,3324,3336,B-UNIDADE_CRONO
56,Superior,3337,3345,I-UNIDADE_CRONO
57,calcários,3367,3376,B-ROCHA
58,Formação,3380,3388,B-UNIDADE_LITO
59,Araras,3389,3395,I-UNIDADE_LITO
60,arenitos,3413,3421,B-ROCHA
61,Formação,3439,3447,B-UNIDADE_LITO
62,Raizama,3448,3455,I-UNIDADE_LITO
63,diamictito,3509,3519,B-ROCHA
64,Formação,3523,3531,B-UNIDADE_LITO
65,Jauru,3532,3537,I-UNIDADE_LITO
66,CarbonIfero,3539,3550,B-UNIDADE_CRONO
67,Inferior,3551,3559,I-UNIDADE_CRONO
68,Bacia,3600,3605,B-BACIA
69,dos,3606,3609,I-BACIA
70,Pareeis,3610,3617,I-BACIA
71,rochas,3694,3700,B-ROCHA
72,Proterozóico,3704,3716,B-UNIDADE_CRONO
73,Médio,3717,3722,I-UNIDADE_CRONO
74,arenitos,3743,3751,B-ROCHA
75,Formação,3755,3763,B-UNIDADE_LITO
76,Fortuna,3764,3771,I-UNIDADE_LITO
77,folhelhos,3824,3833,B-ROCHA
78,siltitos,3836,3844,B-ROCHA
79,Bacia,3912,3917,B-BACIA
80,dos,3918,3921,I-BACIA
81,Pareeis,3922,3929,I-BACIA
82,rochas,3958,3964,B-ROCHA
83,embasamento,4004,4015,B-UNIDADE_LITO
84,sedimentos,4068,4078,B-NÃOCONSOLID
85,paleozóicos,4079,4090,B-UNIDADE_CRONO
86,formações,4095,4104,B-UNIDADE_LITO
87,Pimenta,4105,4112,I-UNIDADE_LITO
88,Bueno,4113,4118,I-UNIDADE_LITO
89,arenitos,4120,4128,B-ROCHA
90,folhelhos,4131,4140,B-ROCHA
91,Fazenda,4144,4151,B-CAMPO
92,Casa,4152,4156,I-CAMPO
93,Branca,4157,4163,I-UNIDADE_LITO
94,diamictitos,4165,4176,B-ROCHA
95,folhelhos,4179,4188,B-ROCHA
96,arenitos,4211,4219,B-ROCHA
97,cretáceos,4228,4237,B-UNIDADE_CRONO
