,TEXT,START,END,LABEL
0,Enchova,601,608,B-CAMPO
1,poços,737,742,B-POÇO
2,1-RJS-41,743,751,I-POÇO
3,3-EN-1-RJS,753,763,B-POÇO
4,7-EN-17-RJS,765,776,B-POÇO
5,§-EN-38-RJS,779,790,B-POÇO
6,poços,929,934,B-POÇO
7,Enchova,974,981,B-CAMPO
8,arenitos,1170,1178,B-ROCHA
9,campo,1453,1458,B-CAMPO
10,campo,1956,1961,B-CAMPO
11,petróleo,1965,1973,B-FLUIDODATERRA
12,rocha,1999,2004,B-ROCHA
13,poços,2346,2351,B-POÇO
14,poços,2410,2415,B-POÇO
15,Enchova,2459,2466,B-CAMPO
16,poços,2673,2678,B-POÇO
17,1-RJS-41,2679,2687,I-POÇO
18,7-EN-17,2689,2696,B-POÇO
19,8-EN-38,2699,2706,B-POÇO
20,calcários,2748,2757,B-ROCHA
21,poços,3044,3049,B-POÇO
22,Eoceno,4167,4173,B-UNIDADE_CRONO
23,Eoceno,4281,4287,B-UNIDADE_CRONO
24,campo,4541,4546,B-CAMPO
25,de,4547,4549,I-CAMPO
26,Enchova,4550,4557,I-CAMPO
27,Arenito,4634,4641,B-ROCHA
28,poço,4672,4676,B-POÇO
29,1-RJS-41,4677,4685,I-POÇO
30,idade,4716,4721,B-UNIDADE_CRONO
31,Eoceno,4722,4728,I-UNIDADE_CRONO
32,Inferior,4729,4737,I-UNIDADE_CRONO
33,Enchova,4784,4791,B-CAMPO
34,arenito,4798,4805,B-ROCHA
35,rocha,4876,4881,B-ROCHA
36,óleo,4936,4940,B-FLUIDODATERRA
37,arenitos,4995,5003,B-ROCHA
38,arcóseos,5041,5049,B-ROCHA
39,rochas,5308,5314,B-ROCHA
40,plutônicas,5315,5325,I-ROCHA
41,vulcânicas,5327,5337,B-ROCHA
42,sedimentares,5340,5352,B-NÃOCONSOLID
43,rocha,5457,5462,B-ROCHA
44,rocha,5589,5594,B-ROCHA
45,arenito,6450,6457,B-ROCHA
46,arenitos,6527,6535,B-ROCHA
47,arenitos,6645,6653,B-ROCHA
48,arenito,6798,6805,B-ROCHA
49,folhelho,6807,6815,B-ROCHA
50,poços,6855,6860,B-POÇO
51,7-EN-17,6861,6868,I-POÇO
52,8-EN-38,6878,6885,B-POÇO
53,Eoceno,6946,6952,B-UNIDADE_CRONO
54,Superior,6953,6961,I-UNIDADE_CRONO
55,arenito,7106,7113,B-ROCHA
56,pelitos,7121,7128,B-ROCHA
57,arenito,7224,7231,B-ROCHA
58,óleo,7325,7329,B-FLUIDODATERRA
59,rochas,7541,7547,B-ROCHA
60,plutônicas,7548,7558,I-ROCHA
61,granitos,7561,7569,B-NÃOCONSOLID
62,gnaisses,7572,7580,B-ROCHA
63,rochas,7728,7734,B-ROCHA
64,vulcânicas,7735,7745,I-ROCHA
65,arenito,7774,7781,B-ROCHA
66,rocha,7884,7889,B-ROCHA
67,arenito,8640,8647,B-ROCHA
68,folhelho,8857,8865,B-ROCHA
69,arenitos,8908,8916,B-ROCHA
70,folhelhos,8932,8941,B-ROCHA
71,Membro,8945,8951,B-UNIDADE_LITO
72,Carapebus,8952,8961,I-UNIDADE_LITO
73,campo,8974,8979,B-CAMPO
74,bas,9058,9061,B-ROCHA
75,Arenito,9116,9123,B-ROCHA
76,poços,9168,9173,B-POÇO
77,1-RJS-41,9174,9182,I-POÇO
78,7-EN-17,9192,9199,B-POÇO
79,Eoceno,9269,9275,B-UNIDADE_CRONO
80,idades,9290,9296,B-UNIDADE_CRONO
81,Eoceno,9297,9303,I-UNIDADE_CRONO
82,Inferior,9304,9312,I-UNIDADE_CRONO
83,Eoceno,9322,9328,B-UNIDADE_CRONO
84,Médio,9329,9334,I-UNIDADE_CRONO
85,1-RJS-41,9345,9353,B-POÇO
86,Eoceno,9356,9362,B-UNIDADE_CRONO
87,superior,9363,9371,I-UNIDADE_CRONO
88,poços,9383,9388,B-POÇO
89,7-EN-17,9389,9396,I-POÇO
90,8-EN-38,9399,9406,B-POÇO
91,arenito,9457,9464,B-ROCHA
92,poço,9760,9764,B-POÇO
93,1-RJS-41,9765,9773,I-POÇO
94,óleo,9940,9944,B-FLUIDODATERRA
95,óleo,10054,10058,B-FLUIDODATERRA
96,arcóseo,10118,10125,B-ROCHA
97,rocha,10292,10297,B-ROCHA
98,poço,11262,11266,B-POÇO
99,1-RJS-41,11267,11275,I-POÇO
100,rocha,11314,11319,B-ROCHA
101,arenitos,11450,11458,B-ROCHA
102,pelitos,11482,11489,B-ROCHA
103,folhelhos,11592,11601,B-ROCHA
104,arenitos,11614,11622,B-ROCHA
105,areia,11947,11952,B-NÃOCONSOLID
106,pelitos,11967,11974,B-ROCHA
107,areias,11992,11998,B-NÃOCONSOLID
108,areia,12320,12325,B-NÃOCONSOLID
109,Arenito,12357,12364,B-ROCHA
110,poços,12506,12511,B-POÇO
111,i-RJS-41,12512,12520,I-POÇO
112,7-EN-17,12529,12536,B-POÇO
113,8-EN-38,12547,12554,B-POÇO
114,idades,12618,12624,B-UNIDADE_CRONO
115,Eoceno,12625,12631,I-UNIDADE_CRONO
116,Inferior-N-420,12632,12646,I-UNIDADE_CRONO
117,1-RJS-41,12649,12657,B-POÇO
118,Eoceno,12660,12666,B-UNIDADE_CRONO
119,Médio-N-450/447,12667,12682,I-UNIDADE_CRONO
120,Eoceno,12686,12692,B-UNIDADE_CRONO
121,Superior,12693,12701,I-UNIDADE_CRONO
122,7,12705,12706,B-POÇO
123,EN-17,12707,12712,I-POÇO
124,Eoceno,12716,12722,B-UNIDADE_CRONO
125,Superior-N-470,12723,12737,I-UNIDADE_CRONO
126,8-EN-38,12741,12748,B-POÇO
127,arenitos,12800,12808,B-ROCHA
128,rocha,12855,12860,B-ROCHA
129,arenito,12904,12911,B-ROCHA
130,rocha,13222,13227,B-ROCHA
131,Eoceno,13332,13338,B-UNIDADE_CRONO
132,Superior-N-470,13339,13353,I-UNIDADE_CRONO
133,arenitos,13416,13424,B-ROCHA
134,rocha,13471,13476,B-ROCHA
135,arenito,13520,13527,B-ROCHA
136,rocha,13838,13843,B-ROCHA
137,arenitos,13967,13975,B-ROCHA
138,rochas,14284,14290,B-ROCHA
139,vulcânicas,14303,14313,B-ROCHA
140,sedimentares,14329,14341,B-NÃOCONSOLID
141,rocha,14485,14490,B-ROCHA
142,Poço,14826,14830,B-POÇO
143,8-EN-RJS,14831,14839,I-POÇO
144,arenitos,14899,14907,B-ROCHA
145,rocha,15036,15041,B-ROCHA
146,poços,15360,15365,B-POÇO
147,arenito,15428,15435,B-ROCHA
148,arenitos,15744,15752,B-ROCHA
149,poços,15770,15775,B-POÇO
150,arenitos,16188,16196,B-ROCHA
151,rocha,16216,16221,B-ROCHA
152,rocha,16470,16475,B-ROCHA
153,rochas,16959,16965,B-ROCHA
154,poços,17004,17009,B-POÇO
155,arenitos,17228,17236,B-ROCHA
156,8-EN-38,17288,17295,B-POÇO
157,rocha,18013,18018,B-ROCHA
158,campo,18416,18421,B-CAMPO
159,de,18422,18424,I-CAMPO
160,Enchova,18425,18432,I-CAMPO
161,rocha,18690,18695,B-ROCHA
162,Arenito,18747,18754,B-ROCHA
163,poços,18799,18804,B-POÇO
164,3-EN-1-RJS,18805,18815,I-POÇO
165,7-EN-17-RJS,18824,18835,B-POÇO
166,6-EN-38-RJS,18846,18857,B-POÇO
167,rochas,18896,18902,B-ROCHA
168,Eoceno,18916,18922,B-UNIDADE_CRONO
169,Médio,18923,18928,I-UNIDADE_CRONO
170,Eoceno,18944,18950,B-UNIDADE_CRONO
171,Superior,18951,18959,I-UNIDADE_CRONO
172,arenitos,18995,19003,B-ROCHA
173,arenitos,19434,19442,B-ROCHA
174,arcóseos,19460,19468,B-ROCHA
175,rochas,19957,19963,B-ROCHA
176,plutônicas,19964,19974,I-ROCHA
177,rocha,20514,20519,B-ROCHA
178,arenitos,20754,20762,B-ROCHA
179,arenitos,21128,21136,B-ROCHA
180,arenitos,21179,21187,B-ROCHA
181,arenitos,21525,21533,B-ROCHA
182,arenitos,21575,21583,B-ROCHA
183,arenitos,21693,21701,B-ROCHA
184,arenitos,21853,21861,B-ROCHA
185,arenitos,22274,22282,B-ROCHA
186,sedimentos,22433,22443,B-NÃOCONSOLID
187,sedimentos,22461,22471,B-NÃOCONSOLID
188,bacia,22566,22571,B-BACIA
189,diamictito,23376,23386,B-ROCHA
190,poços,23426,23431,B-POÇO
191,7-EN-17-RJS,23432,23443,I-POÇO
192,diamictitos,23491,23502,B-ROCHA
193,idade,23569,23574,B-UNIDADE_CRONO
194,Eoceno,23575,23581,I-UNIDADE_CRONO
195,Superior-N-460,23582,23596,I-UNIDADE_CRONO
196,arenito,23700,23707,B-ROCHA
197,arcóseo,23741,23748,B-ROCHA
198,rocha,23798,23803,B-ROCHA
199,rocha,24104,24109,B-ROCHA
200,areia,24225,24230,B-NÃOCONSOLID
201,rocha,24279,24284,B-ROCHA
202,arenito,24749,24756,B-ROCHA
203,sedimentos,25011,25021,B-NÃOCONSOLID
204,água,25265,25269,B-FLUIDODATERRA
205,Pelitos,25456,25463,B-ROCHA
206,arenitos,25466,25474,B-ROCHA
207,poços,25509,25514,B-POÇO
208,1-RJS-41,25515,25523,I-POÇO
209,7-EN-17-RJS,25532,25543,B-POÇO
210,8-EN-38-RJS,25554,25565,B-POÇO
211,idades,25610,25616,B-UNIDADE_CRONO
212,Eoceno,25617,25623,I-UNIDADE_CRONO
213,Inf.,25624,25628,I-UNIDADE_CRONO
214,1-RJS-41,25637,25645,B-POÇO
215,Eoceno,25648,25654,B-UNIDADE_CRONO
216,Méd.,25655,25659,I-UNIDADE_CRONO
217,1-R9S-41,25677,25685,B-POÇO
218,7-EN-17,25688,25695,B-POÇO
219,Eoceno,25699,25705,B-UNIDADE_CRONO
220,sup.,25706,25710,I-UNIDADE_CRONO
221,siltito,25797,25804,B-ROCHA
222,folhelho,25807,25815,B-ROCHA
223,arenito,25850,25857,B-ROCHA
224,rochas,25871,25877,B-ROCHA
225,arenito,25930,25937,B-ROCHA
226,folhelhos,26064,26073,B-ROCHA
227,folhelhos,26112,26121,B-ROCHA
228,folhelhos,26256,26265,B-ROCHA
229,folhelhos,26376,26385,B-ROCHA
230,folhelhos,26477,26486,B-ROCHA
231,siltitos,26489,26497,B-ROCHA
232,arenitos,26513,26521,B-ROCHA
233,pelitos,26535,26542,B-ROCHA
234,arenitos,26615,26623,B-ROCHA
235,pelitos,26689,26696,B-ROCHA
236,arenitos,26760,26768,B-ROCHA
237,folhelhos,26876,26885,B-ROCHA
238,siltitos,26888,26896,B-ROCHA
239,bacia,26976,26981,B-BACIA
240,sedimentos,27082,27092,B-NÃOCONSOLID
