,TEXT,START,END,LABEL
0,FORMAÇÃO,85,93,B-UNIDADE_LITO
1,Proterozóico,703,715,B-UNIDADE_CRONO
2,Fanerozóico,783,794,B-UNIDADE_CRONO
3,poço,1816,1820,B-POÇO
4,PB-I-RO,1821,1828,I-POÇO
5,bacia,1832,1837,B-BACIA
6,do,1838,1840,I-BACIA
7,Parecis,1841,1848,I-BACIA
8,bacias,1968,1974,B-BACIA
9,paleozóicas,1975,1986,B-UNIDADE_CRONO
10,bacias,2334,2340,B-BACIA
11,do,2341,2343,I-BACIA
12,Parecís,2344,2351,I-BACIA
13,Acre,2353,2357,B-BACIA
14,Amazonas,2360,2368,B-BACIA
15,rochas,2505,2511,B-ROCHA
16,calcário,2615,2623,B-ROCHA
17,poço,2627,2631,B-POÇO
18,PB-I-RO,2632,2639,I-POÇO
19,bacia,2761,2766,B-BACIA
20,do,2767,2769,I-BACIA
21,Parecis,2770,2777,I-BACIA
22,hidrocarbonetos,2930,2945,B-FLUIDODATERRA
23,bacia,3051,3056,B-BACIA
24,bacia,3134,3139,B-BACIA
25,poço,3183,3187,B-POÇO
26,rocha,3494,3499,B-ROCHA
27,bacia,3710,3715,B-BACIA
28,do,3716,3718,I-BACIA
29,Parecis,3719,3726,I-BACIA
30,Formação,3799,3807,B-UNIDADE_LITO
31,Pimenta,3808,3815,I-UNIDADE_LITO
32,Bueno,3816,3821,I-UNIDADE_LITO
33,poço,3837,3841,B-POÇO
34,9-PB-I-RO,3842,3851,I-POÇO
35,água,4026,4030,B-FLUIDODATERRA
36,do,4031,4033,I-FLUIDODATERRA
37,mar,4034,4037,I-FLUIDODATERRA
38,Fanerozóico,4456,4467,B-UNIDADE_CRONO
39,Proterozóico,4470,4482,B-UNIDADE_CRONO
40,água,4954,4958,B-FLUIDODATERRA
41,do,4959,4961,I-FLUIDODATERRA
42,mar,4962,4965,I-FLUIDODATERRA
43,evaporitos,5634,5644,B-ROCHA
44,silvinita,5651,5660,B-ROCHA
45,camalita,5663,5671,B-ROCHA
46,rochas,6263,6269,B-ROCHA
47,ígneas,6335,6341,B-ROCHA
48,granitos,6355,6363,B-ROCHA
49,granitos,6420,6428,B-ROCHA
50,pelitos,6463,6470,B-ROCHA
51,rochas,7243,7249,B-ROCHA
52,rochas,7858,7864,B-ROCHA
53,bacia,8102,8107,B-BACIA
54,evaporitos,8170,8180,B-ROCHA
55,rochas,8188,8194,B-ROCHA
56,rochas,8532,8538,B-ROCHA
57,águas,8574,8579,B-FLUIDODATERRA
58,basaltos,8737,8745,B-ROCHA
59,rochas,8798,8804,B-ROCHA
60,ProterozóÍCo,9592,9604,B-UNIDADE_CRONO
61,Proterozóico,9620,9632,B-UNIDADE_CRONO
62,calcários,9700,9709,B-ROCHA
63,dolomitos,9711,9720,B-ROCHA
64,margas,9723,9729,B-ROCHA
65,Precambriano,9922,9934,B-UNIDADE_CRONO
66,Fanerozóico,10288,10299,B-UNIDADE_CRONO
67,proterozóico,10692,10704,B-UNIDADE_CRONO
68,Mesozóico,10745,10754,B-UNIDADE_CRONO
69,Fanerozóico,10764,10775,B-UNIDADE_CRONO
70,Fanerozóico,10791,10802,B-UNIDADE_CRONO
71,poços,10840,10845,B-POÇO
72,evaporitos,10938,10948,B-ROCHA
73,rochas,11089,11095,B-ROCHA
74,Fanerozóico,11283,11294,B-UNIDADE_CRONO
75,Cambriano,11378,11387,B-UNIDADE_CRONO
76,Jurássico,11391,11400,B-UNIDADE_CRONO
77,Jurássico,11463,11472,B-UNIDADE_CRONO
78,Cretáceo,11682,11690,B-UNIDADE_CRONO
79,Cenozóico,11696,11705,B-UNIDADE_CRONO
80,Paleozóico,11917,11927,B-UNIDADE_CRONO
81,Mesozóico,11952,11961,B-UNIDADE_CRONO
82,Cambriano,12265,12274,B-UNIDADE_CRONO
83,Jurássico,12277,12286,B-UNIDADE_CRONO
84,rochas,12362,12368,B-ROCHA
85,bacia,12477,12482,B-BACIA
86,do,12483,12485,I-BACIA
87,Parecis,12486,12493,I-BACIA
88,embasamento,12646,12657,B-UNIDADE_LITO
89,Xingu,12670,12675,I-UNIDADE_LITO
90,Proterozóico,12704,12716,B-UNIDADE_CRONO
91,Médio/Superior,12717,12731,I-UNIDADE_CRONO
92,bacia,12855,12860,B-BACIA
93,bacias,12885,12891,B-BACIA
94,paleozóicas,12892,12903,B-UNIDADE_CRONO
95,poço,13012,13016,B-POÇO
96,PB-I-RO,13017,13024,I-POÇO
97,bacia,13054,13059,B-BACIA
98,rochas,13257,13263,B-ROCHA
99,Formação,13357,13365,B-UNIDADE_LITO
100,Pimenta,13366,13373,I-UNIDADE_LITO
101,Bueno,13374,13379,I-UNIDADE_LITO
102,rocha,14106,14111,B-ROCHA
103,Fanerozóico,16163,16174,B-UNIDADE_CRONO
104,Proterozóico,16182,16194,B-UNIDADE_CRONO
105,Fanerozóico,16203,16214,B-UNIDADE_CRONO
106,rochas,16303,16309,B-ROCHA
