,TEXT,START,END,LABEL
0,POÇO,551,555,B-POÇO
1,2-CP-1-MA,556,565,I-POÇO
2,POÇO,605,609,B-POÇO
3,1-TB-2-MA,610,619,I-POÇO
4,FORMAÇÃO,636,644,B-UNIDADE_LITO
5,gás,850,853,B-FLUIDODATERRA
6,rocha,856,861,B-ROCHA
7,poços,887,892,B-POÇO
8,Bacia,922,927,B-BACIA
9,do,928,930,I-BACIA
10,Parnaíba,931,939,I-BACIA
11,folhelhos,1024,1033,B-ROCHA
12,Formação,1053,1061,B-UNIDADE_LITO
13,Pimenteiras,1062,1073,I-UNIDADE_LITO
14,idade,1078,1083,B-UNIDADE_CRONO
15,Devoniana,1084,1093,I-UNIDADE_CRONO
16,folhelhos,1195,1204,B-ROCHA
17,sedimentos,1463,1473,B-NÃOCONSOLID
18,folhelhos,1501,1510,B-ROCHA
19,Formação,1526,1534,B-UNIDADE_LITO
20,Pimenteiras,1535,1546,I-UNIDADE_LITO
21,hidrocarbonetos,1651,1666,B-FLUIDODATERRA
22,diabásio,1764,1772,B-ROCHA
23,óleo,1811,1815,B-FLUIDODATERRA
24,gás,1818,1821,B-FLUIDODATERRA
25,bacia,1837,1842,B-BACIA
26,Parnaíb'a,1902,1911,B-UNIDADE_CRONO
27,hidrocarbonetos,2023,2038,B-FLUIDODATERRA
28,bacias,2075,2081,B-BACIA
29,paleoz6ic~s,2095,2106,B-UNIDADE_CRONO
30,Bacia,2157,2162,B-BACIA
31,do,2163,2165,I-BACIA
32,Parnai~a,2166,2174,I-BACIA
33,bacia,2379,2384,B-BACIA
34,diabásio,2423,2431,B-ROCHA
35,drocarbonetos,2549,2562,B-FLUIDODATERRA
36,bacia,2577,2582,B-BACIA
37,hidrocarbo,2727,2737,B-FLUIDODATERRA
38,paleozóicas,2808,2819,B-UNIDADE_CRONO
39,bacia,2823,2828,B-BACIA
40,folhelhos,2851,2860,B-ROCHA
41,Formação,2885,2893,B-UNIDADE_LITO
42,Pimenteiras,2894,2905,I-UNIDADE_LITO
43,Devoniano,2907,2916,B-UNIDADE_CRONO
44,folhe,3129,3134,B-ROCHA
45,lhos,3135,3139,I-ROCHA
46,Forma,3194,3199,B-UNIDADE_LITO
47,ção,3200,3203,I-UNIDADE_LITO
48,Pimenteiras,3204,3215,I-UNIDADE_LITO
49,Folhelhos,3232,3241,B-ROCHA
50,folhelhos,3262,3271,B-ROCHA
51,Formação,3299,3307,B-UNIDADE_LITO
52,Pimen,3308,3313,I-UNIDADE_LITO
53,teiras,3314,3320,I-UNIDADE_LITO
54,folhelhos,3347,3356,B-ROCHA
55,folhe,3503,3508,B-ROCHA
56,lhos,3509,3513,I-ROCHA
57,bacia,3920,3925,B-BACIA
58,hidrocarbonetos/g,4503,4520,B-FLUIDODATERRA
59,bacia,4707,4712,B-BACIA
60,poço,4732,4736,B-POÇO
61,1-PA-1-MA,4737,4746,I-POÇO
62,bacia,4760,4765,B-BACIA
63,hidrocarbonetos,4873,4888,B-FLUIDODATERRA
64,diabásio,5007,5015,B-ROCHA
65,bacia,5049,5054,B-BACIA
66,diabásio,5199,5207,B-ROCHA
67,folhelhos,5237,5246,B-ROCHA
68,bacia,5343,5348,B-BACIA
69,Formação,5446,5454,B-UNIDADE_LITO
70,Itaim,5455,5460,I-UNIDADE_LITO
71,Formação,5475,5483,B-UNIDADE_LITO
72,Pimentei,5484,5492,I-UNIDADE_LITO
73,poço,5762,5766,B-POÇO
74,2-CP-1-MA,5767,5776,I-POÇO
75,diabásio,6226,6234,B-ROCHA
76,folhelhos,6326,6335,B-ROCHA
77,hidrocarbonetos,6404,6419,B-FLUIDODATERRA
78,Folhelhos,6569,6578,B-ROCHA
79,folhelhos,6607,6616,B-ROCHA
80,folhelhos,6664,6673,B-ROCHA
81,bacia,6757,6762,B-BACIA
82,folhelho$,7103,7112,B-ROCHA
83,bacia,7262,7267,B-BACIA
84,folhe,7348,7353,B-ROCHA
85,lhos,7354,7358,I-ROCHA
86,hidrocarbonetos,7549,7564,B-FLUIDODATERRA
87,diabásio,7653,7661,B-ROCHA
88,Folhelhos,7670,7679,B-ROCHA
89,folhelhos,7711,7720,B-ROCHA
90,bevnniano,7744,7753,B-UNIDADE_CRONO
91,Superior,7754,7762,I-UNIDADE_CRONO
92,Frasniano,7764,7773,B-UNIDADE_CRONO
93,folhelhos,7806,7815,B-ROCHA
94,bacias,7831,7837,B-BACIA
95,do,7838,7840,I-BACIA
96,Solimões,7841,7849,I-BACIA
97,Amazonas,7855,7863,B-BACIA
98,Bacia,7868,7873,B-BACIA
99,do,7874,7876,I-BACIA
100,Parnai,7877,7883,I-BACIA
101,bacia,8058,8063,B-BACIA
102,folhelhos,8181,8190,B-ROCHA
103,bacia,8371,8376,B-BACIA
104,hidrocarboneto,8517,8531,B-FLUIDODATERRA
105,bacia,8535,8540,B-BACIA
106,folhelhos,8766,8775,B-ROCHA
107,diabásio,9100,9108,B-ROCHA
108,bacia,9155,9160,B-BACIA
109,hidroçarbonetos,9250,9265,B-FLUIDODATERRA
110,óleo,9340,9344,B-FLUIDODATERRA
111,gás,9347,9350,B-FLUIDODATERRA
112,bacia,9354,9359,B-BACIA
113,diabásio,9442,9450,B-ROCHA
114,gás,9607,9610,B-FLUIDODATERRA
115,bacia,9672,9677,B-BACIA
116,óleo,9704,9708,B-FLUIDODATERRA
117,folhelhos,9758,9767,B-ROCHA
118,folhelhos,9980,9989,B-ROCHA
119,folhelhos,10108,10117,B-ROCHA
120,folhelhos,10295,10304,B-ROCHA
121,hidrocarbonetos,10386,10401,B-FLUIDODATERRA
122,hidrocarbonetos,10486,10501,B-FLUIDODATERRA
123,gás,10560,10563,B-FLUIDODATERRA
124,óleo,10566,10570,B-FLUIDODATERRA
125,Bacia,10574,10579,B-BACIA
126,do,10580,10582,I-BACIA
127,Parnaíba,10583,10591,I-BACIA
128,poços,10632,10637,B-POÇO
129,2-CP-1-MA,10638,10647,I-POÇO
130,1-TB-2-MA,10650,10659,B-POÇO
131,gás,10740,10743,B-FLUIDODATERRA
132,poço,10747,10751,B-POÇO
133,2-CP-1-MA,10752,10761,I-POÇO
134,gás,10812,10815,B-FLUIDODATERRA
135,arenitos,10861,10869,B-ROCHA
136,Formação,10873,10881,B-UNIDADE_LITO
137,Itaim,10882,10887,I-UNIDADE_LITO
138,foihelhos,11247,11256,B-ROCHA
139,gás,11330,11333,B-FLUIDODATERRA
140,folhelhos,11377,11386,B-ROCHA
141,diabá~io,11439,11447,B-ROCHA
142,arenitos,11478,11486,B-ROCHA
143,Formação,11498,11506,B-UNIDADE_LITO
144,Itaim,11507,11512,I-UNIDADE_LITO
145,hidrocarbonetos,11618,11633,B-FLUIDODATERRA
146,bacia,11677,11682,B-BACIA
147,diabásio,11864,11872,B-ROCHA
148,folhelhos,11880,11889,B-ROCHA
149,óleo,11983,11987,B-FLUIDODATERRA
150,poço,11991,11995,B-POÇO
151,1-TB-2-MA,11996,12005,I-POÇO
152,óleo,12029,12033,B-FLUIDODATERRA
153,arenitos,12076,12084,B-ROCHA
154,Formação,12108,12116,B-UNIDADE_LITO
155,Cabeças,12117,12124,I-UNIDADE_LITO
156,poço,12128,12132,B-POÇO
157,1-TS-2-MA,12133,12142,I-POÇO
158,água,12200,12204,B-FLUIDODATERRA
159,doce,12205,12209,I-FLUIDODATERRA
160,óleo,12232,12236,B-FLUIDODATERRA
161,óleo,12266,12270,B-FLUIDODATERRA
