,TEXT,START,END,LABEL
0,óleo,339,343,B-FLUIDODATERRA
1,petróleo,432,440,B-FLUIDODATERRA
2,Bacia,543,548,B-BACIA
3,do,549,551,I-BACIA
4,Espirito,552,560,I-BACIA
5,Santo,561,566,I-BACIA
6,Albiano,653,660,B-UNIDADE_CRONO
7,eoterciário,709,720,B-UNIDADE_CRONO
8,Mesoeoceno,773,783,B-UNIDADE_CRONO
9,Bacia,1082,1087,B-BACIA
10,do,1088,1090,I-BACIA
11,Espírito,1091,1099,I-BACIA
12,Santo,1100,1105,I-BACIA
13,Albiano,1226,1233,B-UNIDADE_CRONO
14,Neocretáceo,1237,1248,B-UNIDADE_CRONO
15,bacias,1631,1637,B-BACIA
16,bacia,1976,1981,B-BACIA
17,Bacia,3101,3106,B-BACIA
18,do,3107,3109,I-BACIA
19,Espírito,3110,3118,I-BACIA
20,Santo,3119,3124,I-BACIA
21,Bacia,3532,3537,B-BACIA
22,do,3538,3540,I-BACIA
23,Espírito,3541,3549,I-BACIA
24,Santo,3550,3555,I-BACIA
25,bacia,3653,3658,B-BACIA
26,Bacia,3918,3923,B-BACIA
27,do,3924,3926,I-BACIA
28,Espirito,3927,3935,I-BACIA
29,Santo,3936,3941,I-BACIA
30,bacia,4108,4113,B-BACIA
31,areia,4257,4262,B-NÃOCONSOLID
32,rochas,4303,4309,B-ROCHA
33,vulcânicas,4310,4320,I-ROCHA
34,areia,4384,4389,B-NÃOCONSOLID
35,rochas,4461,4467,B-ROCHA
36,bacia,4832,4837,B-BACIA
37,evaporitos,4947,4957,B-ROCHA
38,areia,5289,5294,B-NÃOCONSOLID
39,areia,5897,5902,B-NÃOCONSOLID
40,bacia,6129,6134,B-BACIA
41,Eoterciário,6170,6181,B-UNIDADE_CRONO
42,areia,6267,6272,B-NÃOCONSOLID
43,areia,6470,6475,B-NÃOCONSOLID
44,areia,6624,6629,B-NÃOCONSOLID
45,areia,6956,6961,B-NÃOCONSOLID
46,Eoterciário,7523,7534,B-UNIDADE_CRONO
47,rochas,9958,9964,B-ROCHA
48,vulcânicas,9965,9975,I-ROCHA
49,cretácica,10021,10030,B-UNIDADE_CRONO
50,bacia,10101,10106,B-BACIA
51,bacia,10736,10741,B-BACIA
52,neocretácico,10960,10972,B-UNIDADE_CRONO
53,bacia,11250,11255,B-BACIA
54,bacia,11377,11382,B-BACIA
55,Eoterciário,11900,11911,B-UNIDADE_CRONO
56,Bacia,12306,12311,B-BACIA
57,do,12312,12314,I-BACIA
58,Espirito,12315,12323,I-BACIA
59,Santo,12324,12329,I-BACIA
60,Bacia,12518,12523,B-BACIA
61,do,12524,12526,I-BACIA
62,Espirito,12527,12535,I-BACIA
63,Santo,12536,12541,I-BACIA
