,TEXT,START,END,LABEL
0,Reconcavo,350,359,B-BACIA
1,Sergipe-Alagoas,361,376,I-BACIA
2,Espirito,378,386,B-BACIA
3,Santo,387,392,I-BACIA
4,Potiguar,394,402,B-BACIA
5,Campos,407,413,B-BACIA
6,Neocomian,557,566,B-UNIDADE_CRONO
7,Agua,1023,1027,B-CAMPO
8,Grande,1028,1034,I-CAMPO
9,Dom,1039,1042,B-CAMPO
10,Reconcavo,1063,1072,B-BACIA
11,Sergipe,1140,1147,B-BACIA
12,Agua,1399,1403,B-CAMPO
13,Grande,1404,1410,I-CAMPO
14,Dom,1415,1418,B-CAMPO
15,Reconcavo,1439,1448,B-BACIA
16,Sergipe,1515,1522,B-BACIA
17,Basin,1523,1528,I-BACIA
18,Reconcavo,1955,1964,B-BACIA
19,Reconcavo,2800,2809,B-BACIA
20,Garoupa,3592,3599,B-CAMPO
21,Namorado,3604,3612,B-CAMPO
22,Campos,3627,3633,B-BACIA
23,Sergipe,3950,3957,B-BACIA
24,Espirito,3987,3995,B-BACIA
25,Santo,3996,4001,I-BACIA
26,Pelotas,4763,4770,B-BACIA
27,Jequitinhonha,4873,4886,B-BACIA
28,Espirito,4891,4899,B-BACIA
29,Santo,4900,4905,I-BACIA
30,Reconcavo,5532,5541,B-BACIA
31,Espirito,5560,5568,B-BACIA
32,Santo,5569,5574,I-BACIA
33,Potiguar,5576,5584,B-BACIA
34,Campos,5590,5596,B-BACIA
35,Santos,7865,7871,B-BACIA
36,Campos,7873,7879,B-BACIA
37,Espirito,7881,7889,B-BACIA
38,Santo,7890,7895,I-BACIA
39,Jequitinhonha,7897,7910,B-BACIA
40,Camamu-Almada,7912,7925,I-BACIA
41,Potiguar,7927,7935,B-BACIA
42,Espirito,7975,7983,B-BACIA
43,Neocomian,9454,9463,B-UNIDADE_CRONO
44,Neocomian,10067,10076,B-UNIDADE_CRONO
45,Santos,12781,12787,B-BACIA
46,Reconcavo,13157,13166,B-BACIA
47,Pelotas,13395,13402,B-BACIA
48,Reconcavo,13969,13978,B-BACIA
49,Dom,14958,14961,B-CAMPO
50,Parana,16234,16240,B-BACIA
51,Santos,16274,16280,B-BACIA
52,Campos,16282,16288,B-BACIA
53,Espirito,16290,16298,B-BACIA
54,Santo,16299,16304,I-BACIA
55,Jequitinhonha,16309,16322,B-BACIA
56,Reconcavo,18798,18807,B-BACIA
57,Reconcavo,19149,19158,B-BACIA
58,Agua,19607,19611,B-CAMPO
59,Grande,19612,19618,I-CAMPO
60,Dom,19620,19623,B-CAMPO
61,Joao,19624,19628,I-CAMPO
62,Buracica,19630,19638,B-CAMPO
63,Araçãs,19640,19646,B-CAMPO
64,Reconcavo,19672,19681,B-BACIA
65,Reconcavo,19832,19841,B-BACIA
66,Taquipe,20515,20522,B-BACIA
67,Reconcavo,20570,20579,B-BACIA
68,Sergipe-Alagoas,20743,20758,B-BACIA
69,Campos,20763,20769,B-BACIA
70,Potiguar,20830,20838,B-BACIA
71,Siririzinho,21892,21903,B-CAMPO
72,Tabuleiro,21936,21945,B-CAMPO
73,do,21946,21948,I-CAMPO
74,Martins,21949,21956,I-CAMPO
75,Ubarana,21992,21999,B-CAMPO
76,Potiguar,22012,22020,B-BACIA
77,Basin,22021,22026,I-BACIA
78,Campos,22055,22061,B-BACIA
79,Sergipe-Alagoas,23263,23278,B-BACIA
80,Campos,23280,23286,B-BACIA
81,Espirito,23291,23299,B-BACIA
82,Santo,23300,23305,I-BACIA
83,Guaricema,23600,23609,B-CAMPO
84,Brejo,23647,23652,B-CAMPO
85,Grande,23653,23659,I-CAMPO
86,Campos,23720,23726,B-BACIA
87,Fazenda,23742,23749,B-CAMPO
88,Cedro,23750,23755,I-CAMPO
89,Espirito,23769,23777,B-BACIA
90,Santo,23778,23783,I-BACIA
91,Reconcavo,24129,24138,B-BACIA
92,Reconcavo,24339,24348,B-BACIA
93,Sergipe-Alagoas,24709,24724,B-BACIA
94,Reconcavo,24858,24867,B-BACIA
95,Sergipe-Alagoas,25228,25243,B-BACIA
96,Campos,25344,25350,B-BACIA
97,Recôncavo,25913,25922,B-BACIA
98,Campos,26081,26087,B-BACIA
99,Recôncavo,26474,26483,B-BACIA
100,Espirito,27234,27242,B-BACIA
101,Santo,27243,27248,I-BACIA
102,Bacias,27775,27781,B-BACIA
103,Sedimentares,27782,27794,I-BACIA
104,Guaricema,27963,27972,B-CAMPO
105,campo,27984,27989,B-CAMPO
106,Campo,28406,28411,B-CAMPO
107,Petrolifero,28412,28423,I-CAMPO
108,de,28424,28426,I-CAMPO
109,Caioba,28427,28433,I-CAMPO
110,Bacias,28751,28757,B-BACIA
111,do,28758,28760,I-BACIA
112,Recôncavo,28761,28770,I-BACIA
113,Tucano,28773,28779,B-BACIA
114,Reconcavo,29070,29079,B-BACIA
115,Recôncavo,29691,29700,B-BACIA
116,Sergipe-Alagoas,29702,29717,I-BACIA
117,Espirito,29719,29727,B-BACIA
118,Santo,29728,29733,I-BACIA
119,Potiguar,29735,29743,B-BACIA
120,Agua,30338,30342,B-CAMPO
121,Grande,30343,30349,I-CAMPO
122,Dom,30354,30357,B-CAMPO
123,João,30358,30362,I-CAMPO
124,Recôncavo,30377,30386,B-BACIA
125,Sergipe,30450,30457,B-BACIA
126,Recôncavo,30784,30793,B-BACIA
127,Namorado,31532,31540,B-CAMPO
128,Campos,31555,31561,B-BACIA
129,Sergipe,31869,31876,B-BACIA
130,Fazenda,31891,31898,B-CAMPO
131,Cedro,31899,31904,I-CAMPO
132,Campos,32441,32447,B-BACIA
133,Jequitinhonha,32528,32541,B-BACIA
134,Pelotas,32611,32618,B-BACIA
135,Recôncavo,33229,33238,B-BACIA
136,Potiguar,33273,33281,B-BACIA
137,Potiguar,33678,33686,B-BACIA
138,Santos,35619,35625,B-BACIA
139,Campos,35627,35633,B-BACIA
140,Espírito,35635,35643,B-BACIA
141,Santo,35644,35649,I-BACIA
142,Jequitinhonha,35651,35664,B-BACIA
143,Potiguar,35681,35689,B-BACIA
144,Pernambuco,35704,35714,B-BACIA
145,Espirito,35759,35767,B-BACIA
146,Santo,35768,35773,I-BACIA
147,Neocomian,37159,37168,B-UNIDADE_CRONO
148,Araripe,37928,37935,B-BACIA
149,Pelotas,39961,39968,B-BACIA
150,basin,39969,39974,I-BACIA
151,Recôncavo,40036,40045,B-BACIA
152,Holocene,40545,40553,B-UNIDADE_CRONO
153,Pelotas,40569,40576,B-BACIA
154,Aptian,40638,40644,B-UNIDADE_CRONO
155,Paraná,43341,43347,B-BACIA
156,Campos,43387,43393,B-BACIA
157,Espirito,43395,43403,B-BACIA
158,Santo,43404,43409,I-BACIA
159,Pelotas,44698,44705,B-BACIA
160,basin,44706,44711,I-BACIA
161,Neocomian,45327,45336,B-UNIDADE_CRONO
162,Aptian,45412,45418,B-UNIDADE_CRONO
163,Recôncavo,45763,45772,B-BACIA
164,Agua,46549,46553,B-CAMPO
165,Grande,46554,46560,I-CAMPO
166,Dom,46562,46565,B-CAMPO
167,João,46566,46570,I-CAMPO
168,Buracica,46572,46580,B-CAMPO
169,Araçás,46582,46588,B-CAMPO
170,Malombê,46599,46606,B-CAMPO
171,Recôncavo,46790,46799,B-BACIA
172,Taquipe,47465,47472,B-BACIA
173,Cassarongongo,47487,47500,B-CAMPO
174,Sergipe-Alagoas,47741,47756,B-BACIA
175,Campos,47761,47767,B-BACIA
176,Potiguar,47828,47836,B-BACIA
177,Siririzinho,48792,48803,B-CAMPO
178,Camorim,48816,48823,B-CAMPO
179,Tabuleiro,48838,48847,B-CAMPO
180,Campos,48917,48923,B-BACIA
181,Potiguar,49121,49129,B-BACIA
182,Campos,49389,49395,B-BACIA
183,Garoupa,50006,50013,B-CAMPO
184,Namorado,50033,50041,B-CAMPO
185,Campos,50062,50068,B-BACIA
186,Campos,50420,50426,B-BACIA
187,Espírito,50432,50440,B-BACIA
188,Santo,50441,50446,I-BACIA
189,Brejo,50768,50773,B-CAMPO
190,Grande,50774,50780,I-CAMPO
191,Campos,50841,50847,B-BACIA
192,Fazenda,50863,50870,B-CAMPO
193,Cedro,50871,50876,I-CAMPO
194,Espirito,50890,50898,B-BACIA
195,Santo,50899,50904,I-BACIA
196,Guaricema,50982,50991,B-CAMPO
197,Campos,51504,51510,B-BACIA
