,TEXT,START,END,LABEL
0,Castanhal,1017,1026,B-CAMPO
1,agua,1324,1328,B-FLUIDODATERRA
2,agua,1631,1635,B-FLUIDODATERRA
3,campo,2435,2440,B-CAMPO
4,de,2441,2443,I-CAMPO
5,Angel,2444,2449,I-CAMPO
6,bacia,3196,3201,B-BACIA
7,sedimentos,3853,3863,B-NÃOCONSOLID
8,Membro,4957,4963,B-UNIDADE_LITO
9,Sapucari,4964,4972,I-UNIDADE_LITO
10,Barreiras,5085,5094,I-UNIDADE_LITO
11,3-SZ­,7008,7013,B-POÇO
12,13-SE,7014,7019,I-POÇO
13,7-GP-967-SE,7182,7193,B-POÇO
14,agua,9106,9110,B-FLUIDODATERRA
15,agua,9425,9429,B-FLUIDODATERRA
16,agua,9942,9946,B-FLUIDODATERRA
17,agua,10394,10398,B-FLUIDODATERRA
18,agua,10506,10510,B-FLUIDODATERRA
19,hldrocarbonetos,12415,12430,B-FLUIDODATERRA
20,agua,12456,12460,B-FLUIDODATERRA
21,Membro,13297,13303,B-UNIDADE_LITO
22,Carm6polls,13304,13314,I-UNIDADE_LITO
23,membro,13373,13379,B-UNIDADE_LITO
24,I,13380,13381,I-UNIDADE_LITO
25,hldrocarbonetos,13951,13966,B-FLUIDODATERRA
26,agua,14054,14058,B-FLUIDODATERRA
27,agua,14228,14232,B-FLUIDODATERRA
28,agua,14374,14378,B-FLUIDODATERRA
29,agua,14670,14674,B-FLUIDODATERRA
30,agua,15174,15178,B-FLUIDODATERRA
31,conglomerados,15203,15216,B-ROCHA
32,Anglco,15238,15244,B-ROCHA
33,agua,15360,15364,B-FLUIDODATERRA
34,agua,15576,15580,B-FLUIDODATERRA
35,embasamento,15722,15733,B-UNIDADE_LITO
36,3-SZ-11,15748,15755,B-POÇO
37,1-MA-l,15789,15795,B-POÇO
38,campo,15877,15882,B-CAMPO
39,de,15883,15885,I-CAMPO
40,Slrlrizlnho,15886,15897,I-CAMPO
41,po~o,16062,16066,B-POÇO
42,3-SZ-11,16067,16074,B-POÇO
43,campo,16137,16142,B-CAMPO
44,de,16143,16145,I-CAMPO
45,Mato,16146,16150,I-CAMPO
46,Grosso,16151,16157,I-CAMPO
47,agua,16185,16189,B-FLUIDODATERRA
48,campo,16418,16423,B-CAMPO
49,campo,16451,16456,B-CAMPO
50,de,16457,16459,I-CAMPO
51,Castanhal,16460,16469,I-CAMPO
52,campo,16473,16478,B-CAMPO
53,de,16479,16481,I-CAMPO
54,Carmopol,16482,16490,I-CAMPO
55,7-CP-271,16605,16613,B-POÇO
56,7-CP-625,16616,16624,B-POÇO
57,campo,16646,16651,B-CAMPO
58,campo,16708,16713,B-CAMPO
59,de,16714,16716,I-CAMPO
60,Mato,16717,16721,I-CAMPO
61,campo,16952,16957,B-CAMPO
62,de,16958,16960,I-CAMPO
63,Carm6poll,16961,16970,I-CAMPO
64,bacia,17196,17201,B-BACIA
65,campos,17218,17224,B-CAMPO
66,campos,17830,17836,B-CAMPO
67,Bacia,18573,18578,B-BACIA
68,de,18579,18581,I-BACIA
69,Serglpe-Alagoas,18582,18597,I-BACIA
70,Membro,18849,18855,B-UNIDADE_LITO
71,Carmopolls,18856,18866,I-UNIDADE_LITO
72,Campo,18870,18875,B-CAMPO
73,de,18876,18878,I-CAMPO
74,Slrlrlzlnho,18879,18890,I-CAMPO
75,campos,18998,19004,B-CAMPO
