,TEXT,START,END,LABEL
0,poços,72,77,B-POÇO
1,Campo,157,162,B-CAMPO
2,de,163,165,I-CAMPO
3,Carmópolis,166,176,I-CAMPO
4,poços,378,383,B-POÇO
5,poços,416,421,B-POÇO
6,poços,536,541,B-POÇO
7,poços,929,934,B-POÇO
8,Campo,1018,1023,B-CAMPO
9,de,1024,1026,I-CAMPO
10,Carmópolis,1027,1037,I-CAMPO
11,poços,1146,1151,B-POÇO
12,poços,1428,1433,B-POÇO
13,bombas,1525,1531,B-NÃOCONSOLID
14,bombas,1557,1563,B-NÃOCONSOLID
15,bombas,1598,1604,B-NÃOCONSOLID
16,poços,1688,1693,B-POÇO
17,poços,1886,1891,B-POÇO
18,poços,2006,2011,B-POÇO
19,poços,2076,2081,B-POÇO
20,poços,2282,2287,B-POÇO
21,bombas,2340,2346,B-NÃOCONSOLID
22,poço,2385,2389,B-POÇO
23,bombas,2406,2412,B-NÃOCONSOLID
24,poço,2452,2456,B-POÇO
25,pocos,2491,2496,B-POÇO
26,poços,2520,2525,B-POÇO
27,poços,2566,2571,B-POÇO
28,poços,2817,2822,B-POÇO
29,poços,3166,3171,B-POÇO
30,poços,3280,3285,B-POÇO
31,campos,3321,3327,B-CAMPO
32,poços,3455,3460,B-POÇO
33,poços,3590,3595,B-POÇO
34,Campo,3599,3604,B-CAMPO
35,de,3605,3607,I-CAMPO
36,Carmópolis,3608,3618,I-CAMPO
37,CP-0137,3620,3627,B-POÇO
38,CP-1230,3639,3646,B-POÇO
39,CP-1277,3649,3656,B-POÇO
40,poços,3901,3906,B-POÇO
41,poços,4088,4093,B-POÇO
42,poços,4622,4627,B-POÇO
43,poços,4720,4725,B-POÇO
44,poços,4852,4857,B-POÇO
45,poços,4901,4906,B-POÇO
46,poços,5199,5204,B-POÇO
47,campos,5482,5488,B-CAMPO
48,poços,5641,5646,B-POÇO
49,Campo,5650,5655,B-CAMPO
50,de,5656,5658,I-CAMPO
51,Carmópolis,5659,5669,I-CAMPO
