,TEXT,START,END,LABEL
0,Formação,14,22,B-UNIDADE_LITO
1,Barra,23,28,I-UNIDADE_LITO
2,de,29,31,I-UNIDADE_LITO
3,Itiúba,32,38,I-UNIDADE_LITO
4,Bacia,92,97,B-BACIA
5,de,98,100,I-BACIA
6,Sergipe-Alagoas,101,116,I-BACIA
7,gás,180,183,B-FLUIDODATERRA
8,poço,196,200,B-POÇO
9,PIR-184D,201,209,I-POÇO
10,PIR-228D,249,257,B-POÇO
11,PIR-253D,430,438,B-POÇO
12,poço,776,780,B-POÇO
13,Formação,860,868,B-UNIDADE_LITO
14,Barra,869,874,I-UNIDADE_LITO
15,de,875,877,I-UNIDADE_LITO
16,Itiúba,878,884,I-UNIDADE_LITO
17,poços,907,912,B-POÇO
18,gás,949,952,B-FLUIDODATERRA
19,sub-bacia,994,1003,B-BACIA
20,de,1004,1006,I-BACIA
21,Alagoas,1007,1014,I-BACIA
22,gás,1076,1079,B-FLUIDODATERRA
23,arenito,1310,1317,B-ROCHA
24,arenito,1329,1336,B-ROCHA
25,folhelho,1356,1364,B-ROCHA
26,Formação,1450,1458,B-UNIDADE_LITO
27,Penedo,1459,1465,I-UNIDADE_LITO
28,rocha,1488,1493,B-ROCHA
29,água,1756,1760,B-FLUIDODATERRA
30,Formação,2797,2805,B-UNIDADE_LITO
31,Barra,2806,2811,I-UNIDADE_LITO
32,de,2812,2814,I-UNIDADE_LITO
33,Itiúba,2815,2821,I-UNIDADE_LITO
34,Campo,2825,2830,B-CAMPO
35,de,2831,2833,I-CAMPO
36,Pilar,2834,2839,I-CAMPO
37,Campo,2891,2896,B-CAMPO
38,de,2897,2899,I-CAMPO
39,Pilar,2900,2905,I-CAMPO
40,poços,2939,2944,B-POÇO
41,Formação,3097,3105,B-UNIDADE_LITO
42,Barra,3106,3111,I-UNIDADE_LITO
43,de,3112,3114,I-UNIDADE_LITO
44,Itiúba,3115,3121,I-UNIDADE_LITO
45,poços,3159,3164,B-POÇO
46,poços,3468,3473,B-POÇO
47,arenito,3585,3592,B-ROCHA
48,folhelho,3604,3612,B-ROCHA
49,arenito,3623,3630,B-ROCHA
50,poços,4116,4121,B-POÇO
51,arenitos,4188,4196,B-ROCHA
52,folhelho,4389,4397,B-ROCHA
53,arenito,4400,4407,B-ROCHA
54,arenitos,4680,4688,B-ROCHA
55,poços,4935,4940,B-POÇO
56,folhelhos,4950,4959,B-ROCHA
57,arenitos,4962,4970,B-ROCHA
58,bacia,5329,5334,B-BACIA
59,água,5360,5364,B-FLUIDODATERRA
60,água,5407,5411,B-FLUIDODATERRA
61,PIR-184D,5415,5423,B-POÇO
62,gás,5438,5441,B-FLUIDODATERRA
63,PIR-228D,5445,5453,B-POÇO
64,água,5814,5818,B-FLUIDODATERRA
65,Barra,6395,6400,B-UNIDADE_LITO
66,de,6401,6403,I-UNIDADE_LITO
67,Itiúba,6404,6410,I-UNIDADE_LITO
68,poços,6530,6535,B-POÇO
