,TEXT,START,END,LABEL
0,água,122,126,B-FLUIDODATERRA
1,campo,157,162,B-CAMPO
2,de,163,165,I-CAMPO
3,Carmópolis,166,176,I-CAMPO
4,campo,193,198,B-CAMPO
5,óleo,242,246,B-FLUIDODATERRA
6,campo,261,266,B-CAMPO
7,de,267,269,I-CAMPO
8,Carmópolis,270,280,I-CAMPO
9,campo,472,477,B-CAMPO
10,Formação,537,545,B-UNIDADE_LITO
11,Muribeca,546,554,I-UNIDADE_LITO
12,Membro,556,562,B-UNIDADE_LITO
13,Carmópolis,563,573,I-UNIDADE_LITO
14,campo,621,626,B-CAMPO
15,Formação,630,638,B-UNIDADE_LITO
16,Muribeca,639,647,I-UNIDADE_LITO
17,/Carmópolis,647,658,I-UNIDADE_LITO
18,CPS-1A,717,723,B-POÇO
19,água,805,809,B-FLUIDODATERRA
20,campo,874,879,B-CAMPO
21,óleo,927,931,B-FLUIDODATERRA
22,água,1033,1037,B-FLUIDODATERRA
23,poços,1085,1090,B-POÇO
24,injetores,1091,1100,B-POÇO
25,poços,1107,1112,B-POÇO
26,produtores,1113,1123,B-POÇO
27,água,1145,1149,B-FLUIDODATERRA
28,rocha,1289,1294,B-ROCHA
29,campo,1320,1325,B-CAMPO
30,óleo,1537,1541,B-FLUIDODATERRA
31,óleo,1639,1643,B-FLUIDODATERRA
32,campo,1758,1763,B-CAMPO
33,óleo,1837,1841,B-FLUIDODATERRA
34,campo,1972,1977,B-CAMPO
35,água,2011,2015,B-FLUIDODATERRA
36,óleo,2031,2035,B-FLUIDODATERRA
37,poços,2098,2103,B-POÇO
38,água,2142,2146,B-FLUIDODATERRA
39,óleo,2870,2874,B-FLUIDODATERRA
40,campo,2878,2883,B-CAMPO
41,água,2962,2966,B-FLUIDODATERRA
42,óleo,2991,2995,B-FLUIDODATERRA
43,óleo,3110,3114,B-FLUIDODATERRA
44,campo,3118,3123,B-CAMPO
45,de,3124,3126,I-CAMPO
46,Carmópolis,3127,3137,I-CAMPO
47,rocha,3246,3251,B-ROCHA
48,campo,3331,3336,B-CAMPO
49,óleo,3956,3960,B-FLUIDODATERRA
50,água,4010,4014,B-FLUIDODATERRA
51,água,4132,4136,B-FLUIDODATERRA
52,água,4544,4548,B-FLUIDODATERRA
53,óleo,4572,4576,B-FLUIDODATERRA
54,poços,4809,4814,B-POÇO
55,água,4853,4857,B-FLUIDODATERRA
56,água,5141,5145,B-FLUIDODATERRA
57,óleo,5193,5197,B-FLUIDODATERRA
58,óleo,5403,5407,B-FLUIDODATERRA
59,campo,5707,5712,B-CAMPO
60,campo,6295,6300,B-CAMPO
61,campo,6398,6403,B-CAMPO
62,rocha,6747,6752,B-ROCHA
63,campo,7095,7100,B-CAMPO
64,de,7101,7103,I-CAMPO
65,Carmópolis,7104,7114,I-CAMPO
66,óleo,7930,7934,B-FLUIDODATERRA
67,Bacia,8067,8072,B-BACIA
68,Sergipe-Alagoas,8073,8088,I-BACIA
69,água,8230,8234,B-FLUIDODATERRA
70,poços,9613,9618,B-POÇO
71,injetores,9619,9628,B-POÇO
72,poços,9654,9659,B-POÇO
73,produtores,9660,9670,B-POÇO
74,gás,9694,9697,B-FLUIDODATERRA
75,óleo,9807,9811,B-FLUIDODATERRA
76,gás,9928,9931,B-FLUIDODATERRA
77,gás,9990,9993,B-FLUIDODATERRA
78,campo,10178,10183,B-CAMPO
79,Poços,10765,10770,B-POÇO
80,poços,10906,10911,B-POÇO
81,poço,11284,11288,B-POÇO
82,óleo,11407,11411,B-FLUIDODATERRA
83,água,11819,11823,B-FLUIDODATERRA
84,óleo,11847,11851,B-FLUIDODATERRA
85,água,12250,12254,B-FLUIDODATERRA
86,óleo,12684,12688,B-FLUIDODATERRA
87,água,12751,12755,B-FLUIDODATERRA
88,óleo,13416,13420,B-FLUIDODATERRA
89,água,13628,13632,B-FLUIDODATERRA
90,poço,13651,13655,B-POÇO
91,produtor,13656,13664,B-POÇO
92,óleo,14268,14272,B-FLUIDODATERRA
93,água,14310,14314,B-FLUIDODATERRA
94,óleo,14401,14405,B-FLUIDODATERRA
95,óleo,14787,14791,B-FLUIDODATERRA
96,Formação,15379,15387,B-UNIDADE_LITO
97,Muribeca,15388,15396,I-UNIDADE_LITO
98,/Carmópolis,15396,15407,I-UNIDADE_LITO
99,óleo,16441,16445,B-FLUIDODATERRA
100,água,16486,16490,B-FLUIDODATERRA
