,TEXT,START,END,LABEL
0,petróleo,482,490,B-FLUIDODATERRA
1,petróleo,541,549,B-FLUIDODATERRA
2,óleo,587,591,B-FLUIDODATERRA
3,óleo,721,725,B-FLUIDODATERRA
4,gás,728,731,B-FLUIDODATERRA
5,associado,732,741,I-FLUIDODATERRA
6,gás,766,769,B-FLUIDODATERRA
7,gás,797,800,B-FLUIDODATERRA
8,natural,801,808,I-FLUIDODATERRA
9,gás,871,874,B-FLUIDODATERRA
10,óleo,1077,1081,B-FLUIDODATERRA
11,óleo,1661,1665,B-FLUIDODATERRA
12,gás,1714,1717,B-FLUIDODATERRA
13,natural,1718,1725,I-FLUIDODATERRA
14,gás,1860,1863,B-FLUIDODATERRA
15,poço,2084,2088,B-POÇO
16,1-SES-107D,2089,2099,I-POÇO
17,poço,2330,2334,B-POÇO
18,gás,2926,2929,B-FLUIDODATERRA
19,água,2945,2949,B-FLUIDODATERRA
20,gás,3371,3374,B-FLUIDODATERRA
21,campo,3378,3383,B-CAMPO
22,gás,4195,4198,B-FLUIDODATERRA
23,BRG-16,4224,4230,B-POÇO
24,água,4807,4811,B-FLUIDODATERRA
25,CPS-3A,4999,5005,B-POÇO
26,água,5117,5121,B-FLUIDODATERRA
27,CP-807,5305,5311,B-POÇO
28,N,5957,5958,B-UNIDADE_CRONO
29,água,6092,6096,B-FLUIDODATERRA
30,CPS-3A,6284,6290,B-POÇO
31,água,6402,6406,B-FLUIDODATERRA
32,CP-807,6588,6594,B-POÇO
33,CPS-2,7993,7998,B-POÇO
34,Poços,8125,8130,B-POÇO
35,com,8131,8134,I-POÇO
36,Areia,8135,8140,I-POÇO
37,poços,8223,8228,B-POÇO
38,produtores,8229,8239,B-POÇO
39,campo,8243,8248,B-CAMPO
40,Água,8345,8349,B-FLUIDODATERRA
41,poços,8488,8493,B-POÇO
42,óleo,8508,8512,B-FLUIDODATERRA
43,água,8529,8533,B-FLUIDODATERRA
44,poço,8552,8556,B-POÇO
45,água,8574,8578,B-FLUIDODATERRA
46,CPS-4,8877,8882,B-POÇO
47,poços,8989,8994,B-POÇO
48,poços,9049,9054,B-POÇO
49,CPS-4,9092,9097,B-POÇO
50,poços,9662,9667,B-POÇO
51,óleo,9682,9686,B-FLUIDODATERRA
52,poço,9940,9944,B-POÇO
53,TG-10,9945,9950,I-POÇO
54,campo,10230,10235,B-CAMPO
55,poco,11288,11292,B-POÇO
56,SES-5,11521,11526,B-POÇO
57,PDO-2,11552,11557,B-POÇO
58,PDO-3,11560,11565,B-POÇO
59,poços,11617,11622,B-POÇO
60,DO-18,11623,11628,I-POÇO
61,DO-19,11630,11635,B-POÇO
62,gás,12054,12057,B-FLUIDODATERRA
