,TEXT,START,END,LABEL
0,SMS,84,87,B-POÇO
1,pocos,3217,3222,B-POÇO
2,Campo,3249,3254,B-CAMPO
3,Piranema,3255,3263,I-CAMPO
4,pocos,3652,3657,B-POÇO
5,Campo,3684,3689,B-CAMPO
6,Piranema,3690,3698,I-CAMPO
7,bombas,6936,6942,B-NÃOCONSOLID
8,bomba,7140,7145,B-NÃOCONSOLID
9,bombas,8146,8152,B-NÃOCONSOLID
10,agua,8277,8281,B-FLUIDODATERRA
11,sistema,8326,8333,B-UNIDADE_CRONO
12,bombas,8479,8485,B-NÃOCONSOLID
13,bombas,8725,8731,B-NÃOCONSOLID
14,agua,10171,10175,B-FLUIDODATERRA
15,agua,10265,10269,B-FLUIDODATERRA
16,diesel,10772,10778,B-FLUIDODATERRA
17,bombas,11041,11047,B-NÃOCONSOLID
18,sedime,11533,11539,B-NÃOCONSOLID
19,diesel,11860,11866,B-FLUIDODATERRA
20,bomba,13044,13049,B-NÃOCONSOLID
21,agua,13053,13057,B-FLUIDODATERRA
22,agua,13528,13532,B-FLUIDODATERRA
23,do,13533,13535,I-FLUIDODATERRA
24,mar,13536,13539,I-FLUIDODATERRA
25,agua,13851,13855,B-FLUIDODATERRA
26,agua,13931,13935,B-FLUIDODATERRA
27,bomba,13953,13958,B-NÃOCONSOLID
28,bombas,14562,14568,B-NÃOCONSOLID
29,bomba,14689,14694,B-NÃOCONSOLID
30,agua,15022,15026,B-FLUIDODATERRA
31,bombas,15076,15082,B-NÃOCONSOLID
32,bomba,15110,15115,B-NÃOCONSOLID
33,agua,15329,15333,B-FLUIDODATERRA
34,rnaquinas,15475,15484,B-ROCHA
35,bombas,15600,15606,B-NÃOCONSOLID
36,bombas,15779,15785,B-NÃOCONSOLID
37,bombas,16540,16546,B-NÃOCONSOLID
38,rnaquinas,16582,16591,B-ROCHA
39,bombas,18820,18826,B-NÃOCONSOLID
40,bombas,21099,21105,B-NÃOCONSOLID
41,agua,21380,21384,B-FLUIDODATERRA
42,gases,21403,21408,B-FLUIDODATERRA
43,bas,22139,22142,B-ROCHA
44,bombas,23591,23597,B-NÃOCONSOLID
45,agua,23632,23636,B-FLUIDODATERRA
46,agua,24034,24038,B-FLUIDODATERRA
47,agua,24100,24104,B-FLUIDODATERRA
