,TEXT,START,END,LABEL
0,areia,23,28,B-NÃOCONSOLID
1,Campo,1735,1740,B-CAMPO
2,de,1741,1743,I-CAMPO
3,Pilar,1744,1749,I-CAMPO
4,CSO-5D1/PIR-28,1883,1897,B-POÇO
5,poço,1942,1946,B-POÇO
6,PIR-153,1959,1966,B-POÇO
7,PIR-09,1979,1985,B-POÇO
8,poço,2135,2139,B-POÇO
9,óleo,2230,2234,B-FLUIDODATERRA
10,gás,2257,2260,B-FLUIDODATERRA
11,óleo,2304,2308,B-FLUIDODATERRA
12,Pilar,2596,2601,B-CAMPO
13,poços,2719,2724,B-POÇO
14,campo,2739,2744,B-CAMPO
15,poços,2801,2806,B-POÇO
16,Campo,2931,2936,B-CAMPO
17,de,2937,2939,I-CAMPO
18,Pilar,2940,2945,I-CAMPO
19,bacia,3017,3022,B-BACIA
20,óleo,3206,3210,B-FLUIDODATERRA
21,gás,3213,3216,B-FLUIDODATERRA
22,campo,3220,3225,B-CAMPO
23,campo,3416,3421,B-CAMPO
24,poços,3474,3479,B-POÇO
25,campo,3572,3577,B-CAMPO
26,Campo,3680,3685,B-CAMPO
27,de,3686,3688,I-CAMPO
28,Pilar,3689,3694,I-CAMPO
29,arenitos,3712,3720,B-ROCHA
30,Formação,3734,3742,B-UNIDADE_LITO
31,Coqueiro,3743,3751,I-UNIDADE_LITO
32,Seco,3752,3756,I-UNIDADE_LITO
33,Arenito,3786,3793,B-ROCHA
34,Pilar,3794,3799,I-ROCHA
35,Formação,3896,3904,B-UNIDADE_LITO
36,Penedo,3905,3911,I-UNIDADE_LITO
37,Formação,3927,3935,B-UNIDADE_LITO
38,Coqueiro,3936,3944,I-UNIDADE_LITO
39,Seco,3945,3949,I-UNIDADE_LITO
40,arenitos,4009,4017,B-ROCHA
41,folhelhos,4020,4029,B-ROCHA
42,folhelhos,4120,4129,B-ROCHA
43,folhelhos,4147,4156,B-ROCHA
44,campo,4201,4206,B-CAMPO
45,campo,4407,4412,B-CAMPO
46,gás,4434,4437,B-FLUIDODATERRA
47,Formação,4468,4476,B-UNIDADE_LITO
48,Coqueiro,4477,4485,I-UNIDADE_LITO
49,Seco,4486,4490,I-UNIDADE_LITO
50,Arenito,4492,4499,B-ROCHA
51,Pilar,4500,4505,I-ROCHA
52,Formação,4547,4555,B-UNIDADE_LITO
53,Penedo,4556,4562,I-UNIDADE_LITO
54,Campo,4680,4685,B-CAMPO
55,de,4686,4688,I-CAMPO
56,Pilar,4689,4694,I-CAMPO
57,poços,5520,5525,B-POÇO
58,poços,5647,5652,B-POÇO
59,poços,5960,5965,B-POÇO
60,poço,6365,6369,B-POÇO
61,CSO-1C/PIR-9,6402,6414,B-POÇO
62,CSO-5D1/PIR-28,6417,6431,B-POÇO
63,CSO-7E/PIR-37,6434,6447,B-POÇO
64,poço,6554,6558,B-POÇO
65,poço,6749,6753,B-POÇO
66,poço,6938,6942,B-POÇO
67,CSO-5D1/PIR-28,7060,7074,B-POÇO
68,poço,7161,7165,B-POÇO
69,produtor,7182,7190,B-POÇO
70,PIR-28,7194,7200,B-POÇO
71,CSO-7E/PIR-37,7228,7241,B-POÇO
72,poço,7386,7390,B-POÇO
73,PIR-37,7452,7458,B-POÇO
74,CSO-7C/PIR-37,7491,7504,B-POÇO
