,TEXT,START,END,LABEL
0,campos,300,306,B-CAMPO
1,campo,463,468,B-CAMPO
2,águas,549,554,B-FLUIDODATERRA
3,água,761,765,B-FLUIDODATERRA
4,campo,1218,1223,B-CAMPO
5,poço,1231,1235,B-POÇO
6,SZ-50,1236,1241,I-POÇO
7,água,1393,1397,B-FLUIDODATERRA
8,campos,1586,1592,B-CAMPO
9,campos,1849,1855,B-CAMPO
10,campo,2527,2532,B-CAMPO
11,de,2533,2535,I-CAMPO
12,Carmópolis,2536,2546,I-CAMPO
13,água,3126,3130,B-FLUIDODATERRA
14,água,3292,3296,B-FLUIDODATERRA
15,poços,3301,3306,B-POÇO
16,água,3366,3370,B-FLUIDODATERRA
17,água,3567,3571,B-FLUIDODATERRA
18,poços,3596,3601,B-POÇO
19,1-SES-102,4048,4057,B-POÇO
20,poço,4192,4196,B-POÇO
21,PIR-133,4197,4204,I-POÇO
22,água,5053,5057,B-FLUIDODATERRA
23,poços,5133,5138,B-POÇO
24,poços,5283,5288,B-POÇO
25,poços,5328,5333,B-POÇO
26,poços,5760,5765,B-POÇO
27,água,5781,5785,B-FLUIDODATERRA
28,SES-5,5910,5915,B-POÇO
29,campo,6559,6564,B-CAMPO
30,de,6565,6567,I-CAMPO
31,Dourado,6568,6575,I-CAMPO
32,gás,6777,6780,B-FLUIDODATERRA
33,Alagoas,6784,6791,B-BACIA
34,Sergipe,6794,6801,B-BACIA
35,gás,6987,6990,B-FLUIDODATERRA
36,SES-05,7156,7162,B-POÇO
