,TEXT,START,END,LABEL
0,Campo,824,829,B-CAMPO
1,de,830,832,I-CAMPO
2,Carmópolis,833,843,I-CAMPO
3,óleo,922,926,B-FLUIDODATERRA
4,gás,929,932,B-FLUIDODATERRA
5,Embasamento,936,947,B-UNIDADE_LITO
6,Formação,953,961,B-UNIDADE_LITO
7,Muribeca,962,970,I-UNIDADE_LITO
8,Membro,972,978,B-UNIDADE_LITO
9,Oiteirinhos,979,990,I-UNIDADE_LITO
10,óleo,1030,1034,B-FLUIDODATERRA
11,Oiteirinhos,1038,1049,B-UNIDADE_CRONO
12,gás,1076,1079,B-FLUIDODATERRA
13,poços,1131,1136,B-POÇO
14,óleo,1160,1164,B-FLUIDODATERRA
15,Oiteirinhos,1168,1179,B-UNIDADE_CRONO
16,Embasamento,1205,1216,B-UNIDADE_LITO
17,gás,1402,1405,B-FLUIDODATERRA
18,gás,1459,1462,B-FLUIDODATERRA
19,poços,1469,1474,B-POÇO
20,óleo,1547,1551,B-FLUIDODATERRA
21,óleo,1611,1615,B-FLUIDODATERRA
22,óleo,1873,1877,B-FLUIDODATERRA
23,gás,1909,1912,B-FLUIDODATERRA
24,água,2051,2055,B-FLUIDODATERRA
25,gás,2059,2062,B-FLUIDODATERRA
26,gás,2130,2133,B-FLUIDODATERRA
27,gás,2163,2166,B-FLUIDODATERRA
28,gás,2220,2223,B-FLUIDODATERRA
29,água,2247,2251,B-FLUIDODATERRA
30,gás,2354,2357,B-FLUIDODATERRA
31,água,2380,2384,B-FLUIDODATERRA
32,óleo,2431,2435,B-FLUIDODATERRA
33,rocha,2567,2572,B-ROCHA
34,gás,2610,2613,B-FLUIDODATERRA
35,água,2616,2620,B-FLUIDODATERRA
36,óleo,2846,2850,B-FLUIDODATERRA
37,água,2903,2907,B-FLUIDODATERRA
38,gás,3341,3344,B-FLUIDODATERRA
39,Embasamento,3476,3487,B-UNIDADE_LITO
40,poços,3493,3498,B-POÇO
41,CP-944,3499,3505,I-POÇO
42,CP-1168,3508,3515,B-POÇO
43,água,3587,3591,B-FLUIDODATERRA
44,gás,3615,3618,B-FLUIDODATERRA
45,água,3630,3634,B-FLUIDODATERRA
46,gás,3648,3651,B-FLUIDODATERRA
47,água,3676,3680,B-FLUIDODATERRA
48,óleo,3763,3767,B-FLUIDODATERRA
49,água,3864,3868,B-FLUIDODATERRA
50,gás,3871,3874,B-FLUIDODATERRA
51,óleo,3896,3900,B-FLUIDODATERRA
52,gás,3996,3999,B-FLUIDODATERRA
53,gás,4116,4119,B-FLUIDODATERRA
54,água,4151,4155,B-FLUIDODATERRA
55,gás,4254,4257,B-FLUIDODATERRA
56,gás,4389,4392,B-FLUIDODATERRA
57,poço,4578,4582,B-POÇO
58,poços,4636,4641,B-POÇO
59,poço,4784,4788,B-POÇO
60,óleo,4851,4855,B-FLUIDODATERRA
61,poço,4999,5003,B-POÇO
62,óleo,5066,5070,B-FLUIDODATERRA
63,gás,5118,5121,B-FLUIDODATERRA
64,gás:,5214,5218,B-FLUIDODATERRA
65,gás,5253,5256,B-FLUIDODATERRA
66,água,5259,5263,B-FLUIDODATERRA
67,poço,5283,5287,B-POÇO
68,poços,5307,5312,B-POÇO
69,água,5329,5333,B-FLUIDODATERRA
70,CP-946,5335,5341,B-POÇO
71,CP-592,5344,5350,B-POÇO
72,CP-1257,5385,5392,B-POÇO
73,gás,5409,5412,B-FLUIDODATERRA
74,água,5429,5433,B-FLUIDODATERRA
75,poço,5519,5523,B-POÇO
76,poço,5601,5605,B-POÇO
77,gás,5672,5675,B-FLUIDODATERRA
78,água,5677,5681,B-FLUIDODATERRA
79,água,5710,5714,B-FLUIDODATERRA
80,poço,5766,5770,B-POÇO
81,poços,5790,5795,B-POÇO
82,água,5812,5816,B-FLUIDODATERRA
83,CP-946,5818,5824,B-POÇO
84,CP-592,5827,5833,B-POÇO
85,CP-1257,5868,5875,B-POÇO
86,água,5912,5916,B-FLUIDODATERRA
87,água,6026,6030,B-FLUIDODATERRA
88,água,6059,6063,B-FLUIDODATERRA
89,poços,6147,6152,B-POÇO
90,água,6169,6173,B-FLUIDODATERRA
91,CP-946,6175,6181,B-POÇO
92,CP-592,6184,6190,B-POÇO
93,CP-1257,6225,6232,B-POÇO
94,gás,6249,6252,B-FLUIDODATERRA
95,água,6269,6273,B-FLUIDODATERRA
96,poço,6359,6363,B-POÇO
97,poço,6441,6445,B-POÇO
98,poço,6606,6610,B-POÇO
99,poços,6630,6635,B-POÇO
100,água,6652,6656,B-FLUIDODATERRA
101,CP-946,6658,6664,B-POÇO
102,CP-592,6667,6673,B-POÇO
103,CP-1257,6708,6715,B-POÇO
104,água,6752,6756,B-FLUIDODATERRA
105,gás,6861,6864,B-FLUIDODATERRA
106,água,6866,6870,B-FLUIDODATERRA
107,água,6899,6903,B-FLUIDODATERRA
108,Leste,7037,7042,I-UNIDADE_CRONO
109,Campo,7091,7096,B-CAMPO
110,de,7097,7099,I-CAMPO
111,Carmópolis,7100,7110,I-CAMPO
112,Picos,7251,7256,I-UNIDADE_LITO
113,óleo,7266,7270,B-FLUIDODATERRA
114,gás,7273,7276,B-FLUIDODATERRA
115,óleo,7315,7319,B-FLUIDODATERRA
116,poços,7557,7562,B-POÇO
117,secos,7781,7786,B-POÇO
118,poços,7840,7845,B-POÇO
119,produtores,7846,7856,B-POÇO
120,pocos,8049,8054,B-POÇO
121,Formação,8071,8079,B-UNIDADE_LITO
122,MUR/OIT,8080,8087,I-UNIDADE_LITO
123,CP-592,8580,8586,B-POÇO
124,CP-734,8590,8596,B-POÇO
125,CP-944,8764,8770,B-POÇO
126,anidrita,8855,8863,B-ROCHA
127,embasamento,8943,8954,B-UNIDADE_LITO
128,água,9163,9167,B-FLUIDODATERRA
129,poços,9252,9257,B-POÇO
130,poços,9820,9825,B-POÇO
131,água,9901,9905,B-FLUIDODATERRA
132,poços,9942,9947,B-POÇO
133,CP-1168,9959,9966,B-POÇO
134,água,10047,10051,B-FLUIDODATERRA
135,Embasamento,10111,10122,B-UNIDADE_LITO
136,água,10145,10149,B-FLUIDODATERRA
137,CP-946,10153,10159,B-POÇO
138,Embasamento,10217,10228,B-UNIDADE_LITO
139,Oiteirinhos,10405,10416,B-UNIDADE_CRONO
140,poço,10511,10515,B-POÇO
141,CP-910,10516,10522,I-POÇO
142,CP-1257,10564,10571,B-POÇO
143,gás,10929,10932,B-FLUIDODATERRA
144,gás,11033,11036,B-FLUIDODATERRA
145,poços,11167,11172,B-POÇO
146,poços,11365,11370,B-POÇO
147,poço,11709,11713,B-POÇO
148,poços,11774,11779,B-POÇO
149,CP-944,11780,11786,I-POÇO
150,calcário,12106,12114,B-ROCHA
151,gás,12365,12368,B-FLUIDODATERRA
152,gás,12443,12446,B-FLUIDODATERRA
153,gás,12942,12945,B-FLUIDODATERRA
154,óleo,12960,12964,B-FLUIDODATERRA
155,poços,13355,13360,B-POÇO
156,CP-734,13361,13367,I-POÇO
157,poços,13397,13402,B-POÇO
158,CP-944,13403,13409,I-POÇO
159,poços,13511,13516,B-POÇO
160,poços,13561,13566,B-POÇO
161,CP-736,13685,13691,B-POÇO
162,poços,14067,14072,B-POÇO
163,gás,14150,14153,B-FLUIDODATERRA
164,óleo,14303,14307,B-FLUIDODATERRA
165,poços,14326,14331,B-POÇO
166,CP-1254,14332,14339,I-POÇO
167,gás,14556,14559,B-FLUIDODATERRA
168,gás,14606,14609,B-FLUIDODATERRA
169,gás,14672,14675,B-FLUIDODATERRA
170,gás,14738,14741,B-FLUIDODATERRA
171,poços,14780,14785,B-POÇO
172,CP-1254,14861,14868,B-POÇO
173,CP-1254,15108,15115,B-POÇO
174,poços,15349,15354,B-POÇO
175,óleo,15521,15525,B-FLUIDODATERRA
176,óleo,15818,15822,B-FLUIDODATERRA
177,óleo,15916,15920,B-FLUIDODATERRA
178,folhelhos,15977,15986,B-ROCHA
179,poços,16316,16321,B-POÇO
180,óleo,16354,16358,B-FLUIDODATERRA
181,gás,16509,16512,B-FLUIDODATERRA
182,óleo,16658,16662,B-FLUIDODATERRA
183,gás,16666,16669,B-FLUIDODATERRA
184,poços,16674,16679,B-POÇO
185,gás,16789,16792,B-FLUIDODATERRA
186,óleo,17405,17409,B-FLUIDODATERRA
187,poços,17522,17527,B-POÇO
188,poço,17816,17820,B-POÇO
189,óleo,17882,17886,B-FLUIDODATERRA
190,calcários,17913,17922,B-ROCHA
191,óleo,17971,17975,B-FLUIDODATERRA
192,Embasamento,18073,18084,B-UNIDADE_LITO
193,água,18111,18115,B-FLUIDODATERRA
194,poços,18311,18316,B-POÇO
195,rocha,18553,18558,B-ROCHA
196,gás,18606,18609,B-FLUIDODATERRA
197,óleo,18731,18735,B-FLUIDODATERRA
198,água,18819,18823,B-FLUIDODATERRA
199,óleo,18946,18950,B-FLUIDODATERRA
200,poços,19042,19047,B-POÇO
201,poços,19129,19134,B-POÇO
202,CP-539,19166,19172,B-POÇO
203,poços,19284,19289,B-POÇO
204,CP-946,19290,19296,I-POÇO
205,CP-262,19363,19369,B-POÇO
206,poços,19471,19476,B-POÇO
207,CP-944,19477,19483,I-POÇO
208,CP-262,19550,19556,B-POÇO
209,CP-946,19585,19591,B-POÇO
210,poços,19615,19620,B-POÇO
211,CP-946,19621,19627,I-POÇO
212,CP-1254,19685,19692,B-POÇO
213,CP-262,19743,19749,B-POÇO
214,CP-1254,19764,19771,B-POÇO
215,agua,19928,19932,B-FLUIDODATERRA
216,poços,19937,19942,B-POÇO
217,óleo,20117,20121,B-FLUIDODATERRA
218,calcilutito,20155,20166,B-ROCHA
219,água,20193,20197,B-FLUIDODATERRA
220,agua,20226,20230,B-FLUIDODATERRA
221,salgada,20231,20238,I-FLUIDODATERRA
222,Embasamento,20254,20265,B-UNIDADE_LITO
223,CP-1052,20527,20534,B-POÇO
224,água,20552,20556,B-FLUIDODATERRA
