,TEXT,START,END,LABEL
0,Água,175,179,B-FLUIDODATERRA
1,Campo,183,188,B-CAMPO
2,de,189,191,I-CAMPO
3,Riachuelo,192,201,I-CAMPO
4,óleo,523,527,B-FLUIDODATERRA
5,campo,553,558,B-CAMPO
6,de,559,561,I-CAMPO
7,Riachuelo,562,571,I-CAMPO
8,água,649,653,B-FLUIDODATERRA
9,poços,692,697,B-POÇO
10,agua,759,763,B-FLUIDODATERRA
11,água,852,856,B-FLUIDODATERRA
12,poços,866,871,B-POÇO
13,Água,1215,1219,B-FLUIDODATERRA
14,Água,1303,1307,B-FLUIDODATERRA
15,Campo,1343,1348,B-CAMPO
16,de,1349,1351,I-CAMPO
17,Riachuelo,1352,1361,I-CAMPO
18,água,1405,1409,B-FLUIDODATERRA
19,campo,1422,1427,B-CAMPO
20,de,1428,1430,I-CAMPO
21,Riachuelo,1431,1440,I-CAMPO
22,água,2716,2720,B-FLUIDODATERRA
23,poços,2756,2761,B-POÇO
24,captação,2765,2773,B-POÇO
25,poços,3291,3296,B-POÇO
26,água,3438,3442,B-FLUIDODATERRA
27,poços,4208,4213,B-POÇO
28,água,4285,4289,B-FLUIDODATERRA
29,poços,4463,4468,B-POÇO
30,bombas,4992,4998,B-NÃOCONSOLID
31,óleo,5172,5176,B-FLUIDODATERRA
32,campo,5303,5308,B-CAMPO
33,óleo,5522,5526,B-FLUIDODATERRA
34,campo,5631,5636,B-CAMPO
35,petróleo,5658,5666,B-FLUIDODATERRA
36,bombas,5825,5831,B-NÃOCONSOLID
37,óleo,5984,5988,B-FLUIDODATERRA
38,campo,6115,6120,B-CAMPO
39,óleo,6334,6338,B-FLUIDODATERRA
40,campo,6443,6448,B-CAMPO
41,petróleo,6470,6478,B-FLUIDODATERRA
42,água,6800,6804,B-FLUIDODATERRA
43,poço,6806,6810,B-POÇO
44,poço,6826,6830,B-POÇO
45,poços,7076,7081,B-POÇO
46,campo,7183,7188,B-CAMPO
47,poços,7494,7499,B-POÇO
48,poços,7650,7655,B-POÇO
49,campo,7717,7722,B-CAMPO
50,de,7723,7725,I-CAMPO
51,Siririzinho,7726,7737,I-CAMPO
52,água,8157,8161,B-FLUIDODATERRA
53,poços,8208,8213,B-POÇO
54,produtores,8214,8224,B-POÇO
55,poço,8276,8280,B-POÇO
56,captação,8284,8292,B-POÇO
57,poço,8298,8302,B-POÇO
58,produtor,8303,8311,B-POÇO
59,água,8466,8470,B-FLUIDODATERRA
60,agua,8500,8504,B-FLUIDODATERRA
61,poço,8840,8844,B-POÇO
62,injetor,8845,8852,B-POÇO
63,poços,9369,9374,B-POÇO
64,poço,9459,9463,B-POÇO
65,água,9645,9649,B-FLUIDODATERRA
66,poços,9744,9749,B-POÇO
67,injetores,9750,9759,B-POÇO
68,campo,9898,9903,B-CAMPO
69,gás,10172,10175,B-FLUIDODATERRA
70,poços,10180,10185,B-POÇO
71,poços,10271,10276,B-POÇO
72,captação,10280,10288,B-POÇO
73,poço,10362,10366,B-POÇO
74,bombas,10390,10396,B-NÃOCONSOLID
