,TEXT,START,END,LABEL
0,SMS,82,85,B-POÇO
1,bomba,4241,4246,B-NÃOCONSOLID
2,bomba,4402,4407,B-NÃOCONSOLID
3,pocos,4785,4790,B-POÇO
4,agua,5996,6000,B-FLUIDODATERRA
5,bomba,6790,6795,B-NÃOCONSOLID
6,bombas,7900,7906,B-NÃOCONSOLID
7,bombas,8290,8296,B-NÃOCONSOLID
8,agua,9786,9790,B-FLUIDODATERRA
9,do,9791,9793,I-FLUIDODATERRA
10,mar,9794,9797,I-FLUIDODATERRA
11,agua,9963,9967,B-FLUIDODATERRA
12,agua,10167,10171,B-FLUIDODATERRA
13,bombas,10437,10443,B-NÃOCONSOLID
14,diesel,10975,10981,B-FLUIDODATERRA
15,diesel,11272,11278,B-FLUIDODATERRA
16,agua,12094,12098,B-FLUIDODATERRA
17,bombas,12534,12540,B-NÃOCONSOLID
18,agua,12544,12548,B-FLUIDODATERRA
19,mar,12552,12555,I-FLUIDODATERRA
20,agua,12784,12788,B-FLUIDODATERRA
21,de,12789,12791,I-FLUIDODATERRA
22,mar,12792,12795,I-FLUIDODATERRA
23,bombas,13016,13022,B-NÃOCONSOLID
24,agua,13040,13044,B-FLUIDODATERRA
25,agua,13246,13250,B-FLUIDODATERRA
26,agua,13355,13359,B-FLUIDODATERRA
27,bombas,13420,13426,B-NÃOCONSOLID
28,agua,13430,13434,I-FLUIDODATERRA
29,do,13435,13437,I-FLUIDODATERRA
30,mar,13438,13441,I-FLUIDODATERRA
31,agua,13474,13478,B-FLUIDODATERRA
32,agua,13618,13622,B-FLUIDODATERRA
33,bombas,13695,13701,B-NÃOCONSOLID
34,agua,13906,13910,B-FLUIDODATERRA
35,agua,14131,14135,B-FLUIDODATERRA
36,agua,15021,15025,B-FLUIDODATERRA
37,bombas,15078,15084,B-NÃOCONSOLID
38,rnaquinas,15504,15513,B-ROCHA
39,bombas,15781,15787,B-NÃOCONSOLID
40,bombas,16764,16770,B-NÃOCONSOLID
41,bombas,18744,18750,B-NÃOCONSOLID
42,bombas,20474,20480,B-NÃOCONSOLID
43,agua,20603,20607,B-FLUIDODATERRA
44,bombas,20729,20735,B-NÃOCONSOLID
45,bombas,21011,21017,B-NÃOCONSOLID
46,agua,21259,21263,B-FLUIDODATERRA
47,agua,21295,21299,B-FLUIDODATERRA
48,gases,21319,21324,B-FLUIDODATERRA
49,bombas,22977,22983,B-NÃOCONSOLID
50,agua,23017,23021,B-FLUIDODATERRA
51,agua,23285,23289,B-FLUIDODATERRA
52,agua,23351,23355,B-FLUIDODATERRA
53,bombas,24029,24035,B-NÃOCONSOLID
54,ar,24453,24455,B-FLUIDODATERRA
