,TEXT,START,END,LABEL
0,poço,43,47,B-POÇO
1,1-SES-127,48,57,I-POÇO
2,marga,167,172,B-ROCHA
3,folhelho,565,573,B-ROCHA
4,rocha,695,700,B-ROCHA
5,vulcânica,701,710,I-ROCHA
6,traquito,1006,1014,B-ROCHA
7,diamictito,1062,1072,B-ROCHA
8,folhelho,1101,1109,B-ROCHA
9,Arenito,1537,1544,B-ROCHA
10,areia,1605,1610,B-NÃOCONSOLID
11,quartzito,1660,1669,B-ROCHA
12,silimanita,1741,1751,B-ROCHA
13,silte,2076,2081,B-NÃOCONSOLID
14,areia,2084,2089,B-NÃOCONSOLID
15,diamictitos,2237,2248,B-ROCHA
16,vulcânica,2525,2534,B-ROCHA
17,arenito,3013,3020,B-ROCHA
18,areia,3190,3195,B-NÃOCONSOLID
19,folhelho,3520,3528,B-ROCHA
20,arenitos,3686,3694,B-ROCHA
21,diamictito,3820,3830,B-ROCHA
22,glauconita,4012,4022,B-ROCHA
23,vidro,4024,4029,B-ROCHA
24,vulcânico,4030,4039,I-ROCHA
25,Arenitos,4106,4114,B-ROCHA
26,argilas,4463,4470,B-NÃOCONSOLID
27,folhelhos,4621,4630,B-ROCHA
28,arenitos,4849,4857,B-ROCHA
29,diamictito,4908,4918,B-ROCHA
30,Arenito,5138,5145,B-ROCHA
31,argila,5279,5285,B-NÃOCONSOLID
32,diamictito,5503,5513,B-ROCHA
33,argila,5835,5841,B-NÃOCONSOLID
34,argila,5923,5929,B-NÃOCONSOLID
35,argila,6043,6049,B-NÃOCONSOLID
36,areia,6268,6273,B-NÃOCONSOLID
37,Arenito,6619,6626,B-ROCHA
38,sedimento,6855,6864,B-NÃOCONSOLID
39,argila,7004,7010,B-NÃOCONSOLID
40,folhelhos,7015,7024,B-ROCHA
41,areias,7162,7168,B-NÃOCONSOLID
42,diamictito,7170,7180,B-ROCHA
43,argila,7203,7209,B-NÃOCONSOLID
44,argilas,8096,8103,B-NÃOCONSOLID
45,folhelho,8130,8138,B-ROCHA
46,Arenito,8176,8183,B-ROCHA
47,diamictitos,9023,9034,B-ROCHA
48,folhelho,9068,9076,B-ROCHA
49,folhelhos,9235,9244,B-ROCHA
50,Folhelho,9351,9359,B-ROCHA
51,siltico,9360,9367,I-ROCHA
