,TEXT,START,END,LABEL
0,poco,61,65,B-POÇO
1,Membro,75,81,B-UNIDADE_LITO
2,Oiteirinhos,82,93,I-UNIDADE_LITO
3,calcilutito,362,373,B-ROCHA
4,Membro,671,677,B-UNIDADE_LITO
5,Oiteirinhos,678,689,I-UNIDADE_LITO
6,rocha,825,830,B-ROCHA
7,calcilutitos,1423,1435,B-ROCHA
8,Membro,1524,1530,B-UNIDADE_LITO
9,Ibura,1531,1536,I-UNIDADE_LITO
10,rocha,1896,1901,B-ROCHA
11,rocha,2034,2039,B-ROCHA
12,Embasamento,2202,2213,B-UNIDADE_LITO
13,poco,2298,2302,B-POÇO
14,7-CP-608,2303,2311,I-POÇO
15,calcilutitos,2404,2416,B-ROCHA
